measurement,own_rate_2534,interpretation
production_whole_nodes,0.49195347056505895,unchanged model age_to_index aggregation
cells_start_at_node,0.48655339694542654,diagnostic uniform density within each four-year cell
cells_centered_at_node,0.4921920053693573,diagnostic uniform density within each four-year cell
