measurement,own_rate_2534,interpretation
production_whole_nodes,0.4925644396525048,unchanged model age_to_index aggregation
cells_start_at_node,0.48461934498243564,diagnostic uniform density within each four-year cell
cells_centered_at_node,0.49298517821767424,diagnostic uniform density within each four-year cell
