age_node,mass,owner_rate,mean_rooms,mean_liquid_wealth,childless_rate,pre_fertility_mass
18.0,0.014337122049139239,0.14358324029075004,3.5724717995438584,-0.1897552433661284,0.849008125772812,0.01433712204913924
22.0,0.04474122812786897,0.41453982994149574,4.027593859535171,-0.14556770686871542,0.6982418400184938,0.04474122812786899
26.0,0.06510271539527175,0.4771902552376154,4.479253249481827,-0.08859782608852577,0.5550241138087565,0.06510271539527175
30.0,0.077811680190513,0.4966265415403535,4.964059891297186,0.48220240812650844,0.4283047646816018,0.07781168019051299
34.0,0.08156435185026395,0.50096053627883,5.268585438375157,1.0176230157915498,0.3223817364524724,0.08156435185026405
38.0,0.08281187458056478,0.5033253630885998,5.514849277577991,1.970215076935562,0.24648876091407737,0.082811874580565
42.0,0.08147983007378326,0.5041010290598007,5.673249633985056,2.849897133455947,0.1928185954458605,0.08147983007378451
46.0,0.07516298442006594,0.5041314966272756,5.752369724996597,3.6784682427820625,0.17204188236115708,0.07516298442006611
50.0,0.08066019718385443,0.5038545788617945,5.831220922171223,4.415512583309938,0.16097536012943356,0.08066019718385624
54.0,0.07858640289692154,0.5035945249819395,5.901215680308022,5.115368283396694,0.15618522264651663,0.07858640289692338
58.0,0.08646102535792972,0.5032080965436208,5.971092581009179,5.7651797129014435,0.15466063718549836,0.08646102535793114
62.0,0.08806977795655956,0.5037776556119681,6.019720071317488,6.215825060493792,0.15466063718550624,0.08806977795656355
66.0,0.08000900833913303,0.5024867573667303,6.113079638856638,6.6410801391118826,0.15466063718546866,0.08000900833913686
70.0,0.06962757948607119,0.5029289987965069,6.208816181638598,5.491852157425923,0.15466063718545564,0.0696275794860757
74.0,0.05717549494547291,0.5032973733103229,6.265749495416156,4.253231668010406,0.1546606371855593,0.05717549494547944
78.0,0.039527688325373456,0.5034621973322374,6.278947233580451,2.949877907314346,0.15466063718545137,0.03952768832538083
82.0,0.026118710068937727,0.505539282343282,6.368033833423627,1.5025191840245327,0.15466063718548592,0.02611871006894536
