scenario,policy_case,period_from_2007,calendar_year,years_from_2023,psi_child,asset_price,asset_price_index,adult_population,population_index,population_index_2023,entry_flow_E,birth_children,birth_children_topcode_adjusted,topcode_adjusted_births_per_adult,effective_mature_entrant_flow_B,raw_state_scheduled_mature_entrant_flow_B,queue_B_over_current_E,outside_entry_flow_M,renewal_retention_rho,retained_mature_entrants,entrant_flow_next,adult_deaths,housing_demand,housing_demand_per_adult,housing_supply,relative_market_residual,mass_accounting_residual,owner_rate,dependent_child_owner_rate,parent_owner_rate,childless_owner_rate,birth_queue_scheduled_flows,birth_queue_raw_state_scheduled_flows,model_state_same_period_mature_flow_B,census_age_bridge_net_residual,census_age_bridge_maximum_target_gap,grid_resolution_fallback,feasibility_frontier_projection_mass,min_distribution_mass,nonfinite_distribution_count,adult_households,explicit_births,adjusted_births,births_per_household,ownership,rooms_per_household,market_residual,feasibility_projection,renter_mass,renter_at_cap_share,dependent_renter_at_cap_share,young_ownership_whole_nodes,young_mean_rooms_whole_nodes,property_tax_revenue,equal_transfer_period_units,equal_transfer_outlays,government_budget_residual,scaled_government_budget_residual,implied_equal_transfer,household_mass,total_adjusted_births,annual_property_tax_rate,scope
tax2-equal-rebate,tax2-equal-rebate,4,2023,0,-0.03200017062648686,0.6954510343808845,1.1125533389795859,1.1292476712477795,1.1292476712477626,1.0,0.014337122049139414,0.08688377252346575,0.09951522794958113,0.08812524522598329,0.06385083038560031,0.055527642913725264,4.453531898993143,0.0,1.0,0.06385083038560031,0.06385083038560031,0.04995973857292639,6.924636131281948,6.132079177662121,6.924633774915566,3.402875095796245e-07,0.0,0.6557178731580205,0.6175966290601805,0.7168158874784514,0.4681733614239862,"[0.0566636164276077, 0.05224315966993202, 0.048439965823938315, 0.047388203785514824]","[0.049153011597185874, 0.0452634336155765, 0.042078587290665034, 0.041373225011174165]",0.057868669454648886,0.0,0.0,False,0.0,0.0,0,1.1292476712477795,0.08688377252346575,0.09951522794958113,0.08812524522598329,0.6557178731580205,6.132079177662121,3.402875095796245e-07,0.0,0.38877978998843665,0.09268231458222326,0.1290406128410451,0.34601742748878717,5.18879543186262,0.38525962881690223,0.3411607170468595,0.3852549452462882,4.6835706140058164e-06,1.2156920330294254e-05,0.3411648645609375,1.1292476712477795,0.09951522794958113,0.02,"Temporary-equilibrium household-unit diagnostic; closed M=0, rho=1, inherited birth queue and births/2.1; not production or a resident-population forecast"
tax2-equal-rebate,tax2-equal-rebate,5,2027,4,-0.03200017062648686,0.6930327034425331,1.1086845947730066,1.1431387630604533,1.1431387630604362,1.0123011914625644,0.06385083038560033,0.08176038061341205,0.09298908515586685,0.08134540456568286,0.0566636164276077,0.049153011597185874,0.8874374238425959,0.0,1.0,0.0566636164276077,0.0566636164276077,0.06025178076132084,6.909454869694756,6.044283592655461,6.909453967053698,1.3063855162658507e-07,-2.220446049250313e-16,0.669679810697535,0.6333957809883204,0.7412415981449012,0.46872617642742126,"[0.05224315966993202, 0.048439965823938315, 0.047388203785514824, 0.044280516740888974]","[0.0452634336155765, 0.042078587290665034, 0.041373225011174165, 0.03893351457781526]",0.05337941756771049,0.0,0.0,False,0.0,0.0,0,1.1431387630604533,0.08176038061341205,0.09298908515586685,0.08134540456568286,0.669679810697535,6.044283592655461,1.3063855162658507e-07,0.0,0.3776018126130033,0.10247178171603007,0.13301637723960819,0.3647242975144059,5.151434563378511,0.38307825501269854,0.33511255991861383,0.3830801572312741,-1.902218575544623e-06,-4.965588897355002e-06,0.33511089588740695,1.1431387630604533,0.09298908515586685,0.02,"Temporary-equilibrium household-unit diagnostic; closed M=0, rho=1, inherited birth queue and births/2.1; not production or a resident-population forecast"
tax2-equal-rebate,tax2-equal-rebate,6,2031,8,-0.03200017062648686,0.6822862956798935,1.0914929432442915,1.1395505987267402,1.1395505987267234,1.009123709298932,0.056663616427607706,0.07570267670952015,0.08508939037555155,0.07466925160727826,0.05224315966993202,0.0452634336155765,0.9219877403461677,0.0,1.0,0.05224315966993202,0.05224315966993202,0.07156101430304675,6.8417671636136195,6.00391695749023,6.8417604921494,9.751092905024902e-07,4.440892098500626e-16,0.6842619721868082,0.6460630640692818,0.7608955563149581,0.4817603135990992,"[0.048439965823938315, 0.047388203785514824, 0.044280516740888974, 0.04051875732169121]","[0.042078587290665034, 0.041373225011174165, 0.03893351457781526, 0.036048893671200066]",0.049108009294702194,0.0,0.0,False,0.0,0.0,0,1.1395505987267402,0.07570267670952015,0.08508939037555155,0.07466925160727826,0.6842619721868082,6.00391695749023,9.751092905024902e-07,0.0,0.35979945863522367,0.10843336922744756,0.1407755642282256,0.39553994213295246,5.211447095433268,0.37344351791730146,0.3277325293698827,0.3734678000655754,-2.4282148273935267e-05,-6.501805047094202e-05,0.32771122083974713,1.1395505987267402,0.08508939037555155,0.02,"Temporary-equilibrium household-unit diagnostic; closed M=0, rho=1, inherited birth queue and births/2.1; not production or a resident-population forecast"
tax2-equal-rebate,tax2-equal-rebate,7,2035,12,-0.03200017062648686,0.6634330421153982,1.0613323004860546,1.120232744093626,1.1202327440936093,0.9920168733718154,0.05224315966993204,0.06980938556942884,0.07721228787163235,0.0689252195838146,0.048439965823938315,0.042078587290665034,0.9272020706629923,0.0,1.0,0.048439965823938315,0.048439965823938315,0.07749801848550882,6.722035144395478,6.000570131374118,6.722039343663488,6.247014925031886e-07,4.440892098500626e-16,0.694624626027275,0.6537764720886096,0.7743602183807781,0.4944768788291198,"[0.047388203785514824, 0.044280516740888974, 0.04051875732169121, 0.03676775612934874]","[0.041373225011174165, 0.03893351457781526, 0.036048893671200066, 0.03324256455687087]",0.04508320413994179,0.0,0.0,False,0.0,0.0,0,1.120232744093626,0.06980938556942884,0.07721228787163235,0.0689252195838146,0.694624626027275,6.000570131374118,6.247014925031886e-07,0.0,0.3420914931639916,0.11840618514500567,0.1558484665715391,0.3542262058019683,5.106156350185127,0.35676961800423296,0.3184763516663811,0.3567676373560618,1.980648171140409e-06,5.551616704976569e-06,0.3184781197348308,1.120232744093626,0.07721228787163235,0.02,"Temporary-equilibrium household-unit diagnostic; closed M=0, rho=1, inherited birth queue and births/2.1; not production or a resident-population forecast"
tax2-equal-rebate,tax2-equal-rebate,8,2039,16,-0.03200017062648686,0.641063173888775,1.0255459253745145,1.091174691432056,1.0911746914320397,0.9662846505818744,0.048439965823938336,0.06485587412175961,0.07047157220123396,0.06458321729286735,0.047388203785514824,0.041373225011174165,0.9782873084129273,0.0,1.0,0.047388203785514824,0.047388203785514824,0.08162579930943115,6.578332531217349,6.028670370446327,6.578341285986039,1.330847444643041e-06,2.220446049250313e-16,0.7026074429185208,0.6578476235970176,0.7834334923691566,0.5090304986878788,"[0.044280516740888974, 0.04051875732169121, 0.03676775612934874, 0.03355789152439712]","[0.03893351457781526, 0.036048893671200066, 0.03324256455687087, 0.030883749581790288]",0.04137262334149166,0.0,0.0,False,0.0,0.0,0,1.091174691432056,0.06485587412175961,0.07047157220123396,0.06458321729286735,0.7026074429185208,6.028670370446327,1.330847444643041e-06,0.0,0.3245072317074937,0.13149250882042954,0.1800865349375394,0.34831933366631657,5.162338170482936,0.3373701385086378,0.3091769458406301,0.3373660584754711,4.080033166709018e-06,1.209364048858923e-05,0.3091806849606801,1.091174691432056,0.07047157220123396,0.02,"Temporary-equilibrium household-unit diagnostic; closed M=0, rho=1, inherited birth queue and births/2.1; not production or a resident-population forecast"
tax2-equal-rebate,tax2-equal-rebate,9,2043,20,-0.03200017062648686,0.6179920825106373,0.9886377629335733,1.05693709590814,1.0569370959081241,0.935965707806385,0.04738820378551484,0.06278606768778348,0.06745199665666606,0.06381836432631788,0.044280516740888974,0.03893351457781526,0.9344206617602208,0.0,1.0,0.044280516740888974,0.044280516740888974,0.08556713191852888,6.428165625668957,6.081880984738982,6.428181232457425,2.4278700153925327e-06,-1.1102230246251565e-15,0.7076634578941644,0.658067697568676,0.7890484901439484,0.522471380152599,"[0.04051875732169121, 0.03676775612934874, 0.03355789152439712, 0.032119998407936216]","[0.036048893671200066, 0.03324256455687087, 0.030883749581790288, 0.029898127470373084]",0.03823760638203455,0.0,0.0,False,0.0,0.0,0,1.05693709590814,0.06278606768778348,0.06745199665666606,0.06381836432631788,0.7076634578941644,6.081880984738982,2.4278700153925327e-06,0.0,0.3089813358410898,0.14642004243226517,0.20472321680147554,0.3892194905217772,5.375434278048768,0.3178044369384363,0.30067896098678243,0.3177987478259635,5.689112472784252e-06,1.7901299703648638e-05,0.30068434362733387,1.05693709590814,0.06745199665666606,0.02,"Temporary-equilibrium household-unit diagnostic; closed M=0, rho=1, inherited birth queue and births/2.1; not production or a resident-population forecast"
tax2-equal-rebate,tax2-equal-rebate,10,2047,24,-0.03200017062648686,0.5930825975066062,0.9487886156270804,1.015650480730499,1.0156504807304838,0.899404538605991,0.044280516740888974,0.06397017109286988,0.06905405480308027,0.06798997894769239,0.04051875732169121,0.036048893671200066,0.9150470749650461,0.0,1.0,0.04051875732169121,0.04051875732169121,0.08369577221251079,6.26368421640567,6.167165117571315,6.26370711783318,3.6562098257650183e-06,-1.1102230246251565e-16,0.7132461442322802,0.6603517402288507,0.7934161787615056,0.5395942583553924,"[0.03676775612934874, 0.03355789152439712, 0.032119998407936216, 0.03288288323956203]","[0.03324256455687087, 0.030883749581790288, 0.029898127470373084, 0.030461986234699943]",0.03595811289781851,0.0,0.0,False,0.0,0.0,0,1.015650480730499,0.06397017109286988,0.06905405480308027,0.06798997894769239,0.7132461442322802,6.167165117571315,3.6562098257650183e-06,0.0,0.29124169146172885,0.16524491354999055,0.23993917507994705,0.3999235051686728,5.510025183800016,0.2971905684021605,0.2926028111912519,0.2971821858494092,8.382552751318162e-06,2.8205985123911565e-05,0.2926110645745864,1.015650480730499,0.06905405480308027,0.02,"Temporary-equilibrium household-unit diagnostic; closed M=0, rho=1, inherited birth queue and births/2.1; not production or a resident-population forecast"
tax2-equal-rebate,tax2-equal-rebate,11,2051,28,-0.03200017062648686,0.5694511304815644,0.9109839877756003,0.972473465839679,0.9724734658396645,0.8611693347705819,0.04051875732169122,0.06748428168440457,0.07407923301299003,0.07617609694782425,0.03676775612934874,0.03324256455687087,0.9074255618808322,0.0,1.0,0.03676775612934874,0.03676775612934874,0.07899439375243149,6.105271735663937,6.2780856754712175,6.105292113022767,3.3376550134567723e-06,5.551115123125783e-16,0.7210603706897313,0.6659971231278304,0.7981950628390839,0.5603469392873159,"[0.03355789152439712, 0.032119998407936216, 0.03288288323956203, 0.03527582524428097]","[0.030883749581790288, 0.029898127470373084, 0.030461986234699943, 0.03213537223066884]",0.034631658876438216,0.0,0.0,False,0.0,0.0,0,0.972473465839679,0.06748428168440457,0.07407923301299003,0.07617609694782425,0.7210603706897313,6.2780856754712175,3.3376550134567723e-06,0.0,0.271261388075327,0.18636904172672825,0.2796502664538032,0.41189327250320734,5.643016171595717,0.2781323113416777,0.28599766865904497,0.2781251440628637,7.167278814002032e-06,2.5769313818405053e-05,0.2860050388126438,0.972473465839679,0.07407923301299003,0.02,"Temporary-equilibrium household-unit diagnostic; closed M=0, rho=1, inherited birth queue and births/2.1; not production or a resident-population forecast"
tax2-equal-rebate,tax2-equal-rebate,12,2055,32,-0.03200017062648686,0.5480363869706019,0.8767255810457538,0.9302468282165969,0.930246828216583,0.8237757330849365,0.03676775612934873,0.06258877292463794,0.06864520011891885,0.0737924581269689,0.03355789152439712,0.030883749581790288,0.912698925828943,0.0,1.0,0.03355789152439712,0.03355789152439712,0.08024809606981158,5.95963352055159,6.406507756631619,5.959623130287561,1.743443134165637e-06,-5.551115123125783e-16,0.7326048012327742,0.6755765257372801,0.8055287335869321,0.5859373842763944,"[0.032119998407936216, 0.03288288323956203, 0.03527582524428097, 0.0326881905328185]","[0.029898127470373084, 0.030461986234699943, 0.03213537223066884, 0.02980417758316092]",0.03307043866485014,0.0,0.0,False,0.0,0.0,0,0.9302468282165969,0.06258877292463794,0.06864520011891885,0.0737924581269689,0.7326048012327742,6.406507756631619,1.743443134165637e-06,0.0,0.24874353553349535,0.20480143525984829,0.3110745695261767,0.4247707974300011,5.774510231290162,0.2612876817817585,0.28087068195162596,0.26127906102446696,8.620757291522008e-06,3.2993355188946594e-05,0.28087994912355285,0.9302468282165969,0.06864520011891885,0.02,"Temporary-equilibrium household-unit diagnostic; closed M=0, rho=1, inherited birth queue and births/2.1; not production or a resident-population forecast"
tax2-equal-rebate,tax2-equal-rebate,13,2059,36,-0.03200017062648686,0.5235052670859349,0.8374817263567013,0.8835566236711822,0.883556623671169,0.7824294405627445,0.03355789152439713,0.05836793603001788,0.06405520638106678,0.07249700207658122,0.032119998407936216,0.029898127470373084,0.9571518635068136,0.0,1.0,0.032119998407936216,0.032119998407936216,0.07739275692906089,5.79011931657005,6.553195529803258,5.7901410511685265,3.7537252174807124e-06,6.661338147750939e-16,0.7426926473609244,0.6845176687570772,0.8107091686565447,0.6107557611921698,"[0.03288288323956203, 0.03527582524428097, 0.0326881905328185, 0.030502479229079418]","[0.030461986234699943, 0.03213537223066884, 0.02980417758316092, 0.027794255252389464]",0.03144305760738432,0.0,0.0,False,6.673204677046536e-67,0.0,0,0.8835566236711822,0.05836793603001788,0.06405520638106678,0.07249700207658122,0.7426926473609244,6.553195529803258,3.7537252174807124e-06,6.673204677046536e-67,0.2273456157434957,0.2374341537828868,0.3606639293655677,0.439585941743694,5.9296171451730855,0.24249263674243476,0.27444224173974113,0.24248526050425573,7.3762381790354326e-06,3.041840064970779e-05,0.27445059008774897,0.8835566236711822,0.06405520638106678,0.02,"Temporary-equilibrium household-unit diagnostic; closed M=0, rho=1, inherited birth queue and births/2.1; not production or a resident-population forecast"
