year,baseline_tfr,policy_tfr,baseline_households,policy_households,baseline_births,policy_births,household_difference_percent,birth_difference_percent
2023,1.6986410336237445,1.6954505951815828,1.0000000000006855,1.0000000000007079,0.10486298181621209,0.10466602502444511,2.2426505097428162e-12,-0.18782299373498734
2027,1.7056393853741407,1.7083653569195225,0.9877081198892268,0.9877081198892399,0.10279839350694493,0.10294705937655674,1.3322676295501878e-12,0.14461886469243623
2031,1.7123744396354061,1.7189300832280603,0.9757335675208971,0.9757335675209154,0.10040859600524374,0.10076324212853496,1.887379141862766e-12,0.3532029501465139
2035,1.7177914203008418,1.727358615332869,0.9639242137217798,0.963924213721802,0.09764980045012164,0.09815893819993923,2.3092638912203256e-12,0.5213914902751471
2039,1.7239105755523,1.7356487256863067,0.9521629732319596,0.9521629732319938,0.09475968752809907,0.09537386690701637,3.597122599785507e-12,0.6481441580684422
2043,1.7310700804585166,1.7436777551857443,0.9403642702969885,0.9402704813485625,0.09183034008191471,0.09246109029565937,-0.009973682687502983,0.686864725952252
2047,1.738416676121876,1.751452854124385,0.9275824300718765,0.9275594343946947,0.08885599907469985,0.08950745170290542,-0.002479097968688393,0.7331554818914343
2051,1.7458111411386954,1.7591228321684,0.9136625910364331,0.9138084744655802,0.08635752363117623,0.08703958438167672,0.015966882148643613,0.7898104552111818
2055,1.7534591154598878,1.766733246466138,0.8984290398318591,0.8988173698085372,0.08604140179577062,0.08676950777165576,0.04322322180845273,0.8462274680431037
2059,1.7614748533499922,1.7748584395037499,0.8818192443786919,0.8825000407262811,0.08528640241598683,0.08608224435176147,0.077203616492727,0.9331404693246448
2063,1.7706954640264811,1.7841236126458329,0.8638145215701777,0.8647956751624308,0.0841462804936669,0.08501383686585365,0.11358382705464187,1.031009769055724
2067,1.7810703282004285,1.7943497691872126,0.8443934459010921,0.8456848150305732,0.08264261651389586,0.08358149666708106,0.15293452782583206,1.136072637568697
2071,1.7916992624748105,1.8055569914322207,0.8237826200208098,0.8253987799838686,0.08085501517206825,0.08190961276966571,0.19618767424565142,1.3043069689037345
2075,1.8033062347073985,1.8171962629893508,0.8030212599331773,0.8049841370276063,0.07925611235495127,0.08037035277512637,0.24443650403382922,1.4058731712513817
2079,1.8150643602527812,1.8287655947307833,0.7826486284754136,0.7849904779202,0.07784705829346819,0.07899660843779864,0.29922105010882216,1.476677692812589
2083,1.8266350197514019,1.840159728800581,0.762654597892531,0.7654095694193503,0.07664056527138258,0.07781855614185434,0.36123450044518446,1.5370331185587283
2087,1.8374317363940489,1.851152768983884,0.743130020321087,0.7463320776351159,0.07559848801084597,0.07681956871934077,0.4308878966624574,1.6152184264844216
2091,1.8471206545718097,1.8601066912785766,0.7243018047236593,0.7280060513699098,0.07467722337611644,0.07591605289780079,0.51142308663219,1.658912136361712
2095,1.852837725265838,1.8648677450481128,0.7124415441669618,0.7166820907692241,0.07375214187904201,0.07500545240045456,0.5952132686507738,1.6993547434433154
