measurement,own_rate_2534,interpretation
production_whole_nodes,0.4884560043583068,unchanged model age_to_index aggregation
cells_start_at_node,0.48059143074241106,diagnostic uniform density within each four-year cell
cells_centered_at_node,0.4888320256782024,diagnostic uniform density within each four-year cell
