f_c_y,control,K,rows,unsupported
1968,0,1,34,1
1968,0,2,34,1
1968,0,3,35,1
1968,0,4,38,1
1968,0,5,39,1
1968,0,6,41,1
1968,0,7,47,1
1968,0,8,48,1
1968,0,9,43,1
1968,0,10,46,1
1968,0,11,45,1
1968,0,12,46,1
1968,0,13,46,1
1968,0,17,45,1
1968,0,18,45,1
1968,0,19,44,1
1968,0,20,42,1
1968,0,21,39,1
1968,0,22,42,1
1968,0,23,41,1
1968,0,24,39,1
1968,0,25,39,1
1968,0,26,43,1
1968,0,27,39,1
1968,0,28,42,1
1968,0,29,32,1
1968,0,31,31,1
1968,0,33,29,1
1968,0,35,30,1
1968,0,37,28,1
1968,0,39,29,1
1968,0,41,31,1
1968,0,43,28,1
1968,0,45,26,1
1968,0,47,27,1
1968,0,49,28,1
1968,0,51,25,1
1969,0,0,40,1
1969,0,1,43,1
1969,0,2,46,1
1969,0,3,47,1
1969,0,4,46,1
1969,0,5,47,1
1969,0,6,59,1
1969,0,7,62,1
1969,0,8,63,1
1969,0,9,60,1
1969,0,10,62,1
1969,0,11,58,1
1969,0,12,58,1
1969,0,16,61,1
1969,0,17,61,1
1969,0,18,61,1
1969,0,19,60,1
1969,0,20,58,1
1969,0,21,58,1
1969,0,22,57,1
1969,0,23,53,1
1969,0,24,52,1
1969,0,25,53,1
1969,0,26,53,1
1969,0,27,52,1
1969,0,28,37,1
1969,0,30,39,1
1969,0,32,39,1
1969,0,34,41,1
1969,0,36,40,1
1969,0,38,36,1
1969,0,40,37,1
1969,0,42,33,1
1969,0,44,34,1
1969,0,46,30,1
1969,0,48,26,1
1969,0,50,27,1
1970,0,-1,14,1
1970,0,0,22,1
1970,0,1,24,1
1970,0,2,26,1
1970,0,3,31,1
1970,0,4,30,1
1970,0,5,63,1
1970,0,6,66,1
1970,0,7,66,1
1970,0,8,66,1
1970,0,9,65,1
1970,0,10,65,1
1970,0,11,66,1
1970,0,15,66,1
1970,0,16,63,1
1970,0,17,62,1
1970,0,18,62,1
1970,0,19,63,1
1970,0,20,63,1
1970,0,21,58,1
1970,0,22,61,1
1970,0,23,61,1
1970,0,24,64,1
1970,0,25,66,1
1970,0,26,64,1
1970,0,27,49,1
1970,0,29,49,1
1970,0,31,47,1
1970,0,33,46,1
1970,0,35,46,1
1970,0,37,46,1
1970,0,39,42,1
1970,0,41,40,1
1970,0,43,35,1
1970,0,45,34,1
1970,0,47,31,1
1970,0,49,30,1
1971,0,-2,14,0
1971,0,-1,17,0
1971,0,0,20,0
1971,0,1,23,0
1971,0,2,24,0
1971,0,3,24,0
1971,0,4,61,0
1971,0,5,62,0
1971,0,6,62,0
1971,0,7,61,0
1971,0,8,65,0
1971,0,9,65,0
1971,0,10,65,0
1971,0,14,64,0
1971,0,15,65,0
1971,0,16,61,0
1971,0,17,59,0
1971,0,18,56,0
1971,0,19,59,0
1971,0,20,56,0
1971,0,21,60,0
1971,0,22,59,0
1971,0,23,61,0
1971,0,24,59,0
1971,0,25,54,0
1971,0,26,37,0
1971,0,28,37,0
1971,0,30,34,0
1971,0,32,33,0
1971,0,34,32,0
1971,0,36,32,0
1971,0,38,34,0
1971,0,40,31,0
1971,0,42,31,0
1971,0,44,26,0
1971,0,46,29,0
1971,0,48,26,0
1972,0,-3,13,0
1972,0,-2,16,0
1972,0,-1,17,0
1972,0,0,21,0
1972,0,1,21,0
1972,0,2,24,0
1972,0,3,64,0
1972,0,4,66,0
1972,0,5,64,0
1972,0,6,64,0
1972,0,7,68,0
1972,0,8,68,0
1972,0,9,69,0
1972,0,13,64,0
1972,0,14,63,0
1972,0,15,62,0
1972,0,16,58,0
1972,0,17,58,0
1972,0,18,56,0
1972,0,19,53,0
1972,0,20,47,0
1972,0,21,48,0
1972,0,22,58,0
1972,0,23,60,0
1972,0,24,53,0
1972,0,25,38,0
1972,0,27,36,0
1972,0,29,40,0
1972,0,31,38,0
1972,0,33,39,0
1972,0,35,38,0
1972,0,37,37,0
1972,0,39,34,0
1972,0,41,32,0
1972,0,43,33,0
1972,0,45,32,0
1972,0,47,32,0
1973,0,-4,12,0
1973,0,-3,14,0
1973,0,-2,16,0
1973,0,-1,18,0
1973,0,0,27,0
1973,0,1,32,0
1973,0,2,71,0
1973,0,3,72,0
1973,0,4,74,0
1973,0,5,77,0
1973,0,6,77,0
1973,0,7,75,0
1973,0,8,71,0
1973,0,12,74,0
1973,0,13,73,0
1973,0,14,69,0
1973,0,15,68,0
1973,0,16,66,0
1973,0,17,67,0
1973,0,18,65,0
1973,0,19,66,0
1973,0,20,61,0
1973,0,21,68,0
1973,0,22,68,0
1973,0,23,63,0
1973,0,24,42,0
1973,0,26,42,0
1973,0,28,45,0
1973,0,30,45,0
1973,0,32,40,0
1973,0,34,37,0
1973,0,36,39,0
1973,0,38,38,0
1973,0,40,38,0
1973,0,42,34,0
1973,0,44,32,0
1973,0,46,30,0
1974,0,-5,4,0
1974,0,-4,5,0
1974,0,-3,7,0
1974,0,-2,9,0
1974,0,-1,12,0
1974,0,0,14,0
1974,0,1,55,0
1974,0,2,63,0
1974,0,3,65,0
1974,0,4,62,0
1974,0,5,62,0
1974,0,6,62,0
1974,0,7,59,0
1974,0,11,65,0
1974,0,12,65,0
1974,0,13,64,0
1974,0,14,64,0
1974,0,15,63,0
1974,0,16,64,0
1974,0,17,64,0
1974,0,18,62,0
1974,0,19,58,0
1974,0,20,65,0
1974,0,21,58,0
1974,0,22,56,0
1974,0,23,39,0
1974,0,25,36,0
1974,0,27,37,0
1974,0,29,34,0
1974,0,31,36,0
1974,0,33,32,0
1974,0,35,29,0
1974,0,37,27,0
1974,0,39,27,0
1974,0,41,29,0
1974,0,43,28,0
1974,0,45,28,0
1975,0,-6,4,0
1975,0,-5,5,0
1975,0,-4,6,0
1975,0,-3,7,0
1975,0,-2,12,0
1975,0,-1,19,0
1975,0,0,56,0
1975,0,1,64,0
1975,0,2,64,0
1975,0,3,64,0
1975,0,4,68,0
1975,0,5,69,0
1975,0,6,72,0
1975,0,10,77,0
1975,0,11,77,0
1975,0,12,76,0
1975,0,13,71,0
1975,0,14,69,0
1975,0,15,69,0
1975,0,16,66,0
1975,0,17,63,0
1975,0,18,64,0
1975,0,19,69,0
1975,0,20,65,0
1975,0,21,66,0
1975,0,22,40,0
1975,0,24,39,0
1975,0,26,37,0
1975,0,28,37,0
1975,0,30,33,0
1975,0,32,35,0
1975,0,34,37,0
1975,0,36,30,0
1975,0,38,31,0
1975,0,40,29,0
1975,0,42,32,0
1975,0,44,29,0
1976,0,-7,2,0
1976,0,-6,4,0
1976,0,-5,4,0
1976,0,-4,4,0
1976,0,-3,7,0
1976,0,-2,10,0
1976,0,-1,37,0
1976,0,0,44,0
1976,0,1,57,0
1976,0,2,60,0
1976,0,3,66,0
1976,0,4,65,0
1976,0,5,63,0
1976,0,9,66,0
1976,0,10,64,0
1976,0,11,66,0
1976,0,12,67,0
1976,0,13,59,0
1976,0,14,57,0
