case_id,loss,outer_tenure_scale,lambda_value,inner_fertility_scale,fertility_loss,ownership_loss,other_loss,parent_ownership_gap,childless_rate,mean_age_first_birth,share_first_births_age30plus,receipt_sha256
1,450.7052931460765,2.0383678960910228,0.9951219079689325,2.028424549900717,34.965124500823336,385.78824385564303,29.95192478961006,0.004416309412494712,0.19116019885322164,25.75639490192344,0.20458678024129062,8cc57fb89e028651946ef051b9dc5aa5e07ce7917dacdbfbc09ce9805121c03a
3,3674.1694528266366,0.01,0.20000000000000004,0.0020000000000000005,1928.5057227274451,180.24863791635758,1565.415092182834,0.23982736479131672,0.4146963588068059,23.322752708937728,0.0015246389075700955,7ca6a9aefc74c4f1d08e8687b5d3252d05f7b544da1f66a6dd51ac39fea53e4b
4,4011.125399705374,0.01,0.5,0.005,1959.9396150868977,256.61957479921296,1794.566209819264,0.2798787272279065,0.41439944783571264,23.207821407376514,0.0005405380265468449,ad76e52a20e202c5aa152f47967f0624d551dd3a018f64070c44974b716a6f6a
6,3274.4584858516705,0.03,0.05000000000000001,0.0015000000000000002,2022.851050310229,128.3901084042532,1123.217327137188,0.1154700562620159,0.41438423291410204,22.977410550540075,0.00016751270058693642,be1cb1778d9d5dab366910da5e24c5bd3a4167cbf71e6318f4b15ef6398516a3
7,2886.568711103578,0.03,0.20000000000000004,0.006000000000000001,1783.51776802324,87.15159183204956,1015.8993512482882,0.13073612188335793,0.41335259880904685,23.89616139956216,0.003634472697374096,0e2f102824035b9cf388192cbf2479638c0668f0b5153ee84b4d7b21c8877aab
8,2508.8116171874844,0.03,0.5,0.015,1922.340560602639,105.31277642597688,481.158280158869,0.2444765480395853,0.41430851990463224,23.319313755755843,0.002350458339253652,9e8b908b24708c7597906a0c79672637d40a5d20d29a34235eef2cff600630ba
9,2297.858680689345,0.03,1.0,0.03,1772.8963573285018,53.434929189689,471.52739417115407,0.2181238844832769,0.4150977260375724,23.8338115566158,0.009873548960982631,33418f99ce3b2e86f1009c652db945651cca967cedbbc94d5f4e3e8e9473803d
11,2518.051707127959,0.1,0.20000000000000004,0.020000000000000004,1889.2384581464034,122.8870459020641,505.9262030794911,0.07563606844268778,0.4140096799467273,23.47313134898841,0.0012745930081275018,cd1fa9e63d7fbe9bad3520d615422d1b1a76d688abadc82acec0d72d45d97a54
12,2290.259904925789,0.1,0.5,0.05,1963.2007336028687,38.60428016573538,288.4548911571848,0.1329191548360502,0.41415640245041674,23.145392433932923,0.0024636342917360088,3f459326ac621f55137e5a79bb9f2ddd978aa0b06bf5fbba0c8f874ccc3ba382
14,2488.7014970902956,0.3000000000000003,0.05000000000000001,0.015000000000000019,1797.5087294981067,220.96767672552505,470.2250908666638,0.04519360891685592,0.4132825188682568,23.824289324584836,0.0034896073169467944,b6c3fe2cc9a8c5c939e8964eaff2df688951c9facd758b1cb57151679f12bd1c
15,2510.976506637941,0.3000000000000003,0.20000000000000004,0.060000000000000074,1880.7609316508729,305.6040770175393,324.6114979695289,0.02161002343587648,0.413144554499438,23.326765252621026,0.007806223889909084,4971d1103728d79583f816a07ddd8a330afda3041de3f2ab1038a2841faced2a
16,2294.138888093585,0.3000000000000003,0.5,0.15000000000000016,1880.604283755371,269.9548878515034,143.57971648671116,0.030371180865782166,0.41197131592616376,23.123133433377443,0.015020553225022926,574bdea002ec0205ba90d8df078b34295a4583f2c4f62d427357574d0074fe77
18,2270.694989325569,0.5000000000000004,0.05000000000000001,0.025000000000000026,1706.6326613568226,259.3759368892373,304.6863910795093,0.03443125011646131,0.41353748000569734,24.190934594617964,0.008155568155371239,b0dba9c5d48cf197f15dc93920aaada6f571c4420a9075e9d02f182246985cd9
19,2460.2769323947355,0.5000000000000004,0.20000000000000004,0.1000000000000001,1870.096505273485,301.09566554445377,289.08476157679695,0.023786584333369887,0.4129153099012782,23.285911797417675,0.011208588019802509,8de9dfab46b1c5acc97a10fd32eeddf5cfa1f25cfcb23fac075ae8e7f3643d4f
20,2362.280181720126,0.5000000000000004,0.5,0.2500000000000002,1805.5248532997675,378.67385082899165,178.08147759136673,0.005148782736293267,0.40735663256844357,23.08206609945895,0.024140707868660703,c068c690de547e2a3879efc41339165a3c39ff59b858d38e63b746ad1160b1eb
21,1448.482328203762,0.5000000000000004,1.0,0.5000000000000004,1121.5791784509224,245.43555356095686,81.46759619188337,0.03940526727125171,0.36584523354519044,23.77268177771487,0.07564678570954649,d34f0e7b482708f2a93a6480d07779c9d44bc10fd5f45e839c02a02d3bbb0009
22,2302.463098104547,0.9999999999999996,0.05000000000000001,0.04999999999999999,1776.4626460158984,312.2580023022765,213.74244978637242,0.021499716804472824,0.413032618464252,23.818038868366568,0.007118926120977371,0c09ef236b116877ad31ccb7349b28ad64f353c6d63c2cef9b14bcad97401ed0
25,813.7200271949937,0.9999999999999996,1.0,0.9999999999999996,401.8718808257021,353.207685683664,58.64046068562766,0.011729634025477387,0.2883350327441202,24.715895158695073,0.1381868634500241,8f30db946ad498bc926b9c361495e4cf692e9e3d39b974803d1d640aaec65c7c
26,2391.520539307772,2.0,0.05000000000000001,0.10000000000000002,1894.6674298644919,361.155996873845,135.69711256943535,0.010058884246654631,0.4127322371481202,23.276740286428875,0.006744799298045294,2451295d62a8c93abd0e5f8bf2431099a5e6c26442174288b397c39608cb94d0
28,940.1672487956175,2.0,0.5,1.0,507.4796061468596,384.3623499329106,48.325292715847354,0.004791935849808027,0.3074390386522528,24.62984456491788,0.12886337055863273,e221d521cd549ebe4c99f5e3140e876beaa22e67f70449089daad51892cc7007
29,2450.272769247039,3.999999999999999,0.05000000000000001,0.19999999999999998,1777.8826407116544,400.5031580444005,271.8869704909838,0.0013090484829249016,0.40801516770860224,23.25271126575567,0.023430582271304422,1d2c26b34d27d2b877df4515680bd1742beb6c1137481f8f6e1511a623f28c36
30,834.6281484201845,3.999999999999999,0.20000000000000004,0.7999999999999999,482.19828698109626,308.2693420716212,44.16051936746713,0.022839932662342077,0.3046185357166235,24.708967925855678,0.1302567749711665,ea7efdc19acfd9e5d9a631abfbf344dc343933b975f0f4c488eed0645f2e7f6f
31,453.91550929520196,3.999999999999999,0.5,1.9999999999999996,23.12867351434285,399.1531163548863,31.633719425972785,0.0015393858428670582,0.1673494793262469,26.052947428572978,0.22491115619673677,c3acaf63a5993bdcdb55f906ce54186f7dc76deef1ce0cf2b2e12a509acd900a
32,521.5851453670371,3.999999999999999,1.0,3.999999999999999,93.61976919723261,401.72276774919374,26.24260842061065,0.001079222986845596,0.11906638477278773,26.196697777601734,0.23779163891943492,0ae484106677cebd6eda87ef2efdf2ae3d24795432ba55c204712d6b9d3dabd7
