calendar_year,household_mass_absolute_difference,births_per_household_pct_change,total_adjusted_births_pct_change,household_mass_pct_change,asset_price_pct_change,young_mean_rooms_whole_nodes_pct_change,housing_demand_per_adult_pct_change,owner_rate_pp_change,young_ownership_whole_nodes_pp_change,young_dependent_owner_rate_pp_change,young_dependent_rooms_pct_change
2023,0.0,0.5092634615483371,0.5092634615483149,0.0,-4.801636652481123,-4.281907483344815,-3.053938448917415,0.02162936069082244,1.2359590699936251,0.10646991655272608,-3.476741705440889
2027,6.661338147750939e-16,0.6076058049386601,0.6076058049386157,-5.551115123125783e-14,-6.097942543069945,-4.845826575413204,-3.886289235431284,0.5951725500465299,2.1823420612471054,0.06448941474066494,-4.128744279624619
2031,0.0,0.7084278600495875,0.7084278600495875,0.0,-6.946168673418951,-5.120845702777133,-4.434108878608301,1.0131637281692862,2.9659082386763624,0.38979532068145195,-4.4433364311784125
2035,6.661338147750939e-16,0.7921383324667186,0.792138332466763,6.661338147750939e-14,-7.511217723873564,-5.051772706173685,-4.800217849426147,1.1308045270827183,3.3830384633538824,1.1428713594570206,-4.472531685519909
2039,1.1102230246251565e-15,0.8586458995480495,0.8586458995481383,1.1102230246251565e-13,-7.869802026354112,-4.798647230877428,-5.032853232205737,0.8594919662175404,3.228397744233613,1.2938502639774085,-4.285324153896941
2043,0.00024010802452822944,0.9267999094561441,0.9497330064802467,0.022722504869543414,-8.008585601427743,-4.759326076482651,-5.144647667576119,0.7089464472326057,2.4025382622896885,0.6681587275555678,-4.363726986639094
2047,0.0005075341182330106,0.9435428637974086,0.9940109207244419,0.049996320215472956,-7.966605444450359,-4.5924247906908855,-5.143956778260527,0.7904412571223873,2.1987008629936855,0.8964168334209155,-4.333661779265241
2051,0.000792561073286735,0.891334913528552,0.97362792174982,0.08156598214486,-7.832886772396607,-4.480399988801221,-5.086258990587245,0.9991155007680441,2.3303291347132546,1.5597193064042836,-4.230136353904578
2055,0.0010815235807875023,0.9314721866387154,1.0489537226676893,0.11639732729920027,-7.701127076423974,-4.553141124145199,-5.033405650520173,1.2318318936880401,2.1447067379304965,1.508982969498407,-4.315656358193576
2059,0.001367213971510961,0.9805144529487775,1.1370136907455919,0.15497964002724185,-7.627618277718662,-4.563699793272136,-5.02325826801756,1.5015038415839288,2.0468355759057255,1.5330914733505396,-4.2870931116066995
2063,0.00166939825419965,1.049669675288989,1.251306329707913,0.19954212128241444,-7.591092425432199,-4.49714437351213,-5.0420171848929884,1.4628740257914608,2.1540839044880467,1.7456737233746245,-4.183808125172483
