policy_case,policy_label,calendar_year,asset_price,baseline_asset_price,difference_asset_price,percent_difference_asset_price,housing_user_cost,baseline_housing_user_cost,difference_housing_user_cost,percent_difference_housing_user_cost,owner_rate,baseline_owner_rate,difference_owner_rate,percent_difference_owner_rate,dependent_child_owner_rate,baseline_dependent_child_owner_rate,difference_dependent_child_owner_rate,percent_difference_dependent_child_owner_rate,topcode_adjusted_births_per_adult,baseline_topcode_adjusted_births_per_adult,difference_topcode_adjusted_births_per_adult,percent_difference_topcode_adjusted_births_per_adult,population_index_2023,baseline_population_index_2023,difference_population_index_2023,percent_difference_population_index_2023,housing_demand_per_adult,baseline_housing_demand_per_adult,difference_housing_demand_per_adult,percent_difference_housing_demand_per_adult
baseline,No policy,2023,0.6937334343958133,0.6937334343958133,0.0,0.0,0.11495958675719566,0.11495958675719566,0.0,0.0,0.637167316564105,0.637167316564105,0.0,0.0,0.6015952547308694,0.6015952547308694,0.0,0.0,0.08460666172062539,0.08460666172062539,0.0,0.0,1.0,1.0,0.0,0.0,6.328594153552578,6.328594153552578,0.0,0.0
baseline,No policy,2027,0.6976356849642897,0.6976356849642897,0.0,0.0,0.11560623443270489,0.11560623443270489,0.0,0.0,0.6415316840646684,0.6415316840646684,0.0,0.0,0.614406647063449,0.614406647063449,0.0,0.0,0.07776470142113401,0.07776470142113401,0.0,0.0,1.012364514941212,1.012364514941212,0.0,0.0,6.273673177927423,6.273673177927423,0.0,0.0
supply-plus-20,Housing supply +20%,2023,0.5675267135285633,0.6937334343958133,-0.12620672086724993,-18.192394168974424,0.0940456855993025,0.11495958675719566,-0.020913901157893156,-18.192394168974424,0.6555302773535758,0.637167316564105,0.01836296078947086,2.8819684111376365,0.630039423131393,0.6015952547308694,0.02844416840052366,4.728123796995121,0.08574316618098182,0.08460666172062539,0.00113650446035643,1.3432801120427218,1.0,1.0,0.0,0.0,6.692067754597165,6.328594153552578,0.36347360104458737,5.743354562253766
supply-plus-20,Housing supply +20%,2027,0.5799469026400624,0.6976356849642897,-0.1176887823242273,-16.869662040044798,0.09610385338668567,0.11560623443270489,-0.019502381046019215,-16.869662040044798,0.6670890550613624,0.6415316840646684,0.025557370996693973,3.9838049517313845,0.6517685452796902,0.614406647063449,0.03736189821624114,6.080972332381496,0.07888456984644872,0.07776470142113401,0.00111986842531471,1.440072944214199,1.0123645149412113,1.012364514941212,-6.661338147750939e-16,-6.661338147750939e-14,6.701216917726889,6.273673177927423,0.42754373979946614,6.8148870314712395
dependent-child-ltv95,5% down payment for dependent-child households,2023,0.6941527615026757,0.6937334343958133,0.0004193271068624327,0.0604449902616544,0.1150290740682159,0.11495958675719566,6.94873110202443e-05,0.0604449902616766,0.6444908319634506,0.637167316564105,0.007323515399345615,1.1493865439987205,0.6214880897666847,0.6015952547308694,0.019892835035815293,3.3066808422075322,0.08462188436104401,0.08460666172062539,1.5222640418616207e-05,0.017992248020481938,1.0,1.0,0.0,0.0,6.331364468527633,6.328594153552578,0.0027703149750557543,0.04377457153734721
dependent-child-ltv95,5% down payment for dependent-child households,2027,0.6984234279064518,0.6976356849642897,0.0007877429421621063,0.11291609061001573,0.11573677247312776,0.11560623443270489,0.00013053804042287287,0.11291609061001573,0.6521811618619785,0.6415316840646684,0.01064947779731007,1.660008080947195,0.6441265726773877,0.614406647063449,0.029719925613938658,4.8371751438538,0.07778048086570369,0.07776470142113401,1.5779444569680168e-05,0.020291268765015857,1.0123645149412106,1.012364514941212,-1.3322676295501878e-15,-1.3322676295501878e-13,6.27818782265849,6.273673177927423,0.004514644731067108,0.0719617455839261
combined,Supply +20% and family credit,2023,0.5687459578147369,0.6937334343958133,-0.12498747658107634,-18.0166430481948,0.0942477283614719,0.11495958675719566,-0.02071185839572376,-18.0166430481948,0.6670511397892199,0.637167316564105,0.029883823225114958,4.690106106864067,0.6611980846853387,0.6015952547308694,0.059602829954469305,9.90746344585669,0.08576198178943287,0.08460666172062539,0.001155320068807475,1.3655190327948263,1.0,1.0,0.0,0.0,6.701218843058867,6.328594153552578,0.37262468950628946,5.887953634965126
combined,Supply +20% and family credit,2027,0.5815927293032671,0.6976356849642897,-0.11604295566102263,-16.633747120742914,0.09637658574135555,0.11560623443270489,-0.01922964869134934,-16.633747120742903,0.6824056853709658,0.6415316840646684,0.04087400130629737,6.371314515181004,0.6940762953770094,0.614406647063449,0.07966964831356038,12.966924868788565,0.07890418857574866,0.07776470142113401,0.001139487154614649,1.4653012662438902,1.012364514941211,1.012364514941212,-8.881784197001252e-16,-8.881784197001252e-14,6.713101517391056,6.273673177927423,0.4394283394636336,7.004323097506382
property-tax-2pct-no-rebate,Property tax: 1% to 2% (no rebate),2023,0.6403001955269467,0.6937334343958133,-0.05343323886886653,-7.702272403146127,0.13171709405270324,0.11495958675719566,0.01675750729550758,14.576868070081762,0.6138303587415375,0.637167316564105,-0.023336957822567506,-3.662610622969642,0.5776265854325511,0.6015952547308694,-0.023968669298318312,-3.9841852324850824,0.083637923261879,0.08460666172062539,-0.0009687384587463987,-1.144990759646336,1.0,1.0,0.0,0.0,6.017008637429662,6.328594153552578,-0.31158551612291596,-4.923455487313976
property-tax-2pct-no-rebate,Property tax: 1% to 2% (no rebate),2027,0.635387934857145,0.6976356849642897,-0.062247750107144784,-8.922672886254535,0.1307065856924439,0.11560623443270489,0.015100351259739006,13.061883153480803,0.6201184077713557,0.6415316840646684,-0.02141327629331269,-3.3378361233292075,0.5875405052503472,0.614406647063449,-0.026866141813101874,-4.372697128442271,0.07687452853001353,0.07776470142113401,-0.0008901728911204776,-1.1447004551586426,1.0123645149412102,1.012364514941212,-1.7763568394002505e-15,-1.7763568394002505e-13,5.914768888401754,6.273673177927423,-0.3589042895256682,-5.720799910145081
