summary_path,arm,seed,eligible,search_cases,search_strict,tight_loss,tight_residual
/scratch/td2248/projects/Fertility_Spring26/output/model/eqscale_seq_e5_maturation_repair_multistart_20260807/production/chain_10/summary.json,E5_MATURATION_REPAIR,2026080510,True,1000,1000,284.14725684916436,1.0642851753021047e-06
/scratch/td2248/projects/Fertility_Spring26/output/model/eqscale_seq_e5_maturation_repair_multistart_20260807/production/chain_11/summary.json,E5_MATURATION_REPAIR,2026080511,True,1000,1000,264.2934481552886,3.2721707169044633e-06
/scratch/td2248/projects/Fertility_Spring26/output/model/eqscale_seq_e5_maturation_repair_multistart_20260807/production/chain_12/summary.json,E5_MATURATION_REPAIR,2026080512,True,1000,1000,325.2560811529829,8.866535548173472e-06
/scratch/td2248/projects/Fertility_Spring26/output/model/eqscale_seq_e5_maturation_repair_multistart_20260807/production/chain_13/summary.json,E5_MATURATION_REPAIR,2026080513,True,1000,1000,330.5624973319988,1.3076151958290914e-05
/scratch/td2248/projects/Fertility_Spring26/output/model/eqscale_seq_e5_maturation_repair_multistart_20260807/production/chain_14/summary.json,E5_MATURATION_REPAIR,2026080514,True,1000,998,273.6134963965336,4.983594994289571e-07
/scratch/td2248/projects/Fertility_Spring26/output/model/eqscale_seq_e5_maturation_repair_multistart_20260807/production/chain_15/summary.json,E5_MATURATION_REPAIR,2026080515,True,1000,1000,269.1502427718642,1.571956512810432e-05
/scratch/td2248/projects/Fertility_Spring26/output/model/eqscale_seq_e5_maturation_repair_multistart_20260807/production/chain_16/summary.json,E5_MATURATION_REPAIR,2026080516,True,1000,1000,323.44189854493266,2.0110938219744336e-05
/scratch/td2248/projects/Fertility_Spring26/output/model/eqscale_seq_e5_maturation_repair_multistart_20260807/production/chain_17/summary.json,E5_MATURATION_REPAIR,2026080517,True,1000,1000,284.2684339357662,1.316365814567226e-05
/scratch/td2248/projects/Fertility_Spring26/output/model/eqscale_seq_e5_maturation_repair_multistart_20260807/production/chain_18/summary.json,E5_MATURATION_REPAIR,2026080518,True,1000,1000,282.64883605074357,5.127656009522763e-06
/scratch/td2248/projects/Fertility_Spring26/output/model/eqscale_seq_e5_maturation_repair_multistart_20260807/production/chain_19/summary.json,E5_MATURATION_REPAIR,2026080519,True,1000,1000,281.57340644684996,5.766919875281126e-06
/scratch/td2248/projects/Fertility_Spring26/output/model/eqscale_seq_e5_maturation_repair_multistart_20260807/production/chain_20/summary.json,E5_MATURATION_REPAIR,2026080520,True,1000,1000,296.70174795676337,1.6752324230739457e-05
/scratch/td2248/projects/Fertility_Spring26/output/model/eqscale_seq_e5_maturation_repair_multistart_20260807/production/chain_21/summary.json,E5_MATURATION_REPAIR,2026080521,True,1000,1000,370.53231837165856,2.151404923322711e-05
/scratch/td2248/projects/Fertility_Spring26/output/model/eqscale_seq_e5_maturation_repair_multistart_20260807/production/chain_22/summary.json,E5_MATURATION_REPAIR,2026080522,True,1000,1000,281.04245524698825,8.816137621997657e-06
/scratch/td2248/projects/Fertility_Spring26/output/model/eqscale_seq_e5_maturation_repair_multistart_20260807/production/chain_23/summary.json,E5_MATURATION_REPAIR,2026080523,True,1000,1000,339.65517993997247,8.396736607105944e-06
/scratch/td2248/projects/Fertility_Spring26/output/model/eqscale_seq_e5_maturation_repair_multistart_20260807/production/chain_24/summary.json,E5_MATURATION_REPAIR,2026080524,True,1000,1000,263.5326025297529,1.1297268312768161e-05
/scratch/td2248/projects/Fertility_Spring26/output/model/eqscale_seq_e5_maturation_repair_multistart_20260807/production/chain_9/summary.json,E5_MATURATION_REPAIR,2026080509,True,1000,1000,279.1540929971345,4.009804869602159e-06
