parameter,estimate,lower_bound,upper_bound,transform,distance_to_nearest_bound,distance_as_share_of_range,near_bound_2pct,near_bound_side,external_restriction,external_restriction_satisfied
beta_annual,0.9945782437519028,0.94,0.9995,discount,0.004921756248097209,0.08271859240499496,False,,>= 0.94,True
delta_alpha,0.017862055277757378,0.0,0.25,softzero,0.017862055277757378,0.07144822111102951,False,,,
delta_alpha_jump,0.01623118198616128,0.0,0.25,softzero,0.01623118198616128,0.06492472794464511,False,,,
psi_child,-0.8620729473526386,-3.0,3.0,asinh,2.1379270526473615,0.35632117544122693,False,,,
kappa_fert,4.99384075406205,0.02,50.0,log,4.97384075406205,0.09951662172993299,False,,,
kappa_fert_continuation,5.021218272344446,0.02,50.0,log,5.001218272344446,0.10006439120337028,False,,,
chi,1.0367630639546366,0.1,5.0,log,0.9367630639546366,0.19117613550094623,False,,,
H0,5.925362416509605,0.2,80.0,log,5.725362416509605,0.07174639619686222,False,,,
theta0,0.22951231153149626,0.0,8.0,softzero,0.22951231153149626,0.028689038941437033,False,,,
theta1,0.040786143142108315,0.02,16.0,log,0.020786143142108315,0.0013007598962520848,True,lower,,
