scenario,period,years_from_start,parity_state,child_state,child_state_label,household_mass,household_share,child_units
task_001,4,16.0,0,0,no_children_at_home,0.27821677101531833,0.2463735618846994,0.0
task_001,4,16.0,0,1,no_children_at_home,0.0,0.0,0.0
task_001,4,16.0,0,2,no_children_at_home,0.0,0.0,0.0
task_001,4,16.0,0,3,no_children_at_home,0.0,0.0,0.0
task_001,4,16.0,1,0,no_children_at_home,0.12817426809861732,0.11350412434943416,0.0
task_001,4,16.0,1,1,active_child_stage_1,0.10175310725166499,0.09010698878770414,0.10175310725166499
task_001,4,16.0,1,2,no_children_at_home,0.0,0.0,0.0
task_001,4,16.0,1,3,no_children_at_home,0.0,0.0,0.0
task_001,4,16.0,2,0,no_children_at_home,0.1674370024846552,0.1482730553693705,0.0
task_001,4,16.0,2,1,active_child_stage_1,0.11076689442366522,0.09808910591001821,0.11076689442366522
task_001,4,16.0,2,2,active_child_stage_2,0.048573428093715884,0.043013972337922805,0.09714685618743177
task_001,4,16.0,2,3,no_children_at_home,0.0,0.0,0.0
task_001,4,16.0,3,0,no_children_at_home,0.14508280973297355,0.12847740440559122,0.0
task_001,4,16.0,3,1,active_child_stage_1,0.09477388290805304,0.0839265692736217,0.09477388290805304
task_001,4,16.0,3,2,active_child_stage_2,0.043438962855732025,0.03846717063204863,0.08687792571146405
task_001,4,16.0,3,3,active_child_stage_3,0.011030544383387202,0.009768047049589041,0.03309163315016161
