measurement,own_rate_2534,interpretation
production_whole_nodes,0.35040005644941663,unchanged model age_to_index aggregation
cells_start_at_node,0.3053185008191736,diagnostic uniform density within each four-year cell
cells_centered_at_node,0.35147435163228097,diagnostic uniform density within each four-year cell
