moment,model,source
Initial model completed fertility,1.1428081321612253,exact_stationary_key
"Childless women, ages 40–44",0.46441181272046195,approximate_stationary_analogue
"Exactly one child among mothers, ages 40–44",nan,unavailable_in_extract_moments
Period mean first-birth age,30.203811461003987,approximate_stationary_analogue
First births at age 30+,0.4780077327187853,approximate_stationary_analogue
Wealth / annual gross labor earnings,5.244427193527419,exact_stationary_key
Annual bequests / aggregate wealth,0.008204488564899517,exact_stationary_key
"Old wealth/income p90 / median, ages 76–84",3.853241938484837,exact_stationary_key
"Mean occupied rooms, capped at 9",5.46543816941726,approximate_stationary_analogue
"Ownership, heads 30–55",0.4544640591531505,exact_stationary_key
"First-birth room response, −1 to +3",0.49798343199609607,approximate_stationary_analogue
Rooms: 3+ versus 1–2 resident children (model dependent proxy),0.510591182397329,approximate_stationary_analogue
Recent-parent ownership gap,0.3839313352589574,exact_stationary_key
