date,price,next_price,transfer,gain_tax_per_unit,next_gain_tax_per_unit,rent,rental_user_cost,incumbent_user_cost,owner_user_cost,owner_access_wedge,gross_marginal_value_gap,young_mass,old_mass,previous_owner_share,young_owner_share,average_fertility,renter_fertility,owner_fertility,average_young_housing,renter_housing,owner_housing,average_old_housing,old_renter_housing,old_owner_housing,old_owner_sales,renter_saving,owner_saving,renter_old_branch,owner_old_branch,renter_normalized_euler_residual,owner_normalized_euler_residual,renter_budget_residual,owner_budget_residual,renter_fertility_foc_residual,owner_fertility_foc_residual,renter_child_price_identity_residual,owner_child_price_identity_residual,owner_unconstrained_housing,owner_size_limit_slack,renter_unconstrained_housing,old_owner_retention_slack,old_owner_estate_slack,old_renter_cap_shadow_wedge,housing_residual,government_residual
0.0,0.4383032208862456,0.4277852745585192,0.007529617344915695,0.0,0.0,0.47073632825828426,0.23536816412914213,0.23536816412914213,0.23536816412914213,2.7755575615628914e-17,2.7755575615628914e-17,1.4552639291234173,1.4552639291234173,0.74856612661182,0.6583061057451315,0.49916662716177473,0.3503979752073195,0.5763850208326448,0.8366632836791406,0.45,1.0373609257223575,0.5376578686180705,0.45,0.5671010355689349,0.3083421791305617,0.35568116005537015,0.48341104851401273,renter_cap,interior,-1.2287350851244077e-16,1.957660639530181e-16,0.0,-2.220446049250313e-16,1.1102230246251565e-16,-1.1102230246251565e-16,0.0,-1.3877787807814457e-17,1.0373609257223575,0.9626390742776425,1.040854447855771,0.3083421791305617,0.11334260677697744,0.05933887137107757,-1.5269119302274703e-11,1.5303304691292283e-13
1.0,0.4277852745585192,0.4372286066134272,0.007355058899729178,0.0,0.0,0.43973120623153716,0.21986560311576858,0.21986560311576858,0.21986560311576858,2.7755575615628914e-17,2.7755575615628914e-17,1.4528383742614563,1.4552639291234173,0.6583061057451315,0.701958272752103,0.5211520911187292,0.3508032826455776,0.5934798277987258,0.9052941650148759,0.45,1.0986057400959834,0.4705358824102984,0.45,0.4811950356089346,0.5561658901134229,0.35894778808624395,0.47883038122349453,renter_cap,interior,-1.2364492918738373e-16,-1.9573533182564613e-16,0.0,0.0,3.3306690738754696e-16,-5.551115123125783e-17,2.220446049250313e-16,-1.3877787807814457e-17,1.0986057400959834,0.9013942599040166,1.1008647450572389,0.5561658901134229,0.07173639632599946,0.07526671003107605,-2.0719981286276834e-11,-4.133760421850295e-12
2.0,0.4372286066134272,0.4447875347723896,0.007367851160466797,0.0,0.0,0.4515311087851362,0.2257655543925681,0.2257655543925681,0.2257655543925681,0.0,0.0,1.5142995136077857,1.4528383742614563,0.701958272752103,0.6832161713641001,0.5119398862537468,0.3504945984142751,0.5867965107608933,0.8765165362293208,0.45,1.0742775772970123,0.4630187688812224,0.45,0.468546357221749,0.6300593828742345,0.3590014430070581,0.47989613095116496,renter_cap,interior,-1.2305661354674852e-16,0.0,-2.220446049250313e-16,-2.220446049250313e-16,3.3306690738754696e-16,5.551115123125783e-17,1.6653345369377348e-16,6.938893903907228e-17,1.0742775772970123,0.9257224227029877,1.0749209515860976,0.6300593828742345,0.07368076243618527,0.07121964934852668,-4.2411185674495755e-11,-1.2068905319305625e-11
3.0,0.4447875347723896,0.44711256727460474,0.007256481947227477,0.0,0.0,0.46470187900879384,0.23235093950439692,0.23235093950439692,0.23235093950439692,-5.551115123125783e-17,-5.551115123125783e-17,1.5504606415009476,1.5142995136077857,0.6832161713641001,0.6633493973605599,0.5022863372971496,0.3502200699587009,0.5794601475761888,0.8469323426502625,0.45,1.0483759753602553,0.45358578695449814,0.45,0.45524839297544556,0.6190291843215667,0.35830496226715114,0.4813691691577838,renter_cap,interior,-1.225376658829475e-16,3.914026613515182e-16,0.0,0.0,2.220446049250313e-16,0.0,1.6653345369377348e-16,4.163336342344337e-17,1.0483759753602553,0.9516240246397447,1.0483987766112968,0.6190291843215667,0.07852576711100823,0.06322117725006268,-7.09862169046005e-11,-2.2026172542653075e-11
4.0,0.44711256727460474,0.44671866141925526,0.007192905080184422,0.0,0.0,0.4698621014936844,0.2349310507468422,0.2349310507468422,0.2349310507468422,0.0,0.0,1.5575503934857997,1.5504606415009476,0.6633493973605599,0.6558026257600668,0.4986670909604213,0.3501283783501884,0.5766274906983258,0.8359914804595271,0.45,1.038578735884395,0.4501250285132869,0.45,0.45018848063145056,0.5981874947288047,0.3578706884790729,0.4820022244481458,renter_cap,interior,-1.2236522617670262e-16,-1.9568851268859843e-16,0.0,0.0,1.1102230246251565e-16,1.6653345369377348e-16,-5.551115123125783e-17,6.938893903907228e-17,1.038578735884395,0.961421264115605,1.038603851861946,0.5981874947288047,0.08092774531627303,0.05939459533811384,-9.757206154148435e-11,-4.060077267115924e-11
5.0,0.44671866141925526,0.44596395142652173,0.00717978200452303,0.0,0.0,0.4698093044829515,0.23490465224147575,0.23490465224147575,0.23490465224147575,0.0,0.0,1.5533982474876464,1.5575503934857997,0.6558026257600668,0.6559883878270784,0.49872792898128426,0.35013874730132355,0.5766506558004257,0.8361592058728549,0.45,1.0386677463178635,0.4501374451057581,0.45,0.45020958303666253,0.5883691528477324,0.3577801674138312,0.48203583832158514,renter_cap,interior,0.0,1.9568671667572045e-16,0.0,0.0,0.0,-1.1102230246251565e-16,0.0,1.3877787807814457e-17,1.0386677463178635,0.9613322536821365,1.0388315018408358,0.5883691528477324,0.0812396234829019,0.059006807498526576,-1.1463952009904688e-10,-6.758720863267248e-11
6.0,0.44596395142652173,0.44562879461305877,0.007186373045131183,0.0,0.0,0.4685973058113107,0.23429865290565535,0.23429865290565535,0.23429865290565535,-2.7755575615628914e-17,-2.7755575615628914e-17,1.5494461817053407,1.5533982474876464,0.6559883878270784,0.6578192085475392,0.499585572300095,0.3501655503287089,0.5773100605981865,0.8387350785949008,0.45,1.0409451617462273,0.4508986255688937,0.45,0.4513698802990558,0.5872978660188077,0.35782856456991735,0.48191045078086503,renter_cap,interior,0.0,0.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16,5.551115123125783e-17,-5.551115123125783e-17,2.7755575615628914e-17,1.0409451617462273,0.9590548382537727,1.04118676450614,0.5872978660188077,0.08087086409437297,0.0596595918873202,-1.2774714619467886e-10,-9.594237963839572e-11
7.0,0.44562879461305877,0.4456109025424078,0.007193111275962849,0.0,0.0,0.4679281264143626,0.2339640632071813,0.2339640632071813,0.2339640632071813,2.7755575615628914e-17,2.7755575615628914e-17,1.5481619148709191,1.5494461817053407,0.6578192085475392,0.6588066996925528,0.5000553426602262,0.35017827117194034,0.5776760661370332,0.8401516229944181,0.45,1.0422095558173456,0.45132852146762104,0.45,0.45201958448515717,0.5889255772610702,0.3578762254688841,0.4818322214265274,renter_cap,interior,0.0,0.0,0.0,0.0,-2.220446049250313e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-2.7755575615628914e-17,1.0422095558173456,0.9577904441826544,1.042463646323234,0.5889255772610702,0.080592048018376,0.060115180589278755,-1.4016432459129646e-10,-1.1919810966275608e-10
8.0,0.4456109025424078,0.44567664406516233,0.007195407635878836,0.0,0.0,0.4678257061467736,0.2339128530733868,0.2339128530733868,0.2339128530733868,-2.7755575615628914e-17,-2.7755575615628914e-17,1.5483332736685789,1.5481619148709191,0.6588066996925528,0.6589479696799369,0.5001251412227273,0.35017937043840286,0.5777326488211496,0.8403636199699798,0.45,1.0424043140455939,0.4513979049645781,0.45,0.45212187423903005,0.5900876815783156,0.35789208986103466,0.4818166167764335,renter_cap,interior,-1.2246106980164034e-16,0.0,-2.220446049250313e-16,2.220446049250313e-16,1.1102230246251565e-16,0.0,1.1102230246251565e-16,-5.551115123125783e-17,1.0424043140455939,0.9575956859544061,1.042647776948915,0.5900876815783156,0.08051882048773373,0.060223849160243176,-1.5061063507459949e-10,-1.364642227522967e-10
9.0,0.44567664406516233,0.44571780237861097,0.0071951705429860935,0.0,0.0,0.4679193179549717,0.23395965897748586,0.23395965897748586,0.23395965897748586,2.7755575615628914e-17,2.7755575615628914e-17,1.5487207943066914,1.5483332736685789,0.6589479696799369,0.6588041856559929,0.5000580879474102,0.35017711215648095,0.5776817016145578,0.840162081732117,0.45,1.0422276910606145,0.45133920778024395,0.45,0.45203234222103217,0.5903719718245617,0.3578902579398148,0.4818255272783527,renter_cap,interior,-1.2245682229124596e-16,1.9569027312349e-16,-2.220446049250313e-16,2.220446049250313e-16,1.1102230246251565e-16,5.551115123125783e-17,5.551115123125783e-17,0.0,1.0422276910606145,0.9577723089393855,1.0424623265043271,0.5903719718245617,0.08054069150872367,0.060182009463079306,-1.5805223796405699e-10,-1.4929689218976591e-10
