phi,date,tenure,max_choice_gap,utility_gap,max_budget_gap,iterations
0.8,0,renter,2.170593355055317e-08,2.220446049250313e-15,2.220446049250313e-16,8
0.8,0,owner,6.500651017482539e-09,-2.220446049250313e-16,4.597017211338539e-17,10
0.8,2,renter,2.1705933495042018e-08,1.7763568394002505e-15,2.220446049250313e-16,8
0.8,2,owner,6.500649463170305e-09,-2.220446049250313e-16,4.85722573273506e-17,10
0.8,28,renter,2.1705934272198135e-08,8.881784197001252e-16,5.724587470723463e-17,8
0.8,28,owner,6.500650351348725e-09,-2.220446049250313e-16,5.724587470723463e-17,10
0.81,0,renter,2.810374960526829e-08,3.1086244689504383e-15,2.220446049250313e-16,8
0.81,0,owner,1.0050067444922206e-08,-2.220446049250313e-16,1.8821749714348357e-16,10
0.81,2,renter,2.8663543927276436e-08,3.552713678800501e-15,2.220446049250313e-16,8
0.81,2,owner,1.092067214436554e-08,-4.440892098500626e-16,1.3183898417423734e-16,10
0.81,28,renter,2.9756533292957243e-08,3.1086244689504383e-15,5.204170427930421e-18,8
0.81,28,owner,1.424160833707333e-08,4.440892098500626e-16,2.220446049250313e-16,10
0.85,0,renter,8.317120969714153e-08,2.1316282072803006e-14,8.673617379884035e-18,8
0.85,0,owner,9.352437946308356e-08,8.43769498715119e-15,1.0234868508263162e-16,10
0.85,2,renter,8.265756418213144e-08,1.9539925233402755e-14,8.066464163292153e-17,8
0.85,2,owner,3.4221525335720315e-08,1.5543122344752192e-15,3.0357660829594124e-17,9
0.85,28,renter,9.776950532502937e-08,2.930988785010413e-14,4.440892098500626e-16,8
0.85,28,owner,5.367207398521145e-07,2.26929586233382e-13,3.9898639947466563e-17,9
0.9,0,renter,1.3730435094450044e-07,5.773159728050814e-14,2.220446049250313e-16,8
0.9,0,owner,5.416040895767082e-07,1.8918200339612667e-13,8.326672684688674e-17,9
0.9,2,renter,1.3048437069729246e-07,5.10702591327572e-14,8.847089727481716e-17,8
0.9,2,owner,3.8875984320618784e-08,8.881784197001252e-16,3.2959746043559335e-17,10
0.9,28,renter,1.5786232054892935e-07,7.638334409421077e-14,2.6020852139652106e-18,8
0.9,28,owner,1.062014201747008e-06,4.318767565791859e-13,5.811323644522304e-17,9
