parameter,value,lower_bound,upper_bound,transform,is_free_parameter,status,near_bound
beta_annual,0.9977900723631087,0.94,0.9995,discount,True,estimated_free_transition_parameter,False
tenure_choice_kappa,0.01,0.005,10.0,log,True,estimated_free_transition_parameter,True
joint_nest_lambda,0.05000000000000001,0.02,1.0,log,True,estimated_free_transition_parameter,False
chi,0.9380413538697481,0.1,5.0,log,True,estimated_free_transition_parameter,False
H0,11.527647272334315,0.2,80.0,log,True,estimated_free_transition_parameter,False
theta0,0.6682555124058132,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
theta1,0.055158628336842916,0.02,16.0,log,True,estimated_free_transition_parameter,True
hbar_child_rooms,0.33296769489166345,0.1,1.8,log,True,estimated_free_transition_parameter,False
first_birth_fixed_cost,5.8363271301354605,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
hbar_first_child_jump,0.314333344855742,0.0,2.0,softzero,True,estimated_free_transition_parameter,False
psi_child_change_2023,-7.252550133829416e-05,-1.5,0.2,asinh,True,estimated_free_transition_parameter,False
psi_child_2007,0.5906301110349467,nan,nan,derived,False,externally_normalized_to_old_completed_fertility,False
psi_child_2023,0.5905575855336084,nan,nan,derived,False,derived_from_old_intercept_and_transition_coordinate,False
housing_supply_elasticity,0.63,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
