stage,id,label,loss,summary,plan,plan_sha256,unit_vector,elapsed_seconds
smoke_histories,2,anchor_2,451.3564277560195,/scratch/td2248/projects/Fertility_Spring26_joint_nested_full_20260907m/output/model/joint_nested_overnight/smoke/smoke_histories/task_002/summary.json,/scratch/td2248/projects/Fertility_Spring26_joint_nested_full_20260907m/output/model/joint_nested_overnight/smoke/smoke_histories/plan.json,83e6478baf04cbfaf1f0ba1bb1fa0888d65b0164b27a66f5c23849e7c051f3ed,"[0.7671158588095581, 0.7895069969815056, 0.9975, 0.6447241522995075, 0.6750782822070025, 0.2715798748873614, 0.22846005973834885, 0.370827428906207, 0.7829691123714463, 0.4434098852075433, 0.5903436716051217]",1774.4803111553192
smoke_histories,1,anchor_1,451.3564277560195,/scratch/td2248/projects/Fertility_Spring26_joint_nested_full_20260907m/output/model/joint_nested_overnight/smoke/smoke_histories/task_001/summary.json,/scratch/td2248/projects/Fertility_Spring26_joint_nested_full_20260907m/output/model/joint_nested_overnight/smoke/smoke_histories/plan.json,83e6478baf04cbfaf1f0ba1bb1fa0888d65b0164b27a66f5c23849e7c051f3ed,"[0.7671158588095581, 0.7895069969815056, 0.9975, 0.6447241522995075, 0.6750782822070025, 0.2715798748873614, 0.22846005973834885, 0.370827428906207, 0.7829691123714463, 0.4434098852075433, 0.5903436716051217]",1782.4871244430542
smoke_histories,3,all_minus,457.70393571315043,/scratch/td2248/projects/Fertility_Spring26_joint_nested_full_20260907m/output/model/joint_nested_overnight/smoke/smoke_histories/task_003/summary.json,/scratch/td2248/projects/Fertility_Spring26_joint_nested_full_20260907m/output/model/joint_nested_overnight/smoke/smoke_histories/plan.json,83e6478baf04cbfaf1f0ba1bb1fa0888d65b0164b27a66f5c23849e7c051f3ed,"[0.765865858809557, 0.7882569969815056, 0.9962500000000001, 0.6434741522995076, 0.6738282822070026, 0.27032987488736143, 0.22721005973834885, 0.36957742890620704, 0.7817191123714463, 0.44215988520754335, 0.5890936716051217]",1508.2202134132385
smoke_histories,4,all_plus,450.7052931460765,/scratch/td2248/projects/Fertility_Spring26_joint_nested_full_20260907m/output/model/joint_nested_overnight/smoke/smoke_histories/task_004/summary.json,/scratch/td2248/projects/Fertility_Spring26_joint_nested_full_20260907m/output/model/joint_nested_overnight/smoke/smoke_histories/plan.json,83e6478baf04cbfaf1f0ba1bb1fa0888d65b0164b27a66f5c23849e7c051f3ed,"[0.7683658588095569, 0.7907569969815056, 0.99875, 0.6459741522995076, 0.6763282822070025, 0.2728298748873614, 0.22971005973834888, 0.37207742890620704, 0.7842191123714463, 0.4446598852075433, 0.5915936716051217]",1547.4684312343597
initial_population,32,initial_31,521.5851453670371,/scratch/td2248/projects/Fertility_Spring26_joint_nested_full_20260907o/output/model/joint_nested_overnight/search/initial_population/task_032/summary.json,/scratch/td2248/projects/Fertility_Spring26_joint_nested_full_20260907o/output/model/joint_nested_overnight/search/initial_population/plan.json,2fa4a6a87a283a743f97f5ee41273ab2401b01dbcfb22523db25c78c8aa7cbd4,"[0.7789527851609779, 0.8794497447176348, 1.0, 0.6224478700574851, 0.6893833605997302, 0.21472900602942652, 0.30921213323348223, 0.4485131848705093, 0.7398864433030309, 0.4819010648320833, 0.5388058918438211]",2137.137835264206
initial_population,3,initial_2,3674.1694528266366,/scratch/td2248/projects/Fertility_Spring26_joint_nested_full_20260907o/output/model/joint_nested_overnight/search/initial_population/task_003/summary.json,/scratch/td2248/projects/Fertility_Spring26_joint_nested_full_20260907o/output/model/joint_nested_overnight/search/initial_population/plan.json,2fa4a6a87a283a743f97f5ee41273ab2401b01dbcfb22523db25c78c8aa7cbd4,"[0.8305066880339413, 0.09119274773612923, 0.588591910067779, 0.6743267465309899, 0.6047314573517991, 0.23036693635337818, 0.2909641752932218, 0.31915441841300174, 0.8474591509483673, 0.47817218956320057, 0.8570712467224679]",2145.8164868354797
initial_population,31,initial_30,453.91550929520196,/scratch/td2248/projects/Fertility_Spring26_joint_nested_full_20260907o/output/model/joint_nested_overnight/search/initial_population/task_031/summary.json,/scratch/td2248/projects/Fertility_Spring26_joint_nested_full_20260907o/output/model/joint_nested_overnight/search/initial_population/plan.json,2fa4a6a87a283a743f97f5ee41273ab2401b01dbcfb22523db25c78c8aa7cbd4,"[0.7006738244874227, 0.8794497447176348, 0.8228161798644421, 0.6746217310772894, 0.6980176906115869, 0.28961453431069817, 0.1694965917660712, 0.3582059081651361, 0.7220116168973391, 0.4223397546054934, 0.6667550164206382]",2227.1594569683075
initial_population,28,initial_27,940.1672487956175,/scratch/td2248/projects/Fertility_Spring26_joint_nested_full_20260907o/output/model/joint_nested_overnight/search/initial_population/task_028/summary.json,/scratch/td2248/projects/Fertility_Spring26_joint_nested_full_20260907o/output/model/joint_nested_overnight/search/initial_population/plan.json,2fa4a6a87a283a743f97f5ee41273ab2401b01dbcfb22523db25c78c8aa7cbd4,"[0.7452439109420013, 0.7882569969815056, 0.8228161798644421, 0.6206170828270388, 0.6747976829974387, 0.3311818388460703, 0.21609207496687444, 0.4044724694242638, 0.8317110379404687, 0.4295785176315578, 0.7057976169712151]",2249.4903888702393
initial_population,25,initial_24,813.7200271949937,/scratch/td2248/projects/Fertility_Spring26_joint_nested_full_20260907o/output/model/joint_nested_overnight/search/initial_population/task_025/summary.json,/scratch/td2248/projects/Fertility_Spring26_joint_nested_full_20260907o/output/model/joint_nested_overnight/search/initial_population/plan.json,2fa4a6a87a283a743f97f5ee41273ab2401b01dbcfb22523db25c78c8aa7cbd4,"[0.8294959114667206, 0.6970642492453764, 1.0, 0.6167880292111255, 0.6716235748998222, 0.23526816385972138, 0.23506168800552577, 0.32126876561313333, 0.7960497330464653, 0.3653598093343331, 0.725142145241266]",2253.3098905086517
initial_population,1,seed,450.7052931460765,/scratch/td2248/projects/Fertility_Spring26_joint_nested_full_20260907o/output/model/joint_nested_overnight/search/initial_population/task_001/summary.json,/scratch/td2248/projects/Fertility_Spring26_joint_nested_full_20260907o/output/model/joint_nested_overnight/search/initial_population/plan.json,2fa4a6a87a283a743f97f5ee41273ab2401b01dbcfb22523db25c78c8aa7cbd4,"[0.7683658588095569, 0.7907569969815056, 0.99875, 0.6459741522995076, 0.6763282822070025, 0.2728298748873614, 0.22971005973834888, 0.37207742890620704, 0.7842191123714463, 0.4446598852075433, 0.5915936716051217]",2278.565241098404
