stage,case_id,parameter,value,lower_bound,upper_bound,transform,is_free_parameter,status,near_bound
initial_population,32,joint_nest_lambda,1.0,0.02,1.0,log,True,estimated_free_transition_parameter,True
initial_population,32,chi,1.1416165615055114,0.1,5.0,log,True,estimated_free_transition_parameter,False
initial_population,32,H0,12.440758423417856,0.2,80.0,log,True,estimated_free_transition_parameter,False
initial_population,32,theta0,0.3688683682430839,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
initial_population,32,theta1,0.15801584703758842,0.02,16.0,log,True,estimated_free_transition_parameter,True
initial_population,32,hbar_child_rooms,0.3656000690990931,0.1,1.8,log,True,estimated_free_transition_parameter,False
initial_population,32,first_birth_fixed_cost,4.379455591868873,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
initial_population,32,hbar_first_child_jump,0.46445727257259145,0.0,2.0,softzero,True,estimated_free_transition_parameter,False
initial_population,32,psi_child_change_2023,-0.458691115052258,-1.5,0.2,asinh,True,estimated_free_transition_parameter,False
initial_population,32,psi_child_2007,0.04104346835168171,nan,nan,derived,False,externally_normalized_to_old_completed_fertility,False
initial_population,32,psi_child_2023,-0.4176476467005763,nan,nan,derived,False,derived_from_old_intercept_and_transition_coordinate,False
initial_population,32,housing_supply_elasticity,0.63,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
initial_population,3,beta_annual,0.9977906850233272,0.94,0.9995,discount,True,estimated_free_transition_parameter,False
initial_population,3,tenure_choice_kappa,0.01,0.005,10.0,log,True,estimated_free_transition_parameter,True
initial_population,3,joint_nest_lambda,0.20000000000000004,0.02,1.0,log,True,estimated_free_transition_parameter,False
initial_population,3,chi,1.3984949919116942,0.1,5.0,log,True,estimated_free_transition_parameter,False
initial_population,3,H0,7.491650807728407,0.2,80.0,log,True,estimated_free_transition_parameter,False
initial_population,3,theta0,0.42455140291873117,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
initial_population,3,theta1,0.13987019473541248,0.02,16.0,log,True,estimated_free_transition_parameter,True
initial_population,3,hbar_child_rooms,0.2515508367672429,0.1,1.8,log,True,estimated_free_transition_parameter,False
initial_population,3,first_birth_fixed_cost,5.745496100209021,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
initial_population,3,hbar_first_child_jump,0.45729728574333084,0.0,2.0,softzero,True,estimated_free_transition_parameter,False
initial_population,3,psi_child_change_2023,-0.0004744365380491278,-1.5,0.2,asinh,True,estimated_free_transition_parameter,False
initial_population,3,psi_child_2007,0.5875444159034149,nan,nan,derived,False,externally_normalized_to_old_completed_fertility,False
initial_population,3,psi_child_2023,0.5870699793653658,nan,nan,derived,False,derived_from_old_intercept_and_transition_coordinate,False
initial_population,3,housing_supply_elasticity,0.63,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
initial_population,31,beta_annual,0.9941690285188544,0.94,0.9995,discount,True,estimated_free_transition_parameter,False
initial_population,31,tenure_choice_kappa,3.999999999999999,0.005,10.0,log,True,estimated_free_transition_parameter,False
initial_population,31,joint_nest_lambda,0.5,0.02,1.0,log,True,estimated_free_transition_parameter,False
initial_population,31,chi,1.4001097675521599,0.1,5.0,log,True,estimated_free_transition_parameter,False
initial_population,31,H0,13.10128522429293,0.2,80.0,log,True,estimated_free_transition_parameter,False
initial_population,31,theta0,0.6710126278720205,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
initial_population,31,theta1,0.06210032228330405,0.02,16.0,log,True,estimated_free_transition_parameter,True
initial_population,31,hbar_child_rooms,0.28160867402642376,0.1,1.8,log,True,estimated_free_transition_parameter,False
