arm,observations,clusters,post_3_4_vs_pre_3_2,standard_error,control_birth_year,runtime_seconds
original_binned,149402,14453,.7078339925471775,.1693915382170868,2019,56.691
aligned_binned,149402,14453,.4265019448816033,.1632264282299115,2019,73.44
