moment,period,estimate,sample_n,sample_hhwt,group_n,group_hhwt,group_mean_rooms,control_n,control_hhwt,control_mean_rooms,metro_count,cache_sha256,status,pooled_reproduction_abs_gap
aggregate_mean_occupied_rooms_18_85,pooled_2012_2023,5.77997048194197,3986589,419883313,3986589,419883313,5.77997048194197,0,0,,42,0eae9aaed4e1d3b9655235be967378c1d389f29ec9b64f005a811c2f0ced7df0,diagnostic_only_no_new_target_or_uncertainty,2.66453525910038e-15
prime30_55_parent_3plus_minus_1to2_mean_rooms,pooled_2012_2023,0.367699558813823,918595,105193582,235597,28441511,6.77035632881811,682998,76752071,6.40265677000429,42,0eae9aaed4e1d3b9655235be967378c1d389f29ec9b64f005a811c2f0ced7df0,diagnostic_only_no_new_target_or_uncertainty,2.22044604925031e-16
aggregate_mean_occupied_rooms_18_85,year_2023,5.7713290733344,558463,61250563,558463,61250563,5.7713290733344,0,0,,42,0eae9aaed4e1d3b9655235be967378c1d389f29ec9b64f005a811c2f0ced7df0,diagnostic_only_no_new_target_or_uncertainty,2.66453525910038e-15
prime30_55_parent_3plus_minus_1to2_mean_rooms,year_2023,0.435891519319112,122545,14521384,29625,3740723,6.9262941949992,92920,10780661,6.49040267568009,42,0eae9aaed4e1d3b9655235be967378c1d389f29ec9b64f005a811c2f0ced7df0,diagnostic_only_no_new_target_or_uncertainty,2.22044604925031e-16
