"window","cohort_range","mean_age_first_birth","share_30plus","n_first_births","truncation_estimated_share","primary_sensitivity_spread_mean_age","primary_sensitivity_spread_share_30plus","declared_se_mean_age","declared_se_share_30plus","inverse_variance_weight_mean_age","inverse_variance_weight_share_30plus"
"primary_1979_1984","1979-1984",25.1627284234773,0.260327401666964,10578871,0.00689079272081804,0.168994459605244,0.00992994150346543,0.2,0.01,25,10000
"sensitivity_1975_1980","1975-1980",24.9937339638721,0.250397460163499,10029307,0.000946290204907154,0.168994459605244,0.00992994150346543,0.2,0.01,25,10000
