"year","age","n_first_births"
2003,27,78716
2003,28,79417
2003,29,75831
2003,30,70779
2003,31,66057
2003,32,60904
2003,33,50057
2003,34,40968
2003,35,32916
2003,36,26669
2003,37,20596
2003,38,16549
2003,39,12775
2003,40,9191
2003,41,6081
2003,42,3719
2003,43,2088
2003,44,1167
2003,45,647
2003,46,353
2003,47,199
2003,48,123
2003,49,70
2004,12,186
2004,13,1060
2004,14,5393
2004,15,17516
2004,16,38617
2004,17,63903
2004,18,93264
2004,19,117336
2004,20,113984
2004,21,103246
2004,22,95300
2004,23,87315
2004,24,84699
2004,25,81151
2004,26,80572
2004,27,81070
2004,28,77838
2004,29,76059
2004,30,69414
2004,31,62144
2004,32,56135
2004,33,50303
2004,34,42423
2004,35,34739
2004,36,26770
2004,37,20604
2004,38,15855
2004,39,12603
2004,40,9230
2004,41,6141
2004,42,3848
2004,43,2244
2004,44,1282
2004,45,720
2004,46,368
2004,47,204
2004,48,122
2004,49,65
2005,12,167
2005,13,1077
2005,14,5354
2005,15,17524
2005,16,38023
2005,17,64307
2005,18,93143
2005,19,119006
2005,20,117061
2005,21,103875
2005,22,97239
2005,23,89342
2005,24,86077
2005,25,84974
2005,26,82965
2005,27,81402
2005,28,79369
2005,29,74670
2005,30,68684
2005,31,60783
2005,32,52637
2005,33,46190
2005,34,41990
2005,35,35338
2005,36,27634
2005,37,20353
2005,38,15522
2005,39,11944
2005,40,9035
2005,41,6276
2005,42,3862
2005,43,2324
2005,44,1317
2005,45,646
2005,46,393
2005,47,226
2005,48,112
2005,49,79
2006,12,145
2006,13,1045
2006,14,5060
2006,15,17692
2006,16,39860
2006,17,67187
2006,18,98835
2006,19,125425
2006,20,123553
2006,21,110233
2006,22,100682
2006,23,94339
2006,24,90593
2006,25,89143
2006,26,87582
2006,27,84802
2006,28,81412
2006,29,76927
2006,30,69190
2006,31,61958
2006,32,52691
2006,33,44561
2006,34,39426
2006,35,35553
2006,36,28707
2006,37,21521
2006,38,15826
2006,39,11950
2006,40,8829
2006,41,6129
2006,42,3944
2006,43,2344
2006,44,1346
2006,45,770
2006,46,392
2006,47,214
2006,48,134
2006,49,92
2007,12,144
2007,13,904
2007,14,5019
2007,15,17762
2007,16,40103
2007,17,68584
2007,18,101691
2007,19,129208
2007,20,124590
2007,21,111513
2007,22,102319
2007,23,94726
2007,24,91522
2007,25,91160
2007,26,89225
2007,27,88477
2007,28,84214
2007,29,79685
2007,30,72309
2007,31,61978
2007,32,53695
2007,33,44538
2007,34,38161
2007,35,33630
2007,36,28663
2007,37,22187
2007,38,16400
2007,39,12169
2007,40,8793
2007,41,6013
2007,42,3951
2007,43,2259
2007,44,1365
2007,45,772
2007,46,444
2007,47,270
2007,48,166
2007,49,85
2008,12,133
2008,13,871
2008,14,4635
2008,15,16458
2008,16,38551
2008,17,67102
2008,18,100876
2008,19,126760
2008,20,122600
2008,21,107307
2008,22,100763
2008,23,93406
2008,24,88869
2008,25,89506
2008,26,88603
2008,27,87998
2008,28,86438
2008,29,79732
2008,30,72092
2008,31,63787
2008,32,52856
2008,33,44735
2008,34,37480
2008,35,31816
2008,36,26839
2008,37,22133
2008,38,17067
2008,39,12477
2008,40,9007
2008,41,6177
2008,42,4006
2008,43,2459
2008,44,1477
2008,45,815
2008,46,484
2008,47,281
2008,48,171
2008,49,112
2009,12,108
2009,13,751
2009,14,4070
2009,15,15047
2009,16,35134
2009,17,62027
2009,18,94967
2009,19,123765
2009,20,118952
2009,21,104365
2009,22,95526
2009,23,89209
2009,24,86581
2009,25,85606
2009,26,86990
2009,27,87184
2009,28,86073
2009,29,81403
2009,30,73475
2009,31,64344
2009,32,53788
2009,33,43727
2009,34,37508
2009,35,31254
2009,36,25627
2009,37,20383
2009,38,16966
2009,39,12942
2009,40,9485
2009,41,6173
2009,42,3872
2009,43,2365
2009,44,1478
2009,45,870
2009,46,478
2009,47,305
2009,48,151
2009,49,109
2010,12,121
2010,13,675
2010,14,3580
2010,15,12992
2010,16,31150
2010,17,54922
2010,18,84736
2010,19,114710
2010,20,114423
2010,21,99777
2010,22,91349
2010,23,84155
2010,24,83390
2010,25,84100
2010,26,84371
2010,27,84964
2010,28,85444
2010,29,82265
2010,30,75522
2010,31,65794
2010,32,54558
2010,33,45756
2010,34,36951
2010,35,31623
2010,36,24948
2010,37,19530
2010,38,16081
2010,39,13123
2010,40,9727
2010,41,6485
2010,42,4036
2010,43,2344
2010,44,1386
2010,45,864
2010,46,498
2010,47,276
2010,48,176
2010,49,94
2011,12,97
2011,13,586
2011,14,3193
2011,15,11348
2011,16,27302
2011,17,48578
2011,18,76134
2011,19,106109
2011,20,109571
2011,21,99345
2011,22,90551
2011,23,83619
2011,24,80960
2011,25,83322
2011,26,85001
2011,27,85168
2011,28,86622
2011,29,84232
2011,30,77035
2011,31,68650
2011,32,57300
2011,33,46750
2011,34,38863
2011,35,31568
2011,36,25898
2011,37,19679
2011,38,15295
2011,39,12292
2011,40,9859
2011,41,6524
2011,42,4165
2011,43,2396
2011,44,1354
2011,45,809
2011,46,486
2011,47,294
2011,48,185
2011,49,126
2012,12,78
2012,13,564
2012,14,2940
2012,15,10585
2012,16,24743
2012,17,43939
2012,18,70636
2012,19,101509
2012,20,106443
2012,21,98800
2012,22,92092
2012,23,83777
2012,24,81339
2012,25,81432
2012,26,84026
2012,27,86395
2012,28,86005
2012,29,84973
2012,30,80175
2012,31,71425
2012,32,60327
2012,33,48541
2012,34,40198
2012,35,33151
2012,36,25807
2012,37,20434
2012,38,15563
2012,39,12216
2012,40,9333
2012,41,6634
2012,42,4334
2012,43,2509
2012,44,1483
2012,45,855
2012,46,521
2012,47,296
2012,48,173
2012,49,116
2013,12,69
2013,13,453
2013,14,2507
2013,15,9164
2013,16,21328
2013,17,38496
2013,18,63489
2013,19,93357
2013,20,100918
2013,21,95306
2013,22,91462
2013,23,85417
2013,24,81279
2013,25,81677
2013,26,82413
2013,27,85693
2013,28,86485
2013,29,84597
2013,30,81028
2013,31,73317
2013,32,62455
2013,33,51316
2013,34,41728
2013,35,33987
2013,36,27264
2013,37,20549
2013,38,15870
2013,39,11912
2013,40,8859
2013,41,6570
2013,42,4483
2013,43,2805
2013,44,1481
2013,45,940
2013,46,564
2013,47,312
2013,48,202
2013,49,141
2014,12,81
2014,13,382
2014,14,2277
2014,15,7818
2014,16,19025
2014,17,34595
2014,18,57870
2014,19,86880
2014,20,95993
2014,21,92293
2014,22,89664
2014,23,85155
2014,24,83474
2014,25,82743
2014,26,83987
2014,27,86326
2014,28,89063
2014,29,88154
2014,30,83441
2014,31,77132
2014,32,66687
2014,33,54751
2014,34,45467
2014,35,36428
2014,36,28377
2014,37,21723
2014,38,16238
2014,39,12563
2014,40,8966
2014,41,6298
2014,42,4337
2014,43,2724
2014,44,1679
2014,45,946
2014,46,534
2014,47,353
2014,48,204
2014,49,139
2015,12,63
2015,13,386
2015,14,2033
2015,15,7390
2015,16,17435
2015,17,31616
2015,18,53396
2015,19,81098
2015,20,91322
2015,21,88732
2015,22,86783
2015,23,83337
2015,24,82892
2015,25,83944
2015,26,84161
2015,27,85837
2015,28,87442
2015,29,87628
2015,30,84219
2015,31,75991
2015,32,66559
2015,33,55937
2015,34,46051
2015,35,38035
2015,36,29505
2015,37,22398
2015,38,16848
2015,39,12473
2015,40,9377
2015,41,6195
2015,42,4140
2015,43,2673
2015,44,1663
2015,45,1071
2015,46,622
2015,47,333
2015,48,237
2015,49,145
2016,12,64
2016,13,346
2016,14,1811
2016,15,6437
2016,16,15594
2016,17,28566
2016,18,49354
2016,19,74967
2016,20,84839
2016,21,84135
2016,22,82788
2016,23,80866
2016,24,80280
2016,25,82228
2016,26,85397
2016,27,86382
2016,28,87913
2016,29,86908
2016,30,84595
2016,31,78295
2016,32,67152
2016,33,57435
2016,34,47491
2016,35,39349
2016,36,31240
2016,37,22871
2016,38,17249
2016,39,12898
2016,40,9465
2016,41,6373
2016,42,4205
2016,43,2522
2016,44,1623
2016,45,1029
2016,46,587
2016,47,363
2016,48,225
2016,49,148
2017,12,58
2017,13,300
2017,14,1538
2017,15,5447
2017,16,13642
2017,17,25886
2017,18,45934
2017,19,71774
2017,20,81099
2017,21,80334
2017,22,79990
2017,23,77885
2017,24,77442
2017,25,79396
2017,26,82353
2017,27,85351
2017,28,85900
2017,29,85436
2017,30,82351
2017,31,77038
2017,32,67399
2017,33,56257
2017,34,47573
2017,35,39605
2017,36,31191
2017,37,23544
2017,38,17471
2017,39,13196
2017,40,9439
2017,41,6371
2017,42,4228
2017,43,2567
2017,44,1523
2017,45,999
2017,46,617
2017,47,404
2017,48,209
2017,49,162
2018,12,52
2018,13,266
2018,14,1398
2018,15,4851
2018,16,12480
2018,17,23920
2018,18,42753
2018,19,67720
2018,20,78703
2018,21,77542
2018,22,76623
2018,23,76066
2018,24,75344
2018,25,77574
2018,26,79556
2018,27,83029
2018,28,85926
2018,29,85175
2018,30,82931
2018,31,77057
2018,32,67638
2018,33,57909
2018,34,48032
2018,35,40311
2018,36,31926
2018,37,24177
2018,38,18208
2018,39,13634
2018,40,9545
2018,41,6612
2018,42,4116
2018,43,2589
2018,44,1587
2018,45,961
2018,46,612
2018,47,422
2018,48,256
2018,49,135
2019,12,63
2019,13,290
2019,14,1416
2019,15,4625
2019,16,11278
2019,17,22284
2019,18,40674
2019,19,65875
2019,20,76483
2019,21,76286
2019,22,75464
2019,23,73859
2019,24,74650
2019,25,76406
2019,26,77619
2019,27,80547
2019,28,83802
2019,29,85366
2019,30,82581
2019,31,76878
2019,32,67207
2019,33,57483
2019,34,48563
2019,35,39721
2019,36,32212
2019,37,24549
2019,38,18318
2019,39,13826
2019,40,9833
2019,41,6504
2019,42,4322
2019,43,2519
2019,44,1481
2019,45,906
2019,46,589
2019,47,371
2019,48,240
2019,49,175
2020,12,59
2020,13,298
2020,14,1373
2020,15,4588
2020,16,10902
2020,17,20439
2020,18,37085
2020,19,61421
2020,20,72546
2020,21,73409
2020,22,72771
2020,23,71779
2020,24,72378
2020,25,73966
2020,26,75453
2020,27,77723
2020,28,80527
2020,29,82512
2020,30,82394
2020,31,76957
2020,32,67909
2020,33,57199
2020,34,48444
2020,35,40740
2020,36,32127
2020,37,24739
2020,38,18338
2020,39,13780
2020,40,9848
2020,41,6615
2020,42,4194
2020,43,2538
2020,44,1449
2020,45,873
2020,46,556
2020,47,316
2020,48,224
2020,49,161
2021,12,69
2021,13,318
2021,14,1457
2021,15,4352
2021,16,9802
2021,17,18965
2021,18,34586
2021,19,57260
2021,20,69505
2021,21,71526
2021,22,72066
2021,23,71590
2021,24,72424
2021,25,74526
2021,26,76697
2021,27,79260
2021,28,81516
2021,29,83587
2021,30,84096
2021,31,80805
2021,32,72132
2021,33,61016
2021,34,51539
2021,35,42915
2021,36,34308
2021,37,25674
2021,38,19433
2021,39,14546
2021,40,10421
2021,41,6890
2021,42,4437
2021,43,2797
2021,44,1498
2021,45,939
2021,46,591
2021,47,373
2021,48,211
2021,49,133
2022,12,71
2022,13,307
2022,14,1389
2022,15,4367
2022,16,9721
2022,17,18877
2022,18,33944
2022,19,56076
2022,20,67306
2022,21,71432
2022,22,73126
2022,23,73194
2022,24,73792
2022,25,76292
2022,26,78303
2022,27,80697
2022,28,82665
2022,29,83164
2022,30,83314
2022,31,80488
2022,32,73719
2022,33,62507
2022,34,52888
2022,35,43825
2022,36,35301
2022,37,27223
2022,38,20650
2022,39,15421
2022,40,11310
2022,41,7578
2022,42,4860
2022,43,2881
2022,44,1851
2022,45,1068
2022,46,612
2022,47,469
2022,48,263
2022,49,181
2023,12,62
2023,13,288
2023,14,1375
2023,15,4391
2023,16,10205
2023,17,18729
2023,18,33274
2023,19,54814
2023,20,64672
2023,21,69331
2023,22,72310
2023,23,73618
2023,24,73648
2023,25,76724
2023,26,78737
2023,27,80710
2023,28,82710
2023,29,83410
2023,30,82500
2023,31,79772
2023,32,72914
2023,33,64731
2023,34,54459
2023,35,45492
2023,36,35713
2023,37,27351
2023,38,20901
2023,39,15340
2023,40,11465
2023,41,7800
2023,42,4878
2023,43,3065
2023,44,1876
2023,45,1106
2023,46,678
2023,47,398
2023,48,283
2023,49,195
