"window","cohort","max_observed_age","n_observed_first_births","reference_n_first_births","reference_n_first_births_above_max_age","estimated_share_plausibly_missed"
"primary_1979_1984",1979,44,1711356,8242707,11852,0.00143787714400136
"primary_1979_1984",1980,43,1769991,8242707,19927,0.0024175310368305
"primary_1979_1984",1981,42,1781473,8242707,33218,0.00402998675071187
"primary_1979_1984",1982,41,1789210,8242707,54717,0.00663823183330428
"primary_1979_1984",1983,40,1780740,8242707,86938,0.0105472631745857
"primary_1979_1984",1984,39,1746101,8242707,133682,0.0162182156905492
"sensitivity_1975_1980",1975,48,1610822,8242707,845,0.000102514865565402
"sensitivity_1975_1980",1976,47,1604393,8242707,2039,0.000247370190399829
"sensitivity_1975_1980",1977,46,1657164,8242707,3925,0.000476178517567105
"sensitivity_1975_1980",1978,45,1675581,8242707,6886,0.000835405164832379
"sensitivity_1975_1980",1979,44,1711356,8242707,11852,0.00143787714400136
"sensitivity_1975_1980",1980,43,1769991,8242707,19927,0.0024175310368305
