moment,target,model,gap,weight,loss_contribution,descriptive_fixed_psi
initial_normalization,2.1,2.100000167298939,1.6729893870248702e-07,,,True
cps_childlessness,0.19827875100684264,0.18278613959914025,-0.015492611407702389,35532.3042455214,8.52849948974765,True
cps_exactly_one,0.21365532522014702,0.23125610347835374,0.017600778258206717,26952.820824310795,8.349644159004278,True
nchs_mean_age,25.976263860992496,26.323877730575777,0.3476138695832809,139.82806784479274,16.89618083458535,True
nchs_share30,0.2492780130410667,0.24599718171627372,-0.003280831324792982,13866.065434728798,0.1492523064139259,True
wealth_earnings,6.92658379107299,6.215159157054339,-0.711424634018651,7.595098472533724,3.8440692895158053,True
bequest_wealth,0.007291023472616158,0.006884458126880426,-0.00040656534573573194,5165289.256198346,0.8537984522376819,True
old_dispersion,3.51593508651872,2.9104313560589365,-0.6055037304597835,10.616361531535473,3.892327242879669,True
mean_rooms,5.607885960068579,6.542669970936053,0.9347840108674745,128.02070205233477,111.86719670372167,True
ownership_30_55,0.6762604168538028,0.7618063733985915,0.08554595654478869,2339.3623724673616,17.119712765063923,True
first_birth_rooms,1.465,0.7847482571974043,-0.6802517428025958,137.5652749002964,63.65729008428597,True
family_rooms,0.38509964969278165,0.22011817264445543,-0.16498147704832622,280.52808370152104,7.6356624263376345,True
recent_parent_ownership,0.12760836356692162,0.08781366076026376,-0.03979470280665787,27055.822957508266,42.846098290755926,True
