measurement,own_rate_2534,interpretation
production_whole_nodes,0.36070430984754104,unchanged model age_to_index aggregation
cells_start_at_node,0.3133990471414255,diagnostic uniform density within each four-year cell
cells_centered_at_node,0.36138880637501564,diagnostic uniform density within each four-year cell
