draw,existing_family_rooms,under18_candidate,candidate_minus_existing
1,0.32591865605756,0.3277611996235228,0.0018425435659628064
2,0.5191968108088929,0.51089523163877,-0.008301579170122864
3,0.23353981883792763,0.22977983391764578,-0.0037599849202818447
4,0.4244613529350998,0.3880397496910888,-0.036421603244011
5,0.3577498884204342,0.3230960054048717,-0.03465388301556249
6,0.43095540791055154,0.4187623510245002,-0.012193056886051323
7,0.40356335045616554,0.3904557136763369,-0.013107636779828624
8,0.26729956236861874,0.25340985892650103,-0.013889703442117707
9,0.4250135613756676,0.4227092585755434,-0.0023043028001241694
10,0.4205945309986783,0.3957303848457441,-0.024864146152934197
11,0.4247957724051039,0.4095771845736671,-0.015218587831436814
12,0.32597523569667075,0.3202944781900152,-0.005680757506655532
13,0.2897802029330263,0.2760348472252083,-0.013745355707817986
14,0.31139608130422314,0.30156764573054584,-0.009828435573677297
15,0.33554952748709876,0.3294039808906337,-0.006145546596465046
16,0.3337074405909579,0.32944591212673835,-0.004261528464219566
17,0.4167173287674748,0.40214212774759694,-0.01457520101987786
18,0.2641126841295618,0.2551796575924401,-0.008933026537121691
19,0.4501303340574241,0.4407934988146849,-0.009336835242739205
20,0.2710110963793211,0.26744835834798586,-0.003562738031335222
21,0.44551180325702955,0.432744374553673,-0.012767428703356565
22,0.35859896286600623,0.34909601056068684,-0.00950295230531939
23,0.2960105948646845,0.27810358060270524,-0.01790701426197927
24,0.26874139274066344,0.2602741387200167,-0.008467254020646742
25,0.429650257675374,0.4144312887211683,-0.015218968954205714
26,0.2858151017173469,0.2761938938317057,-0.009621207885641248
27,0.438067020749191,0.42194802558778566,-0.01611899516140536
28,0.27553943786585045,0.2599675181485548,-0.015571919717295657
29,0.3671808246813262,0.3510355618449674,-0.016145262836358754
30,0.3024346987040758,0.2998336187369972,-0.00260107996707859
31,0.4095892151917475,0.40173399191856074,-0.007855223273186773
32,0.4341196649795096,0.42282769910849183,-0.011291965871017773
33,0.3152196319056415,0.3062483357249741,-0.008971296180667387
34,0.3842476853600365,0.36491667520002746,-0.019331010160009043
35,0.3979345100962144,0.3904362752450936,-0.0074982348511207775
36,0.26233180480391116,0.2522114756134828,-0.010120329190428379
37,0.3303530428520176,0.3140008780616057,-0.016352164790411905
38,0.31262378272974,0.31585345476869175,0.0032296720389517475
39,0.3065308820433321,0.31300806883923915,0.006477186795907031
40,0.3429845551958284,0.3206346206627,-0.02234993453312839
41,0.2722167990652906,0.26372580672458135,-0.008490992340709269
42,0.33151745003233124,0.3316237046798687,0.0001062546475374404
43,0.3931896383124922,0.38514540620986093,-0.008044232102631277
44,0.40417364610867956,0.3762517168522983,-0.02792192925638126
45,0.35420403245954724,0.3427455103862087,-0.011458522073338528
46,0.432536382457676,0.41444751529585844,-0.018088867161817568
47,0.3267457580357549,0.3046989054371121,-0.022046852598642808
48,0.3613719011250174,0.3606394797594543,-0.0007324213655630629
49,0.3059409214564486,0.29859809721368435,-0.007342824242764223
50,0.462640636953763,0.45170965874429125,-0.010930978209471753
51,0.3381341736631658,0.33025617908527316,-0.007877994577892622
52,0.3555090488714532,0.34208868977966667,-0.013420359091786516
53,0.3802008025404673,0.3511112649360353,-0.029089537604432003
54,0.22033647064858286,0.210659594548261,-0.009676876100321863
55,0.40941780457237176,0.391160507838479,-0.01825729673389276
56,0.3667049660961901,0.359503410271115,-0.00720155582507509
