moment,model,source
Initial model completed fertility,1.8757073852218409,exact_stationary_key
"Childless women, ages 40–44",0.23790022272773403,approximate_stationary_analogue
"Exactly one child among mothers, ages 40–44",nan,unavailable_in_extract_moments
Period mean first-birth age,26.94452071560526,approximate_stationary_analogue
First births at age 30+,0.283983612265948,approximate_stationary_analogue
Wealth / annual gross labor earnings,5.072156649788009,exact_stationary_key
Annual bequests / aggregate wealth,0.008144789180586576,exact_stationary_key
"Old wealth/income p90 / median, ages 76–84",4.305268947409943,exact_stationary_key
"Mean occupied rooms, capped at 9",5.769430466001237,approximate_stationary_analogue
"Ownership, heads 30–55",0.3097384382160674,exact_stationary_key
"First-birth room response, −1 to +3",1.3237872007133678,approximate_stationary_analogue
Rooms: 3+ versus 1–2 resident children (model dependent proxy),0.30844766741081475,approximate_stationary_analogue
Recent-parent ownership gap,0.2118907357273926,exact_stationary_key
