candidate,moment,target,model,gap,weight,loss_contribution,standardized_gap
task_001,tfr,1.918,1.9093375336642784,-0.008662466335721541,1425.7389910084596,0.10698506294595014,-0.32708571192571245
task_001,childless_rate,0.188,0.1929660422690665,0.004966042269066495,17180.743822072007,0.4237042163803287,0.6509256611782398
task_001,mean_age_first_birth,26.0446272574833,25.741230136677284,-0.30339712080601444,44.44444444444444,4.091102796150192,-2.0226474720400964
task_001,share_first_births_age30plus,0.260327401666964,0.20344704938534125,-0.05688035228162275,10000.0,32.35374475681506,-5.688035228162275
task_001,housing_increment_0to1,0.7202462623815278,0.36537057405461315,-0.35487568832691463,137.5652749002964,17.324524206828254,-4.162273922608681
task_001,prime30_55_parent_3plus_minus_1to2_mean_rooms,0.36769955881,0.3588784413156958,-0.008821117494304198,2958.514988007638,0.23020830506881013,-0.4798002762283595
task_001,own_family_gap,0.16766167,0.004589205455166168,-0.16307246454483385,14229.590955975675,378.4022287416344,-19.452563551923802
task_001,own_rate,0.575472,0.501445833897375,-0.07402616610262502,1207.8460856134493,6.618843476234546,-2.5727113083738224
task_001,aggregate_mean_occupied_rooms_18_85,5.779970481941968,5.302853787210725,-0.47711669473124285,11.973159013172177,2.7255739933172687,-1.6509312503303306
task_001,aggregate_wealth_to_annual_gross_labor_earnings,6.8731,7.141853953615722,0.26875395361572174,6.287669427540395,0.4541501107137959,0.673906603850857
task_001,annual_bequest_flow_to_aggregate_wealth,0.0088,0.008218958001728466,-0.000581041998271534,5165289.256198346,1.7438522921248825,-1.320549996071668
task_001,old_total_wealth_to_annual_income_p90_p50_7684,3.44811075444552,3.012738853503185,-0.4353719009423349,56.95977216091135,10.796650317131634,-3.28582566748932
