year,data_persons,data_households,data_rooms,data_persons_per_household,data_rooms_per_household,data_rooms_per_person,model_rooms_per_household,model_rooms_at_data_households,model_rooms_per_person_at_data_demographics,data_rooms_per_person_household_weights
2007,289904679.0,109963013.0,619275060.0,2.636383553804587,5.6316668951222715,2.136133373687287,6.561294974738576,721499764.6040127,2.4887482571608053,2.216573206824484
2011,299115979.0,112069971.0,640582668.0,2.6690109431722795,5.715917138945276,2.141586250729855,6.489875487214644,727320157.645756,2.431565709318913,2.257140851725512
2015,308311839.0,115012925.0,657923590.0,2.6806712289075336,5.7204317688642385,2.133954998724522,6.347758544477378,730074277.3940858,2.3679735418596293,2.2699058594871837
2019,314730191.0,119406797.0,683982870.0,2.6357812026395786,5.728173665021766,2.173235646147465,6.198374492830113,740128044.7953433,2.351627095080126,2.2918027500512403
2023,321653351.0,128086487.0,732260287.0,2.5112200243262195,5.716920685005593,2.27655109055587,6.065462702783053,776903809.6290064,2.4153449892987635,2.302850261489573
