year,initial_age_start,initial_mean_ceb,additional_births_to_age40_44,projected_ceb40_44
2024,40,1.918,0.0,1.918
2029,35,1.743,0.16653639728562614,1.9095363972856263
2034,30,1.2167832167832169,0.5370050894509562,1.753788306234173
2039,25,0.6466466466466465,0.9989690777297963,1.6456157243764427
2044,20,0.20720720720720723,1.3696870758790871,1.5768942830862944
2049,15,0.038,1.5461957125231338,1.5841957125231338
2054,10,,,1.5798520203578037
2059,5,,,1.5798520203578037
2064,0,,,1.5798520203578037
