year,completed_fertility_40_44,capped_rooms,households,mean_capped_rooms
2019,1.7611465540806606,6.826785273470569,1.1013831580146314,6.198374492830113
2023,1.6951350930956441,6.849409632156612,1.1292476712475465,6.065462702783053
2027,1.6285419690330714,6.871746175717606,1.167589457399453,5.88541300383347
2031,1.562038177235816,6.851520222360016,1.1980653417679323,5.71882015404062
2035,1.5084587084490488,6.771290975674579,1.2184540815706286,5.557280391679722
2039,1.470253511744564,6.601523700834775,1.2333711863610168,5.352422509814057
