case_id,estimate,interpretation,lower,near_bound,parameter,status,structural_coordinate,transform,upper
coord_first_birth_fixed_cost,1.0496534423047694,structural coordinate,0.1,False,chi,diagnostic candidate; not a certified estimate,True,log,5.0
coord_first_birth_fixed_cost,8.11210048056786,structural coordinate,0.2,False,H0,diagnostic candidate; not a certified estimate,True,log,80.0
coord_first_birth_fixed_cost,0.08105103333987912,structural coordinate,0.0,False,theta0,diagnostic candidate; not a certified estimate,True,softzero,8.0
coord_first_birth_fixed_cost,0.08520356663830632,structural coordinate,0.02,True,theta1,diagnostic candidate; not a certified estimate,True,log,16.0
coord_first_birth_fixed_cost,0.268422423948144,structural coordinate,0.0,False,first_birth_fixed_cost,diagnostic candidate; not a certified estimate,True,softzero,8.0
coord_first_birth_fixed_cost,2.3,mapped first-child requirement,0.1,True,h_P,diagnostic candidate; not a certified estimate,True,log,2.3
coord_first_birth_fixed_cost,0.0,,,False,hbar_child_rooms,zero restriction,False,,
coord_first_birth_fixed_cost,0.1490549283656539,,,False,psi_child,normalized to 2.1,False,,
coord_first_birth_fixed_cost,0.179,,,False,payroll_tax,externally fixed,False,,
coord_first_birth_fixed_cost,2.0463613896121218,,,False,pension_period,budget derived,False,,
coord_first_birth_fixed_cost,0.63,,,False,housing_supply_elasticity,externally fixed,False,,
coord_first_birth_fixed_cost,0.005,,,False,tenure_choice_kappa,externally fixed,False,,
coord_first_birth_fixed_cost,0.733,,,False,alpha_cons,externally fixed,False,,
coord_first_birth_fixed_cost,2.0,,,False,sigma,externally fixed,False,,
coord_h_P,0.99,structural coordinate,0.94,True,beta_annual,diagnostic candidate; not a certified estimate,True,discount,0.99
coord_h_P,0.33773423411167025,structural coordinate,0.02,True,kappa_fert,diagnostic candidate; not a certified estimate,True,log,50.0
coord_h_P,0.39785645171756406,structural coordinate,0.02,True,kappa_fert_continuation,diagnostic candidate; not a certified estimate,True,log,50.0
coord_h_P,1.0496534423047694,structural coordinate,0.1,False,chi,diagnostic candidate; not a certified estimate,True,log,5.0
coord_h_P,8.11210048056786,structural coordinate,0.2,False,H0,diagnostic candidate; not a certified estimate,True,log,80.0
coord_h_P,0.08105103333987912,structural coordinate,0.0,False,theta0,diagnostic candidate; not a certified estimate,True,softzero,8.0
coord_h_P,0.08520356663830632,structural coordinate,0.02,True,theta1,diagnostic candidate; not a certified estimate,True,log,16.0
coord_h_P,0.26576477618628114,structural coordinate,0.0,False,first_birth_fixed_cost,diagnostic candidate; not a certified estimate,True,softzero,8.0
coord_h_P,2.2769999999999997,mapped first-child requirement,0.1,False,h_P,diagnostic candidate; not a certified estimate,True,log,2.3
coord_h_P,0.0,,,False,hbar_child_rooms,zero restriction,False,,
coord_h_P,0.14816755546449842,,,False,psi_child,normalized to 2.1,False,,
coord_h_P,0.179,,,False,payroll_tax,externally fixed,False,,
coord_h_P,2.0463613896121218,,,False,pension_period,budget derived,False,,
coord_h_P,0.63,,,False,housing_supply_elasticity,externally fixed,False,,
coord_h_P,0.005,,,False,tenure_choice_kappa,externally fixed,False,,
coord_h_P,0.733,,,False,alpha_cons,externally fixed,False,,
coord_h_P,2.0,,,False,sigma,externally fixed,False,,
coord_kappa_fert,0.99,structural coordinate,0.94,True,beta_annual,diagnostic candidate; not a certified estimate,True,discount,0.99
coord_kappa_fert,0.34111157645278695,structural coordinate,0.02,True,kappa_fert,diagnostic candidate; not a certified estimate,True,log,50.0
coord_kappa_fert,0.39785645171756406,structural coordinate,0.02,True,kappa_fert_continuation,diagnostic candidate; not a certified estimate,True,log,50.0
coord_kappa_fert,1.0496534423047694,structural coordinate,0.1,False,chi,diagnostic candidate; not a certified estimate,True,log,5.0
coord_kappa_fert,8.11210048056786,structural coordinate,0.2,False,H0,diagnostic candidate; not a certified estimate,True,log,80.0
coord_kappa_fert,0.08105103333987912,structural coordinate,0.0,False,theta0,diagnostic candidate; not a certified estimate,True,softzero,8.0
coord_kappa_fert,0.08520356663830632,structural coordinate,0.02,True,theta1,diagnostic candidate; not a certified estimate,True,log,16.0
coord_kappa_fert,0.26576477618628114,structural coordinate,0.0,False,first_birth_fixed_cost,diagnostic candidate; not a certified estimate,True,softzero,8.0
coord_kappa_fert,2.3,mapped first-child requirement,0.1,True,h_P,diagnostic candidate; not a certified estimate,True,log,2.3
coord_kappa_fert,0.0,,,False,hbar_child_rooms,zero restriction,False,,
coord_kappa_fert,0.14929465231336486,,,False,psi_child,normalized to 2.1,False,,
coord_kappa_fert,0.179,,,False,payroll_tax,externally fixed,False,,
coord_kappa_fert,2.0463613896121218,,,False,pension_period,budget derived,False,,
coord_kappa_fert,0.63,,,False,housing_supply_elasticity,externally fixed,False,,
coord_kappa_fert,0.005,,,False,tenure_choice_kappa,externally fixed,False,,
coord_kappa_fert,0.733,,,False,alpha_cons,externally fixed,False,,
coord_kappa_fert,2.0,,,False,sigma,externally fixed,False,,
coord_kappa_fert_continuation,0.99,structural coordinate,0.94,True,beta_annual,diagnostic candidate; not a certified estimate,True,discount,0.99
coord_kappa_fert_continuation,0.33773423411167025,structural coordinate,0.02,True,kappa_fert,diagnostic candidate; not a certified estimate,True,log,50.0
coord_kappa_fert_continuation,0.4018350162347397,structural coordinate,0.02,True,kappa_fert_continuation,diagnostic candidate; not a certified estimate,True,log,50.0
coord_kappa_fert_continuation,1.0496534423047694,structural coordinate,0.1,False,chi,diagnostic candidate; not a certified estimate,True,log,5.0
coord_kappa_fert_continuation,8.11210048056786,structural coordinate,0.2,False,H0,diagnostic candidate; not a certified estimate,True,log,80.0
coord_kappa_fert_continuation,0.08105103333987912,structural coordinate,0.0,False,theta0,diagnostic candidate; not a certified estimate,True,softzero,8.0
coord_kappa_fert_continuation,0.08520356663830632,structural coordinate,0.02,True,theta1,diagnostic candidate; not a certified estimate,True,log,16.0
coord_kappa_fert_continuation,0.26576477618628114,structural coordinate,0.0,False,first_birth_fixed_cost,diagnostic candidate; not a certified estimate,True,softzero,8.0
coord_kappa_fert_continuation,2.3,mapped first-child requirement,0.1,True,h_P,diagnostic candidate; not a certified estimate,True,log,2.3
coord_kappa_fert_continuation,0.0,,,False,hbar_child_rooms,zero restriction,False,,
coord_kappa_fert_continuation,0.14836175147827496,,,False,psi_child,normalized to 2.1,False,,
coord_kappa_fert_continuation,0.179,,,False,payroll_tax,externally fixed,False,,
coord_kappa_fert_continuation,2.0463613896121218,,,False,pension_period,budget derived,False,,
coord_kappa_fert_continuation,0.63,,,False,housing_supply_elasticity,externally fixed,False,,
coord_kappa_fert_continuation,0.005,,,False,tenure_choice_kappa,externally fixed,False,,
coord_kappa_fert_continuation,0.733,,,False,alpha_cons,externally fixed,False,,
coord_kappa_fert_continuation,2.0,,,False,sigma,externally fixed,False,,
coord_theta0,0.99,structural coordinate,0.94,True,beta_annual,diagnostic candidate; not a certified estimate,True,discount,0.99
coord_theta0,0.33773423411167025,structural coordinate,0.02,True,kappa_fert,diagnostic candidate; not a certified estimate,True,log,50.0
