parameter,value,lower_bound,upper_bound,transform,is_free_parameter,status,near_bound
beta_annual,0.9956384104377285,0.94,0.9995,discount,True,estimated_free_transition_parameter,False
tenure_choice_kappa,2.0,0.005,10.0,log,True,estimated_free_transition_parameter,False
joint_nest_lambda,0.5,0.02,1.0,log,True,estimated_free_transition_parameter,False
chi,1.1334694204205662,0.1,5.0,log,True,estimated_free_transition_parameter,False
H0,11.399716443520008,0.2,80.0,log,True,estimated_free_transition_parameter,False
theta0,0.8774512830517157,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
theta1,0.08479392424134445,0.02,16.0,log,True,estimated_free_transition_parameter,True
hbar_child_rooms,0.3219016256485941,0.1,1.8,log,True,estimated_free_transition_parameter,False
first_birth_fixed_cost,5.5339460050560945,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
hbar_first_child_jump,0.36907540562105323,0.0,2.0,softzero,True,estimated_free_transition_parameter,False
psi_child_change_2023,-0.2128423006042088,-1.5,0.2,asinh,True,estimated_free_transition_parameter,False
psi_child_2007,0.4440237478674882,nan,nan,derived,False,externally_normalized_to_old_completed_fertility,False
psi_child_2023,0.2311814472632794,nan,nan,derived,False,derived_from_old_intercept_and_transition_coordinate,False
housing_supply_elasticity,0.63,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
