first_child_year,never_treated,K,post1997,observations,weight_sum
1976,0,19,0,31,823.9720041751862
1976,0,20,0,28,693.6870009899139
1976,0,21,1,17,725.4269971847534
1976,0,23,1,17,725.4269971847534
1976,0,25,1,17,725.4269971847534
1976,0,27,1,14,618.5430054664612
1976,0,29,1,15,664.8540062904358
1976,0,31,1,13,640.3129997253418
1976,0,33,1,13,577.6960000991821
1976,0,35,1,16,743.4189977645874
1976,0,37,1,15,706.5799970626831
1976,0,39,1,12,632.0139932632446
1976,0,41,1,14,668.4359941482544
1976,0,43,1,12,653.5279941558838
1977,0,-7,0,4,81.70000004768372
1977,0,-6,0,4,81.70000004768372
1977,0,-5,0,5,99.40000081062317
1977,0,-4,0,5,96.10000157356262
1977,0,-3,0,6,161.8000011444092
1977,0,-2,0,30,756.5000004768372
1977,0,0,0,53,1097.000000596046
1977,0,1,0,51,1055.100000977516
1977,0,2,0,48,1163.49999588728
1977,0,3,0,54,1227.100000083447
1977,0,4,0,52,1208.099997699261
1977,0,8,0,50,1271.999988257885
1977,0,9,0,51,1301.89999216795
1977,0,10,0,51,1301.89999216795
1977,0,11,0,51,1301.89999216795
1977,0,12,0,50,1444.200000524521
1977,0,13,0,50,1444.090008735657
1977,0,14,0,50,1444.090008735657
1977,0,15,0,47,1406.257009506226
1977,0,16,0,47,1473.540000796318
1977,0,17,0,46,1444.694000124931
1977,0,18,0,44,1382.507001757622
1977,0,19,0,41,1292.395999312401
1977,0,20,1,33,1368.976996421814
1977,0,22,1,33,1368.976996421814
1977,0,24,1,31,1289.983996391296
1977,0,26,1,32,1384.318002939224
1977,0,28,1,28,1177.115000009537
1977,0,30,1,26,1184.075002193451
1977,0,32,1,29,1323.748002529144
1977,0,34,1,30,1471.238000631332
1977,0,36,1,26,1315.733997106552
1977,0,38,1,26,1510.90101146698
1977,0,40,1,29,1695.4310131073
1977,0,42,1,27,1710.518992900848
1978,0,-8,0,2,30.79999971389771
1978,0,-7,0,2,30.79999971389771
1978,0,-6,0,2,30.79999971389771
1978,0,-5,0,3,55.90000009536743
1978,0,-4,0,5,124.4999990463257
1978,0,-3,0,27,599.5999997854233
1978,0,-1,0,43,951.0999962091446
1978,0,0,0,54,1165.699994683266
1978,0,1,0,56,1373.19998550415
1978,0,2,0,51,1232.799986839294
1978,0,3,0,51,1211.299987792969
1978,0,7,0,51,1375.399996876717
1978,0,8,0,51,1357.499995350838
1978,0,9,0,51,1326.699997067451
1978,0,10,0,51,1326.699997067451
1978,0,11,0,49,1460.200011968613
1978,0,12,0,48,1427.319990754128
1978,0,13,0,46,1373.564988732338
1978,0,14,0,45,1386.508990168571
1978,0,15,0,46,1418.270997285843
1978,0,16,0,49,1519.117993593216
1978,0,17,0,48,1514.517993688583
1978,0,18,0,49,1519.117993593216
1978,0,19,1,33,1526.801001787186
1978,0,21,1,32,1464.944998979568
1978,0,23,1,30,1439.331001520157
1978,0,25,1,31,1541.592007398605
1978,0,27,1,30,1437.896008253098
1978,0,29,1,29,1533.189996957779
1978,0,31,1,27,1407.938998222351
1978,0,33,1,25,1330.62700176239
1978,0,35,1,28,1611.247012138367
1978,0,37,1,28,1826.955996513367
1978,0,39,1,24,1631.389995574951
1978,0,41,1,24,1766.50098991394
1979,0,-9,0,4,102.5999984741211
1979,0,-8,0,3,75.19999885559082
1979,0,-7,0,5,129.9999980926514
1979,0,-6,0,8,192.199998497963
1979,0,-5,0,11,322.7999976873398
1979,0,-4,0,28,800.3999971151352
1979,0,-2,0,45,1199.599992156029
1979,0,-1,0,50,1227.399993538857
1979,0,0,0,67,1638.999979913235
1979,0,1,0,65,1615.599982976913
1979,0,2,0,64,1606.999983072281
1979,0,6,0,66,1813.399992406368
1979,0,7,0,62,1740.599993824959
1979,0,8,0,59,1615.49999153614
1979,0,9,0,58,1605.799990773201
1979,0,10,0,57,1776.799999713898
1979,0,11,0,57,1775.383012652397
1979,0,12,0,56,1724.859010577202
1979,0,13,0,58,1812.946013569832
1979,0,14,0,54,1770.430008709431
1979,0,15,0,58,1905.717007756233
1979,0,16,0,58,1883.914009213448
1979,0,17,0,55,1842.605010092258
1979,0,18,1,46,1894.772991120815
1979,0,20,1,45,1928.231991887093
1979,0,22,1,42,1831.315993905067
1979,0,24,1,36,1536.049005508423
1979,0,26,1,37,1658.743000507355
1979,0,28,1,37,1683.128988862038
1979,0,30,1,37,1752.170986771584
1979,0,32,1,34,1585.323995113373
1979,0,34,1,32,1693.94699716568
1979,0,36,1,31,1748.252003669739
1979,0,38,1,30,1896.952999949455
1979,0,40,1,27,1887.999004840851
1980,0,-7,0,2,61.10000038146973
1980,0,-6,0,5,141.6999998092651
1980,0,-5,0,22,521.6000001430511
1980,0,-3,0,35,783.8000005483627
1980,0,-2,0,42,879.900001168251
1980,0,-1,0,59,1194.999994397163
1980,0,0,0,69,1440.099993109703
1980,0,1,0,71,1478.599992394447
1980,0,5,0,66,1499.099987864494
1980,0,6,0,63,1504.799989461899
1980,0,7,0,65,1517.999988913536
1980,0,8,0,63,1489.299988150597
1980,0,9,0,59,1633.000005245209
1980,0,10,0,62,1593.63000357151
1980,0,11,0,63,1653.065004944801
1980,0,12,0,64,1690.381006836891
1980,0,13,0,64,1817.43799495697
1980,0,14,0,63,1787.783995568752
1980,0,15,0,62,1723.339997470379
1980,0,16,0,59,1648.631998240948
1980,0,17,1,37,1459.094005584717
1980,0,19,1,35,1426.674004077911
1980,0,21,1,37,1527.053005695343
1980,0,23,1,34,1409.946995377541
1980,0,25,1,34,1328.981991887093
1980,0,27,1,34,1366.621995329857
1980,0,29,1,30,1271.559994220734
1980,0,31,1,28,1138.332997083664
1980,0,33,1,28,1204.402992010117
1980,0,35,1,30,1463.512003064156
1980,0,37,1,27,1321.644000172615
1980,0,39,1,22,1148.034008145332
1981,0,-10,0,1,33.70000076293945
1981,0,-9,0,1,33.70000076293945
1981,0,-8,0,5,149.6000022888184
1981,0,-7,0,7,238.1000022888184
1981,0,-6,0,15,402.6000020503998
1981,0,-4,0,23,627.0000016689301
1981,0,-3,0,28,709.9000008106232
1981,0,-2,0,36,903.5999915599823
1981,0,-1,0,48,1096.499992251396
1981,0,0,0,56,1261.699992060661
1981,0,4,0,51,1283.80000191927
1981,0,5,0,49,1255.200001239777
1981,0,6,0,53,1288.300001263618
1981,0,7,0,50,1254.000001907349
1981,0,8,0,50,1434.199999570847
1981,0,9,0,48,1405.394009828568
1981,0,10,0,45,1364.0450091362
1981,0,11,0,48,1428.28601026535
1981,0,12,0,51,1550.794984936714
1981,0,13,0,53,1579.715987801552
1981,0,14,0,50,1538.740986227989
1981,0,15,0,50,1531.333988547325
1981,0,16,1,39,1569.513003587723
1981,0,18,1,39,1561.829003810883
1981,0,20,1,38,1512.840005397797
1981,0,22,1,38,1616.536999583244
1981,0,24,1,38,1615.798999667168
1981,0,26,1,35,1629.67300093174
1981,0,28,1,36,1537.55200111866
1981,0,30,1,35,1626.664006948471
1981,0,32,1,34,1465.716001749039
1981,0,34,1,34,1754.717993021011
1981,0,36,1,32,1690.346993684769
1981,0,38,1,32,1687.705991506577
1982,0,-12,0,2,54.79999923706055
1982,0,-11,0,3,85.19999885559082
1982,0,-10,0,3,85.19999885559082
1982,0,-9,0,5,114.3999996185303
1982,0,-8,0,5,164.3999996185303
1982,0,-7,0,10,280.3000018596649
1982,0,-5,0,22,567.1999995708466
1982,0,-4,0,26,664.2000000476837
1982,0,-3,0,29,729.999995470047
1982,0,-2,0,41,926.399997651577
1982,0,-1,0,53,1149.199995577335
1982,0,3,0,53,1337.299993336201
1982,0,4,0,53,1282.799992978573
1982,0,5,0,52,1260.799992024899
1982,0,6,0,51,1224.799993932247
1982,0,7,0,51,1414.799999117851
1982,0,8,0,52,1426.344007194042
1982,0,9,0,50,1375.766006112099
1982,0,10,0,51,1422.182007014751
1982,0,11,0,48,1369.836987376213
1982,0,12,0,50,1388.694987893105
1982,0,13,0,50,1388.694987893105
1982,0,14,0,50,1387.161988854408
1982,0,15,1,38,1401.582000494003
1982,0,17,1,37,1251.514001369476
1982,0,19,1,40,1416.244000911713
1982,0,21,1,38,1426.231001615524
1982,0,23,1,36,1309.062002897263
1982,0,25,1,35,1372.660001277924
1982,0,27,1,33,1223.394999623299
1982,0,29,1,29,1179.890005111694
1982,0,31,1,29,1114.833002924919
1982,0,33,1,27,1185.863993525505
1982,0,35,1,23,1045.397000670433
1982,0,37,1,28,1241.992998242378
1983,0,-12,0,1,22.10000038146973
1983,0,-11,0,2,26.10000038146973
1983,0,-10,0,1,4
1983,0,-9,0,3,51.79999923706055
1983,0,-8,0,14,268.5999957323074
1983,0,-6,0,16,350.9999942779541
1983,0,-5,0,24,518.6999946832657
1983,0,-4,0,27,594.699994802475
1983,0,-3,0,36,773.8999931812286
1983,0,-2,0,49,1023.999992847443
1983,0,2,0,44,1011.699995994568
1983,0,3,0,47,1054.899994492531
1983,0,4,0,46,1015.199993729591
1983,0,5,0,44,1002.399995446205
1983,0,6,0,43,1065.800001144409
1983,0,7,0,42,1060.657009243965
1983,0,8,0,43,1093.306010365486
1983,0,9,0,43,1093.306010365486
1983,0,10,0,41,1132.1600086689
1983,0,11,0,42,1097.278012037277
1983,0,12,0,42,1090.764012098312
1983,0,13,0,41,1083.313011884689
1983,0,14,1,30,1095.553990840912
1983,0,16,1,30,1095.553990840912
1983,0,18,1,28,1027.641989707947
1983,0,20,1,28,1027.09499669075
1983,0,22,1,28,1087.725993394852
1983,0,24,1,26,1126.584006786346
1983,0,26,1,26,1126.584006786346
1983,0,28,1,22,1082.667993068695
1983,0,30,1,22,1079.30699300766
1983,0,32,1,15,878.7950029373169
1983,0,34,1,15,859.3569993972778
1983,0,36,1,16,941.517991065979
1984,0,-13,0,1,21.70000076293945
1984,0,-12,0,3,76.89999961853027
1984,0,-11,0,4,101
1984,0,-10,0,3,93.89999961853027
1984,0,-9,0,7,153.2999992370605
1984,0,-7,0,9,181.5999991893768
1984,0,-6,0,12,253.8999993801117
1984,0,-5,0,16,363.9999971389771
1984,0,-4,0,25,597.3999972343445
1984,0,-3,0,28,624.5999989509583
1984,0,1,0,26,676.6999998092651
1984,0,2,0,27,680.6999998092651
1984,0,3,0,25,672.7999997138977
1984,0,4,0,24,625.0000004768372
1984,0,5,0,25,727.0999946594238
1984,0,6,0,25,727.332001209259
1984,0,7,0,25,727.332001209259
1984,0,8,0,25,727.332001209259
1984,0,9,0,25,784.2109999656677
1984,0,10,0,27,807.659996509552
1984,0,11,0,27,840.009997844696
1984,0,12,0,27,845.8810000419617
1984,0,13,1,16,698.5800013542175
1984,0,15,1,15,690.3840012550354
1984,0,17,1,15,690.3840012550354
1984,0,19,1,14,673.8519983291626
1984,0,21,1,12,576.9299974441528
1984,0,23,1,13,617.50199842453
1984,0,25,1,12,565.360999584198
1984,0,27,1,13,668.6669969558716
1984,0,29,1,9,429.2939958572388
1984,0,31,1,12,682.7879991531372
1984,0,33,1,8,469.4959979057312
1984,0,35,1,10,658.5070071220398
1985,0,-10,0,1,39.59999847412109
1985,0,-8,0,4,81.39999830722809
1985,0,-7,0,8,140.2999980449677
1985,0,-6,0,7,153.8999983668327
1985,0,-5,0,14,296.9999999403954
1985,0,-4,0,21,422.7000004649162
1985,0,0,0,43,1050.599989116192
1985,0,1,0,41,961.8999891281128
1985,0,2,0,40,987.4999878406525
1985,0,3,0,40,985.399987757206
1985,0,4,0,41,1089.19998884201
1985,0,5,0,40,1084.470017790794
1985,0,6,0,37,1039.931016802788
1985,0,7,0,38,1075.568017840385
1985,0,8,0,36,1141.251004219055
1985,0,9,0,41,1160.178004086018
1985,0,10,0,34,1064.116002321243
1985,0,11,0,37,1080.723002433777
1985,0,12,1,31,1198.215993881226
1985,0,14,1,28,1099.793992996216
1985,0,16,1,26,941.9639949798584
1985,0,18,1,25,946.928000330925
1985,0,20,1,28,1080.740000605583
1985,0,22,1,23,926.1990003585815
1985,0,24,1,25,962.3340044021606
1985,0,26,1,21,861.651996254921
1985,0,28,1,21,847.5069996118546
1985,0,30,1,22,1092.116998910904
1985,0,32,1,20,920.9430019855499
1985,0,34,1,21,1067.464002370834
1986,0,-16,0,1,25.10000038146973
1986,0,-15,0,2,29.70000028610229
1986,0,-14,0,2,29.70000028610229
1986,0,-13,0,3,35.40000009536743
1986,0,-12,0,2,37.70000076293945
1986,0,-11,0,4,92.40000295639038
1986,0,-9,0,5,119.5000033378601
1986,0,-8,0,8,172.5000038146973
1986,0,-7,0,13,264.0999994277954
1986,0,-6,0,14,290.7999987602234
1986,0,-5,0,15,280.5999987125397
1986,0,-1,0,40,913.0999987721443
1986,0,0,0,54,1302.199996054173
1986,0,1,0,55,1306.399995863438
1986,0,2,0,53,1280.59999537468
1986,0,3,0,54,1487.499994397163
1986,0,4,0,55,1484.934018433094
1986,0,5,0,53,1424.522017776966
1986,0,6,0,50,1338.154016077518
1986,0,7,0,51,1477.140993118286
1986,0,8,0,47,1364.577992320061
1986,0,9,0,46,1327.055992007256
1986,0,10,0,45,1301.595992088318
1986,0,11,1,38,1370.603989362717
1986,0,13,1,39,1400.057992458344
1986,0,15,1,37,1356.717995882034
1986,0,17,1,36,1324.44700217247
1986,0,19,1,34,1193.986003637314
1986,0,21,1,35,1367.452003717422
1986,0,23,1,36,1368.699003696442
1986,0,25,1,34,1394.868009328842
1986,0,27,1,29,1304.946011304855
1986,0,29,1,30,1394.754990696907
1986,0,31,1,28,1396.521992325783
1986,0,33,1,28,1401.871003508568
1987,0,-17,0,1,24.89999961853027
1987,0,-16,0,1,24.89999961853027
1987,0,-15,0,1,24.89999961853027
1987,0,-14,0,2,52.29999923706055
1987,0,-13,0,2,63.89999961853027
1987,0,-12,0,4,122.5999984741211
1987,0,-10,0,8,206.7999992370605
1987,0,-9,0,9,232.7999992370605
1987,0,-8,0,16,420.199999332428
1987,0,-7,0,23,514.399998664856
1987,0,-6,0,25,572.399998664856
1987,0,-2,0,51,1190.899987399578
1987,0,-1,0,50,1165.199988305569
1987,0,0,0,65,1382.799985706806
1987,0,1,0,59,1326.099985897541
1987,0,2,0,58,1496.699986696243
1987,0,3,0,57,1482.524007320404
1987,0,4,0,57,1490.030005931854
1987,0,5,0,57,1464.202004909515
1987,0,6,0,58,1651.718999147415
1987,0,7,0,60,1680.544998168945
1987,0,8,0,60,1676.287998437881
1987,0,9,0,58,1630.457998037338
1987,0,10,1,43,1505.91400206089
1987,0,12,1,44,1567.591995358467
1987,0,14,1,43,1521.433998227119
1987,0,16,1,42,1553.189000248909
1987,0,18,1,41,1458.817000508308
1987,0,20,1,38,1335.823006153107
1987,0,22,1,39,1420.523003101349
1987,0,24,1,37,1455.200991988182
1987,0,26,1,32,1335.856989741325
1987,0,28,1,31,1382.882991790771
1987,0,30,1,29,1140.631995201111
1987,0,32,1,29,1202.136007666588
1988,0,-13,0,3,88.79999923706055
1988,0,-11,0,4,109.6999988555908
1988,0,-10,0,5,139.0999984741211
1988,0,-9,0,4,122.0999984741211
1988,0,-8,0,4,122.0999984741211
1988,0,-7,0,7,182.3999972343445
1988,0,-3,0,31,753.5999984741211
1988,0,-2,0,40,1006.399996876717
1988,0,-1,0,44,1123.999996185303
1988,0,0,0,58,1279.299993515015
1988,0,1,0,55,1482.800000548363
1988,0,2,0,54,1433.573006570339
1988,0,3,0,52,1443.614006698132
1988,0,4,0,51,1393.592005312443
1988,0,5,0,50,1521.309008598328
1988,0,6,0,49,1470.066009044647
1988,0,7,0,51,1474.453009009361
1988,0,8,0,50,1452.19700551033
1988,0,9,1,41,1532.006998181343
1988,0,11,1,43,1516.534998059273
1988,0,13,1,41,1507.226996898651
1988,0,15,1,38,1524.826997756958
1988,0,17,1,39,1487.295996427536
1988,0,19,1,36,1429.240991353989
1988,0,21,1,38,1543.067991018295
1988,0,23,1,33,1454.481000900269
1988,0,25,1,34,1400.351997256279
1988,0,27,1,30,1436.353000640869
1988,0,29,1,24,1244.228001832962
1988,0,31,1,32,1692.407996296883
1989,0,-15,0,1,24.89999961853027
1989,0,-14,0,2,28.89999961853027
1989,0,-12,0,5,99.79999923706055
1989,0,-11,0,8,137.0999990701675
1989,0,-10,0,12,265.5000002384186
1989,0,-9,0,12,274.0999991893768
1989,0,-8,0,14,276.9999994635582
1989,0,-4,0,28,730.899994134903
1989,0,-3,0,37,973.1999952793121
1989,0,-2,0,45,1103.299995958805
1989,0,-1,0,49,1172.999996483326
1989,0,0,0,54,1404.599998831749
1989,0,1,0,54,1420.224010169506
1989,0,2,0,54,1398.185008943081
1989,0,3,0,51,1322.331011354923
1989,0,4,0,51,1482.075003385544
1989,0,5,0,49,1438.47100186348
1989,0,6,0,51,1504.063002824783
1989,0,7,0,49,1467.087002515793
1989,0,8,1,38,1397.113001942635
1989,0,10,1,37,1350.476000905037
1989,0,12,1,37,1359.457000732422
1989,0,14,1,35,1302.139004826546
1989,0,16,1,34,1264.107003331184
1989,0,18,1,36,1418.116990685463
1989,0,20,1,36,1337.264991879463
1989,0,22,1,32,1259.582993030548
1989,0,24,1,31,1247.859996795654
1989,0,26,1,29,1310.223993301392
1989,0,28,1,27,1213.215994358063
1989,0,30,1,24,1264.402996778488
1990,0,-15,0,1,32.09999847412109
1990,0,-13,0,3,90.29999732971191
1990,0,-12,0,4,114.5999984741211
1990,0,-11,0,4,123.6999969482422
1990,0,-10,0,6,188.7999973297119
1990,0,-9,0,7,191.8999972343445
1990,0,-5,0,10,313.5999992489815
1990,0,-4,0,13,371.09999781847
1990,0,-3,0,14,403.3999970555305
1990,0,-2,0,23,655.3999963402748
1990,0,-1,0,30,894.299991607666
1990,0,0,0,39,1014.100004792213
1990,0,1,0,35,989.6320053339005
1990,0,2,0,33,975.404005408287
1990,0,3,0,34,1030.735003471375
1990,0,4,0,36,1059.362002372742
1990,0,5,0,33,1053.72400188446
1990,0,6,0,36,1057.234000682831
1990,0,7,1,30,1126.901003837585
1990,0,9,1,28,1082.414000511169
1990,0,11,1,29,1070.186003684998
1990,0,13,1,29,1104.77300131321
1990,0,15,1,27,1011.934004426003
1990,0,17,1,28,1118.409999728203
1990,0,19,1,26,998.843997836113
1990,0,21,1,28,1172.713001966476
1990,0,23,1,26,1071.763001203537
1990,0,25,1,21,885.3809965848923
1990,0,27,1,19,828.6919974088669
1990,0,29,1,21,952.7409949302673
1991,0,-14,0,1,26
1991,0,-13,0,2,41.80000019073486
1991,0,-12,0,6,154.7999992370605
1991,0,-11,0,9,208.4999995231628
1991,0,-10,0,8,195.8999996185303
1991,0,-6,0,18,496.299991607666
1991,0,-5,0,24,661.7999901771545
1991,0,-4,0,27,682.39999127388
1991,0,-3,0,32,796.5999910831451
1991,0,-2,0,42,1129.599997758865
1991,0,-1,0,52,1452.787014484406
1991,0,0,0,58,1479.181012868881
1991,0,1,0,51,1345.446009635925
1991,0,2,0,51,1506.850001990795
1991,0,3,0,56,1677.181004226208
1991,0,4,0,57,1681.643004119396
1991,0,5,0,56,1609.196002721786
1991,0,6,1,47,1647.710003137589
1991,0,8,1,46,1666.960001707077
