first_child_year,never_treated,K,post1997,observations,weight_sum
1970,0,0,0,21,360.0999983549118
1970,0,1,0,21,360.0999983549118
1970,0,2,0,20,358.3999983072281
1970,0,3,0,21,360.0999983549118
1970,0,4,0,19,422.4999965429306
1970,0,5,0,21,431.5999964475632
1970,0,7,0,21,431.5999964475632
1970,0,8,0,20,396.6999949216843
1970,0,9,0,21,483.499996304512
1970,0,10,0,17,407.1999979019165
1970,0,11,0,19,444.3999954462051
1970,0,15,0,20,509.5000019073486
1970,0,16,0,19,470.5000019073486
1970,0,17,0,18,435.6000003814697
1970,0,18,0,19,470.5000019073486
1970,0,19,0,19,552.0000042915344
1970,0,20,0,19,552.0609962940216
1970,0,21,0,18,508.3319962024689
1970,0,22,0,19,554.8639976978302
1970,0,23,0,19,579.4539988040924
1970,0,24,0,18,565.309996843338
1970,0,25,0,20,613.753998041153
1970,0,26,0,19,556.7149965763092
1970,0,27,1,16,682.7109985351563
1970,0,29,1,15,677.7929983139038
1970,0,31,1,15,677.7929983139038
1970,0,33,1,15,695.1540012359619
1970,0,35,1,15,695.1540012359619
1970,0,37,1,14,657.7560029029846
1970,0,39,1,14,668.3270058631897
1970,0,41,1,13,662.3839926719666
1970,0,43,1,12,656.8379926681519
1970,0,45,1,10,619.7439951896667
1970,0,47,1,10,619.7439951896667
1970,0,49,1,10,595.4669995307922
1971,0,-1,0,16,373.9000028371811
1971,0,0,0,20,459.000003695488
1971,0,1,0,20,459.000003695488
1971,0,2,0,20,459.000003695488
1971,0,3,0,19,520.4999994039536
1971,0,4,0,18,491.200000166893
1971,0,6,0,16,464.0000009536743
1971,0,7,0,17,515.5999994277954
1971,0,8,0,18,560.5000002384186
1971,0,9,0,17,556.5000002384186
1971,0,10,0,18,560.5000002384186
1971,0,14,0,18,595.899998664856
1971,0,15,0,18,595.899998664856
1971,0,16,0,15,476.0999975204468
1971,0,17,0,16,510.2999982833862
1971,0,18,0,16,569.2999906539917
1971,0,19,0,15,531.4009971618652
1971,0,20,0,15,537.6809959411621
1971,0,21,0,14,499.5839958190918
1971,0,22,0,14,524.8069996833801
1971,0,23,0,13,518.1080002784729
1971,0,24,0,13,494.4269989728928
1971,0,25,0,12,454.2659996747971
1971,0,26,1,10,517.7110109329224
1971,0,28,1,10,517.6520128250122
1971,0,30,1,10,501.6610078811646
1971,0,32,1,10,517.9730072021484
1971,0,34,1,9,472.1670074462891
1971,0,36,1,7,376.1460037231445
1971,0,38,1,9,488.9530029296875
1971,0,40,1,8,476.8270044326782
1971,0,42,1,8,486.7890024185181
1971,0,44,1,7,470.709997177124
1971,0,46,1,7,470.709997177124
1971,0,48,1,7,503.4730043411255
1972,0,-2,0,16,397.1000027656555
1972,0,-1,0,17,422.0000023841858
1972,0,0,0,20,481.8000025749207
1972,0,1,0,20,483.1000037193298
1972,0,2,0,21,601.8000009059906
1972,0,3,0,20,571.1000001430511
1972,0,5,0,20,571.1000001430511
1972,0,6,0,20,571.1000001430511
1972,0,7,0,19,619.2999973297119
1972,0,8,0,20,627.4999971389771
1972,0,9,0,20,627.4999971389771
1972,0,13,0,19,641.1999988555908
1972,0,14,0,18,608.1999988555908
1972,0,15,0,18,608.1999988555908
1972,0,16,0,17,561.4999980926514
1972,0,17,0,16,588.4000005722046
1972,0,18,0,15,553.006000995636
1972,0,19,0,15,553.006000995636
1972,0,20,0,11,347.8120007514954
1972,0,21,0,12,402.7749991416931
1972,0,22,0,15,523.8400015830994
1972,0,23,0,15,525.2570013999939
1972,0,24,0,12,400.3709998130798
1972,0,25,1,9,431.6740036010742
1972,0,27,1,8,368.2750015258789
1972,0,29,1,10,506.4610023498535
1972,0,31,1,9,487.0219993591309
1972,0,33,1,9,487.0219993591309
1972,0,35,1,9,506.1269989013672
1972,0,37,1,7,379.4389991760254
1972,0,39,1,7,411.378002166748
1972,0,41,1,7,438.8920021057129
1972,0,43,1,7,506.4360008239746
1972,0,45,1,7,506.4360008239746
1972,0,47,1,6,465.1509971618652
1973,0,-3,0,13,275.4000010490417
1973,0,-2,0,16,359.6000018119812
1973,0,-1,0,18,371.9000020027161
1973,0,0,0,27,544.4000039100647
1973,0,1,0,26,645.2000060081482
1973,0,2,0,26,611.4000045061111
1973,0,4,0,26,611.4000045061111
1973,0,5,0,27,646.3000060319901
1973,0,6,0,26,673.799991607666
1973,0,7,0,25,636.4999923706055
1973,0,8,0,22,606.0999910831451
1973,0,12,0,25,713.2000023126602
1973,0,13,0,25,713.2000023126602
1973,0,14,0,24,711.6000022888184
1973,0,15,0,24,711.6000022888184
1973,0,16,0,23,765.8999946117401
1973,0,17,0,23,765.9530065059662
1973,0,18,0,21,731.584007024765
1973,0,19,0,20,701.3880078792572
1973,0,20,0,19,728.3390107154846
1973,0,21,0,19,677.7600092887878
1973,0,22,0,19,677.7600092887878
1973,0,23,0,16,555.4670100212097
1973,0,24,1,12,585.372998714447
1973,0,26,1,11,524.3309988975525
1973,0,28,1,14,694.0099997520447
1973,0,30,1,13,650.7320036888123
1973,0,32,1,11,599.2160034179688
1973,0,34,1,11,626.5519981384277
1973,0,36,1,10,578.9249954223633
1973,0,38,1,8,519.242000579834
1973,0,40,1,9,553.234001159668
1973,0,42,1,6,441.3899955749512
1973,0,44,1,6,441.3899955749512
1973,0,46,1,6,474.2009963989258
1974,0,-4,0,5,138.1000003814697
1974,0,-3,0,7,199.9000015258789
1974,0,-2,0,9,230.8000011444092
1974,0,-1,0,12,308.6000003814697
1974,0,0,0,14,368.4000017642975
1974,0,1,0,15,395.5000021457672
1974,0,3,0,15,395.5000021457672
1974,0,4,0,15,395.5000021457672
1974,0,5,0,15,433.0999903082848
1974,0,6,0,14,431.7999903559685
1974,0,7,0,13,368.4999918341637
1974,0,11,0,13,397.1000003218651
1974,0,12,0,12,396.3000003099442
1974,0,13,0,12,396.3000003099442
1974,0,14,0,12,396.3000003099442
1974,0,15,0,12,441.8000037670135
1974,0,16,0,12,441.7549966573715
1974,0,17,0,11,405.4219964742661
1974,0,18,0,11,405.4219964742661
1974,0,19,0,11,428.392998456955
1974,0,20,0,14,491.3929973244667
1974,0,21,0,12,444.7249973416328
1974,0,22,0,11,386.4969967007637
1974,0,23,1,10,421.431992650032
1974,0,25,1,9,404.9909906387329
1974,0,27,1,10,457.210991859436
1974,0,29,1,9,436.2729930877686
1974,0,31,1,10,474.1219921112061
1974,0,33,1,9,456.5519952774048
1974,0,35,1,9,435.5009927749634
1974,0,37,1,8,436.2569990158081
1974,0,39,1,9,498.919997215271
1974,0,41,1,9,575.2860059738159
1974,0,43,1,9,575.2860059738159
1974,0,45,1,9,612.3650045394897
1975,0,-5,0,5,138.8000011444092
1975,0,-4,0,6,161.6000003814697
1975,0,-3,0,7,199.7999992370605
1975,0,-2,0,12,260.5999984741211
1975,0,-1,0,19,485.2000029087067
1975,0,0,0,56,1228.00000500679
1975,0,2,0,50,1170.200004458427
1975,0,3,0,50,1131.600004196167
1975,0,4,0,51,1275.199992239475
1975,0,5,0,48,1234.999992072582
1975,0,6,0,51,1279.499992251396
1975,0,10,0,52,1427.299993515015
1975,0,11,0,51,1398.499994277954
1975,0,12,0,50,1334.899995803833
1975,0,13,0,50,1304.799996197224
1975,0,14,0,48,1439.299994826317
1975,0,15,0,47,1437.112009346485
1975,0,16,0,45,1413.917009711266
1975,0,17,0,44,1397.03700864315
1975,0,18,0,45,1477.048997879028
1975,0,19,0,48,1555.620995998383
1975,0,20,0,45,1508.128996372223
1975,0,21,0,45,1505.109996318817
1975,0,22,1,26,1214.265998721123
1975,0,24,1,25,1162.097995638847
1975,0,26,1,24,1102.292999148369
1975,0,28,1,24,1156.740003943443
1975,0,30,1,22,1019.401003241539
1975,0,32,1,22,1111.413995027542
1975,0,34,1,23,1112.693992137909
1975,0,36,1,21,1130.804001808167
1975,0,38,1,22,1213.05300617218
1975,0,40,1,19,1125.691011667252
1975,0,42,1,19,1125.691011667252
1975,0,44,1,18,1134.004000902176
1976,0,-6,0,4,108.7999992370605
1976,0,-5,0,4,108.7999992370605
1976,0,-4,0,3,83.89999961853027
1976,0,-3,0,6,107.3000001907349
1976,0,-2,0,10,218.600001335144
1976,0,-1,0,37,648.8999997377396
1976,0,1,0,35,626.499998986721
1976,0,2,0,33,592.5999993681908
1976,0,3,0,34,652.6999961137772
1976,0,4,0,31,576.8999977111816
1976,0,5,0,35,691.5999954342842
1976,0,9,0,34,732.899998664856
1976,0,10,0,33,731.899998664856
1976,0,11,0,33,730.5999989509583
1976,0,12,0,34,737.7999987602234
1976,0,13,0,30,737.2000006437302
1976,0,14,0,29,724.3010029792786
1976,0,15,0,29,740.8370025157928
1976,0,16,0,30,716.1620012521744
1976,0,17,0,30,760.8520015478134
1976,0,18,0,34,836.7840036153793
