stage,case_id,label,loss,tfr,childless_rate,mean_age_first_birth,share_first_births_age30plus,housing_increment_0to1,prime30_55_parent_3plus_minus_1to2_mean_rooms,own_family_gap,own_rate,aggregate_mean_occupied_rooms_18_85,aggregate_wealth_to_annual_gross_labor_earnings,annual_bequest_flow_to_aggregate_wealth,old_total_wealth_to_annual_income_p90_p50_7684
round1,1,anchor,29.385883689710354,1.9217006310594171,0.18921207919658195,26.247452084045545,0.23697388411524634,0.4393503716831564,0.4044584314879751,0.16481868650814735,0.5468237404785142,6.320024900572341,7.01545113415725,0.008417100613111897,3.274138478925073
round1,2,coordinate_0_minus,30.15590341944943,1.9219944789724481,0.18925908224354795,26.249547912695792,0.23712183927329156,0.43889024559337564,0.40389209340384546,0.16414293590444473,0.5462787015761393,6.319469788445492,6.994978173637878,0.008420729682105188,3.236005675183157
round1,3,coordinate_0_plus,29.368321005882187,1.921408714630306,0.18916636314954868,26.245416412866373,0.23683061051982793,0.44014036536499823,0.40486094245344173,0.1655315085819024,0.5473254124720259,6.320654933390042,7.034858812411525,0.0084135326006457,3.2764233889975647
round1,4,coordinate_1_minus,31.252557346809432,1.9200987142636698,0.19104888092942854,26.130944002045783,0.2297503808439921,0.43827221336635436,0.40143008716318995,0.1694166721160651,0.5467541623788791,6.319249081816169,7.012041965083745,0.00841962378316587,3.2747744229454265
round1,5,coordinate_1_plus,30.37232559928169,1.9233456673154166,0.18745205904996226,26.361377667587412,0.24405327808725924,0.44031361645134215,0.40698122657442326,0.1603860337295957,0.5468888129272076,6.320926779693868,7.018337421310463,0.008414541057576611,3.273841319091121
round1,6,coordinate_2_minus,30.473300808329537,1.9171799539158614,0.1927218731909653,26.323726972353295,0.24124750725369437,0.4391005625705571,0.40855592239018534,0.16518895501706565,0.5469346409956942,6.319876147655391,7.016936583562724,0.008414997159622474,3.27442868323576
round1,7,coordinate_2_plus,29.776062857058655,1.9261671145089938,0.1857154436310718,26.17020655906926,0.23264824661215883,0.43959995218899106,0.4003213728977464,0.1644257844003597,0.546685024347045,6.320133473368638,7.013817445625954,0.008419265091027651,3.2738841999345767
round1,8,coordinate_3_minus,55.761684461744174,1.9216958310974572,0.18919756132937104,26.24708062875523,0.2369601825806217,0.4632507435767197,0.42162240026776576,0.16437889805109368,0.4331315216914966,6.306460218791951,6.963293694617931,0.008437904261673535,3.2572472374974106
round1,9,coordinate_3_plus,36.087666794711325,1.9217605331001342,0.18921019888508253,26.24806300530511,0.23700497120962657,0.40780389216392443,0.3908166760547722,0.15005629474274856,0.6242342171850959,6.324580955493574,7.0595056332331945,0.00839702092228705,3.2672846027908005
round1,10,coordinate_4_minus,31.089779212754813,1.9217168081337717,0.18930007141362395,26.24817906531488,0.23701378800394982,0.4436971009444495,0.4074891843578152,0.16470457471005667,0.5424030469793388,6.270186008242861,7.013359462265992,0.008413853960576161,3.2058497326514677
round1,11,coordinate_4_plus,30.578036521890358,1.9216910461694403,0.18912205933698817,26.24669509750578,0.2369390520385619,0.43461221644891257,0.4012816478514738,0.16473827085485093,0.5515079749520572,6.370559189654787,7.017603380399751,0.008421956957062436,3.225164645316824
round1,12,coordinate_5_minus,30.547452054040882,1.921700679221836,0.1892109878295934,26.24753856535105,0.23697889024219293,0.438976384363583,0.4042191425722157,0.16474417278079717,0.5464417308287932,6.32141546211139,6.997030837354607,0.008344663788709005,3.2354578512096497
