cohort,weight_minus1,weight_plus3,no_observed_kminus2,null_loading
1970,0.0,0.009788634760735208,True,0.009788634760735208
1971,0.010768949433197601,0.01414880424994231,True,0.00337985481674471
1972,0.012154310382456766,0.015524269199652722,False,0.0
1973,0.010711346042747549,0.0,False,0.0
1974,0.008888199448984693,0.01075091665248851,False,0.0
1975,0.013974576776311278,0.03076039763100882,False,0.0
1976,0.018689412226136418,0.017742410162396235,False,0.0
1977,0.0,0.03335638370060872,False,0.0
1978,0.027393280789973284,0.03292689036477653,True,0.005533609574803245
1979,0.035351185783442894,0.0,False,0.0
1980,0.03441801127222341,0.0,False,0.0
1981,0.03158104541443087,0.0,False,0.0
1982,0.033098894215286626,0.03635196128881944,False,0.0
1983,0.0,0.028675453491704025,False,0.0
1984,0.0,0.018288790597913832,True,0.018288790597913832
1985,0.0,0.026786227762993452,True,0.026786227762993452
1986,0.02629881690188689,0.040434863144316616,True,0.014136046242429725
1987,0.03355972093717599,0.04029960038316402,False,0.0
1988,0.0323730918159548,0.03924190589171331,False,0.0
1989,0.033784374301731784,0.03594505793412867,False,0.0
1990,0.025757345051226913,0.028018574091028748,False,0.0
1991,0.041842711359917975,0.04559098126357853,False,0.0
1992,0.03497469072226008,0.03725816473830292,False,0.0
1993,0.036040554841900344,0.0415822075764195,False,0.0
1994,0.03661854649745688,0.03665157356868628,False,0.0
1995,0.021684844904713504,0.0,False,0.0
1996,0.025742109285722042,0.03205303542965757,False,0.0
1997,0.0281149934956472,0.0,False,0.0
1998,0.03150388621955396,0.03010012021628289,False,0.0
1999,0.0,0.0,False,0.0
2000,0.03915588817024446,0.03971736529419506,True,0.0005614771239506045
2001,0.0,0.0,False,0.0
2002,0.02692447599468005,0.025618822794123502,True,-0.0013056532005565474
2003,0.0,0.0,False,0.0
2004,0.04455623247520958,0.04283741455382919,True,-0.001718817921380393
2005,0.0,0.0,False,0.0
2006,0.030154786265090897,0.029054712378694295,True,-0.001100073886396602
2007,0.0,0.0,False,0.0
2008,0.03340174403912718,0.03346609465761871,True,6.43506184915335e-05
2009,0.0,0.0,False,0.0
2010,0.03968419769581852,0.038838073552797475,True,-0.0008461241430210431
2011,0.0,0.0,False,0.0
2012,0.0423715096219783,0.03921396125041569,True,-0.00315754837156261
2013,0.0,0.0,False,0.0
2014,0.03487774392020205,0.03391592074172866,True,-0.0009618231784733894
2015,0.0,0.0,False,0.0
2016,0.03449295358491831,0.03506041067627856,True,0.0005674570913602531
2017,0.0,0.0,False,0.0
2018,0.029055570112390867,0.0,True,-0.029055570112390867
2019,0.0,0.0,False,0.0
