source,age,mean_m,share_m_pos,mean_m_given_n_pos,share_m0,share_m1,share_m2,share_m3plus,total_mass,mean_m_under18_lb,mixed_family_share
model,18.0,0.2705219299346447,0.2705219299346447,1.0,0.7294780700653553,0.2705219299346447,0.0,0.0,0.0617334561808493,,
model,22.0,0.5826653607321929,0.4679799549062452,1.2450647824198444,0.5320200450937547,0.35329454908029767,0.1146854058259476,0.0,0.06173345618083807,,
model,26.0,0.897233324666864,0.6030072221690697,1.4758172125947215,0.3969927778309303,0.3384428765582959,0.23490258872375325,0.029661756887020517,0.06173345618082491,,
model,30.0,1.1795928040261419,0.6847678098688476,1.6998208405613333,0.3152321901311524,0.279745102422211,0.3152204207359786,0.08980228671065786,0.061733456180811316,,
model,34.0,1.408720907888087,0.7310668813219179,1.8968170231927326,0.2689331186780822,0.22087026437790974,0.34273920732184693,0.16745740962216113,0.06173345618079605,,
model,38.0,1.5718524091328439,0.7574746778183634,2.0392774816519323,0.2425253221816367,0.18505941734249742,0.3304527896372514,0.24196247083861455,0.06173345618077922,,
model,42.0,1.463986324412042,0.7510023803700333,1.8537677850129786,0.2489976196299668,0.2322245505116223,0.32457171567481324,0.1942061141835977,0.06173345618075968,,
model,46.0,1.0394489915811604,0.6542015251623959,1.3161988077527087,0.3457984748376042,0.3373215034248521,0.24851257705632301,0.06836744468122082,0.0617334561807489,,
model,50.0,0.5642723097155452,0.4415319692215388,0.7145079242086998,0.5584680307784612,0.3297288253005604,0.1008659473479504,0.010937196573028019,0.061733456180738194,,
model,54.0,0.2297394403842139,0.2083184956810896,0.29090679771356415,0.7916815043189103,0.18763570412845695,0.019944638402140936,0.0007381531504916781,0.06173345618072158,,
model,58.0,0.062357848104268906,0.060740071397850544,0.0789604165222285,0.9392599286021496,0.05913705560239201,0.0015882548844986999,1.4760910959828405e-05,0.061733456180706275,,
model,62.0,0.008462850814114667,0.008432819033468264,0.010716056527970383,0.9915671809665317,0.008402824149719917,2.995798685028852e-05,3.689689805873879e-08,0.061733456180688984,,
model,66.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.061733456180663664,,
model,70.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.05797551268244057,,
model,74.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.05325037124757673,,
model,78.0,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.04712403280194579,,
model,82.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0391151529178662,,
acs_2005_2006,18.0,0.32673026134779565,0.2416494474158918,1.3520836270958863,0.7583505525841082,0.17317972218987168,0.05472543199001987,0.01374429323600028,3932614.0,0.32653926441655257,8.72193406217849e-05
acs_2005_2006,22.0,0.5461287711827948,0.3349129990406142,1.6306586270082841,0.6650870009593858,0.18111345349049457,0.10855807797673124,0.04524146757338845,10529654.0,0.5460364743477355,2.858593454257851e-05
acs_2005_2006,26.0,0.896027831214829,0.47579957210406143,1.883204365343271,0.5242004278959386,0.19874968087592815,0.17240042430017438,0.10464946692795886,13905250.0,0.8958515314624793,7.781233706693515e-05
acs_2005_2006,30.0,1.175927355006756,0.5817930497581439,2.02121244916143,0.41820695024185606,0.2022101672522588,0.22749309968877066,0.1520897828171145,14992802.0,1.168583236609389,0.003498212008669227
acs_2005_2006,34.0,1.4372364541108975,0.6695312473139722,2.146630885230238,0.3304687526860278,0.1903461724031626,0.2800590439058827,0.19912603100492682,17451420.0,1.3877410946584554,0.02894601127014306
acs_2005_2006,38.0,1.4478058148459854,0.6828289299940836,2.1203053228259234,0.3171710700059163,0.1970959667199443,0.29155357781420455,0.19417938545993482,18202133.0,1.318676597070136,0.0820560425528151
acs_2005_2006,42.0,1.290849056844666,0.647116946394823,1.994769359751993,0.35288305360517697,0.22340748362919502,0.2691307317719412,0.1545787309936868,19972903.0,1.0808757845609942,0.1136358595443036
acs_2005_2006,46.0,1.0255440172205834,0.5628209100292295,1.822149815235761,0.43717908997077043,0.24467821804089307,0.2153158687696848,0.10282682321865169,19769365.0,0.7055834088764731,0.11559926178711355
acs_2005_2006,50.0,0.7222972246971449,0.4425905859039921,1.6319760241213705,0.557409414096008,0.24320152279363658,0.14274234774427064,0.05664671536608486,18511241.0,0.3578668484757942,0.07866020435907026
acs_2005_2006,54.0,0.4650962422422295,0.31543323172268245,1.4744681139085731,0.6845667682773175,0.20443298766947957,0.0829142189678053,0.02808602508539757,16627522.0,0.14788598490733768,0.038038740829812165
acs_2005_2006,58.0,0.29816138445278406,0.22008231031751915,1.3547721487593345,0.7799176896824809,0.1613772634395025,0.045015138805304035,0.013689908072712613,14326758.0,0.06076943508578482,0.01542260991635372
acs_2005_2006,62.0,0.20970291596714327,0.16441236785221272,1.2754692284198559,0.8355876321477873,0.1294626554722668,0.027297088843332835,0.007652623536613082,11849139.0,0.025276890266623327,0.006034953256941285
acs_2005_2006,66.0,0.16888235882511696,0.1387791632669024,1.2169143756856322,0.8612208367330976,0.11477646065091357,0.019528329761090677,0.004474372854898166,9537426.0,0.012336375871583902,0.0027110039962564324
acs_2005_2006,70.0,0.15675638524533828,0.13019538595201968,1.2040087603650333,0.8698046140479804,0.1091190097296459,0.017093700784163758,0.003982675438210023,8511615.0,0.0056205259168919264,0.0019119755769028558
acs_2005_2006,74.0,0.13863015776219711,0.11867673126080211,1.1681325925428943,0.8813232687391979,0.1020906255825637,0.013943233414115498,0.0026428722641229237,7912225.0,0.002880034801970776,0.0007793003864273324
acs_2005_2006,78.0,0.12524836560345298,0.10954693007347675,1.1433306758979438,0.8904530699265233,0.09653965203282604,0.010916190535877805,0.0020910875047729137,6893064.0,0.0013688436217421196,0.0006331001714186898
acs_2005_2006,82.0,0.11401386593197613,0.10152879388388843,1.1229707511581988,0.8984712061161115,0.0911482607912224,0.00875864183133891,0.0016218912613271076,5127964.0,0.0005419505054697299,0.00021314502207893816
