arm,observations,clusters,headline,headline_effect,headline_se,reference_mean_rooms,dropped_unsupported_rows,dropped_cohorts,runtime_seconds,Dp1_estimate,Dp1_se,Dp3_estimate,Dp3_se,Dp5_estimate,Dp5_se,L0event_estimate,L0event_se,L2event_estimate,L2event_se,L3event_estimate,L3event_se,L4event_estimate,L4event_se,L6event_estimate,L6event_se,L8event_estimate,L8event_se
window_original,315737,34191,Dp3,.7855117811555358,.1335777668516965,6.075493612078978,30132,1968 1969 1970 1971 1978,488.907,0.5815289914235967,0.12965256382185622,0.7855117811555358,0.13357776685169653,1.023177125904209,0.1376245002644878,,,,,,,,,,,,
window_aligned,315737,34191,Dp3,.6020209064756872,.1259454434227076,5.98586914440573,30132,1968 1969 1970 1971 1978,413.381,0.5758678560263571,0.1244948434921961,0.6020209064756872,0.12594544342270744,1.066596285509017,0.13493589473598158,,,,,,,,,,,,
m2only_original,285155,30430,L4event,.8036822056423966,.1849973934394908,6.05475352112676,61128,1968 1969 1970 1971 1977 1978 2000 2002 2004 2006 2008 2010 2012 2014 2016 2018,673.722,,,,,,,0.1653383164701482,0.16325312448724527,0.5767335051855603,0.18222995526506255,0.3952918390621131,0.19716698394832943,0.8036822056423966,0.18499739343949093,1.110055556909161,0.1912973529707923,1.120543219791429,0.18844355597682427
m2only_aligned,285155,30430,L4event,.5581123787482443,.1797753502135073,5.971654929577465,61128,1968 1969 1970 1971 1977 1978 2000 2002 2004 2006 2008 2010 2012 2014 2016 2018,1189.394,,,,,,,-0.0116486750096268,0.1595130548451176,0.5820949840596704,0.1803319067504614,0.6628374873854531,0.17602538236803095,0.5581123787482443,0.1797753502135073,1.126694268067234,0.18826586323531305,0.9560112129418773,0.18476546207647576
