comparison,baseline_psi_fixed,maturation_parent_age_psi_fixed,maturation_minus_baseline
completed fertility,1.8716967965541613,0.48973225294828404,-1.3819645436058772
childless share,0.23864796220381773,0.8345113235699619,0.5958633613661442
mean first-birth age,26.961301717719493,21.1915789538119,-5.769722763907595
first births at 30+,0.2847318915187781,0.015046025055770441,-0.26968586646300763
ownership 30-55,0.4585114458052157,0.5096842977682113,0.05117285196299565
mean rooms,5.718008956868935,5.413730134297425,-0.3042788225715105
first-birth rooms response,1.0718935621674928,0.25733746339627483,-0.8145560987712179
three-plus versus one-to-two rooms gap,0.30802571534725054,-0.18560304370522118,-0.4936287590524717
price (solved _solved_price),0.7906311512224447,0.7663050208201695,-0.02432613040227516
orphan flow (dependents lost at parental death per period),not exposed by diagnostics,not exposed by diagnostics,n/a
