coefficient,estimate,standard_error
Wleft,-.6803869325667319,.12922506
Wm2,-.5028086331775031,.091787755
Wm1,-.258954917491469,.057203155
Wp1,-.834509033740321,.063613318
Wp2,-.6490160488964423,.069501936
Wp3,-.3831536427472685,.075945891
Wp4,-.1211416597415211,.079948366
Wp5,.0321904135374759,.087469578
Wp6,.1392917613418138,.093629785
Wright,.0883600640022399,.10921548
