age_node,household_mass,owner_rate,mean_rooms
18.0,0.014337122049138173,0.056293496989131886,4.121628528054895
22.0,0.04474122812785562,0.15188914860166708,4.578201531537961
26.0,0.06510271539525012,0.2296867741852574,5.062466576689196
30.0,0.07781168019048536,0.3286255178674461,5.401745503147842
34.0,0.08156435185024946,0.42144584130458246,5.7253046093988695
38.0,0.08281187458054425,0.5184675718636843,5.983500867299879
42.0,0.08147983007376557,0.6072172271374401,6.204026279955717
46.0,0.07516298442005868,0.6743426354663995,6.376359557544176
50.0,0.08066019718384483,0.7249655574504129,6.518449017589282
54.0,0.07858640289690812,0.7705459750683313,6.653999439004464
58.0,0.08646102535791693,0.8124704781478115,6.777151714782958
62.0,0.08806977795654357,0.8445504589011241,6.884895177367015
66.0,0.08000900833911483,0.8659089829211039,7.018688028246868
70.0,0.06962757948605303,0.8813980633455005,7.105022029863532
74.0,0.05717549494545858,0.9636874941811499,7.1806666830321655
78.0,0.03952768832536228,0.9914929072718823,7.213730186778851
82.0,0.026118710068931447,0.9965018935758765,7.225597175974406
