moment,parameter,derivative_per_unit_coordinate,method,unit_denominator
young_childless_renter_liquid_wealth_to_annual_gross_income_2535,h_bar_0,0.3309067987049996,backward_strict_side,0.005
prime30_55_childless_owner_minus_renter_mean_rooms,h_bar_0,0.06455586156839388,backward_strict_side,0.005
own_rate_2534,h_bar_0,-0.16877797630261426,backward_strict_side,0.005
prime30_55_parent_3plus_minus_1to2_mean_rooms,h_bar_0,0.6740443072176916,backward_strict_side,0.005
old_total_estate_wealth_to_annual_income_median_7684,h_bar_0,0.7802269446697707,backward_strict_side,0.005
old_nonhousing_ge_1x_income_share_6575,h_bar_0,-0.12644374669354974,backward_strict_side,0.005
old_age_own_rate,h_bar_0,-0.040245691470963685,backward_strict_side,0.005
aggregate_mean_occupied_rooms_18_85,h_bar_0,0.7368441545773763,backward_strict_side,0.005
tfr,h_bar_jump,-1.2733417605247155,forward_strict_side,0.005
childless_rate,h_bar_jump,0.3714337669822543,forward_strict_side,0.005
own_rate,h_bar_jump,-0.42747062308232664,forward_strict_side,0.005
own_family_gap,h_bar_jump,0.563693976801094,forward_strict_side,0.005
housing_increment_0to1,h_bar_jump,4.175759476449059,forward_strict_side,0.005
prime30_55_childless_renter_mean_rooms,h_bar_jump,0.21485394321549833,forward_strict_side,0.005
prime30_55_childless_owner_share_rooms_ge6,h_bar_jump,0.014463437280021196,forward_strict_side,0.005
young_childless_renter_liquid_wealth_to_annual_gross_income_2535,h_bar_jump,1.5330162520064028,forward_strict_side,0.005
prime30_55_childless_owner_minus_renter_mean_rooms,h_bar_jump,1.205218975235045,forward_strict_side,0.005
own_rate_2534,h_bar_jump,-0.5758425914925924,forward_strict_side,0.005
prime30_55_parent_3plus_minus_1to2_mean_rooms,h_bar_jump,1.3237480948490088,forward_strict_side,0.005
old_total_estate_wealth_to_annual_income_median_7684,h_bar_jump,-6.667783671896288,forward_strict_side,0.005
old_nonhousing_ge_1x_income_share_6575,h_bar_jump,-0.010858307178507332,forward_strict_side,0.005
old_age_own_rate,h_bar_jump,-0.09220429379011019,forward_strict_side,0.005
aggregate_mean_occupied_rooms_18_85,h_bar_jump,0.8713574694658277,forward_strict_side,0.005
tfr,h_bar_n,-0.25949062318835203,central,0.01
childless_rate,h_bar_n,0.06307473747639847,central,0.01
own_rate,h_bar_n,-0.07054596251587775,central,0.01
own_family_gap,h_bar_n,0.2546438319907529,central,0.01
housing_increment_0to1,h_bar_n,0.7494085254634242,central,0.01
prime30_55_childless_renter_mean_rooms,h_bar_n,-0.3587309719159215,central,0.01
prime30_55_childless_owner_share_rooms_ge6,h_bar_n,0.1880438123719741,central,0.01
young_childless_renter_liquid_wealth_to_annual_gross_income_2535,h_bar_n,0.6533898091197976,central,0.01
prime30_55_childless_owner_minus_renter_mean_rooms,h_bar_n,1.0610104888992389,central,0.01
own_rate_2534,h_bar_n,-0.2726699921452136,central,0.01
prime30_55_parent_3plus_minus_1to2_mean_rooms,h_bar_n,1.3497669816269209,central,0.01
old_total_estate_wealth_to_annual_income_median_7684,h_bar_n,-3.692766393321101,central,0.01
old_nonhousing_ge_1x_income_share_6575,h_bar_n,-0.012019085477965596,central,0.01
old_age_own_rate,h_bar_n,-0.0255818485685122,central,0.01
aggregate_mean_occupied_rooms_18_85,h_bar_n,0.24220603485467507,central,0.01
tfr,psi_child,4.616583912364414,central,0.01
childless_rate,psi_child,-1.1078686775448514,central,0.01
own_rate,psi_child,-0.44294250149868875,central,0.01
own_family_gap,psi_child,0.9900479267340612,central,0.01
housing_increment_0to1,psi_child,1.0507539675949862,central,0.01
prime30_55_childless_renter_mean_rooms,psi_child,-1.701152437564657,central,0.01
prime30_55_childless_owner_share_rooms_ge6,psi_child,0.571411966618729,central,0.01
young_childless_renter_liquid_wealth_to_annual_gross_income_2535,psi_child,2.5682861990609873,central,0.01
prime30_55_childless_owner_minus_renter_mean_rooms,psi_child,3.59297702512662,central,0.01
own_rate_2534,psi_child,-0.625067734658924,central,0.01
prime30_55_parent_3plus_minus_1to2_mean_rooms,psi_child,0.433140803987353,central,0.01
old_total_estate_wealth_to_annual_income_median_7684,psi_child,3.859833628389353,central,0.01
old_nonhousing_ge_1x_income_share_6575,psi_child,0.10000573491172338,central,0.01
old_age_own_rate,psi_child,-0.07935759719379654,central,0.01
aggregate_mean_occupied_rooms_18_85,psi_child,-0.09081557805759033,central,0.01
tfr,kappa_fert,1.6474668936775405,central,0.01
childless_rate,kappa_fert,-0.635308108706556,central,0.01
own_rate,kappa_fert,-0.39531942803119335,central,0.01
own_family_gap,kappa_fert,0.14070143350961017,central,0.01
housing_increment_0to1,kappa_fert,1.2379159587234456,central,0.01
prime30_55_childless_renter_mean_rooms,kappa_fert,-1.2918660278899097,central,0.01
prime30_55_childless_owner_share_rooms_ge6,kappa_fert,0.9379119224004695,central,0.01
young_childless_renter_liquid_wealth_to_annual_gross_income_2535,kappa_fert,3.890520626443017,central,0.01
prime30_55_childless_owner_minus_renter_mean_rooms,kappa_fert,4.205958312231317,central,0.01
own_rate_2534,kappa_fert,-0.8439929249467182,central,0.01
