parameter,scaling,column_norm,top_moment_1,top_abs_loading_1,top_moment_2,top_abs_loading_2,top_moment_3,top_abs_loading_3
chi,target_scaled,190.925899987364,young_childless_renter_liquid_wealth_to_annual_gross_income_2535,183.2090834309945,own_rate_2534,44.53657826217156,own_rate,22.448165967882304
chi,smm_weighted,336.19918291772245,old_nonhousing_ge_1x_income_share_6575,236.9295461688719,own_rate_2534,135.90257917537298,own_rate,129.18300169617214
H0,target_scaled,17.258312749074527,prime30_55_parent_3plus_minus_1to2_mean_rooms,12.411354022105696,young_childless_renter_liquid_wealth_to_annual_gross_income_2535,9.958587621719653,own_family_gap,3.015852944560587
H0,smm_weighted,43.164555933995416,aggregate_mean_occupied_rooms_18_85,26.314387414115117,prime30_55_childless_renter_mean_rooms,19.294935193981093,old_nonhousing_ge_1x_income_share_6575,13.932110130238659
theta0,target_scaled,0.8207140535800598,old_total_estate_wealth_to_annual_income_median_7684,0.6468125030626496,young_childless_renter_liquid_wealth_to_annual_gross_income_2535,0.4392706408443862,prime30_55_parent_3plus_minus_1to2_mean_rooms,0.15408268544871878
theta0,smm_weighted,18.195680703176848,old_total_estate_wealth_to_annual_income_median_7684,18.128835790760363,old_nonhousing_ge_1x_income_share_6575,1.0271439995275682,old_age_own_rate,0.7460107080791282
theta1,target_scaled,3.6323038687135036,young_childless_renter_liquid_wealth_to_annual_gross_income_2535,2.990397320731958,old_total_estate_wealth_to_annual_income_median_7684,1.236705251172142,own_family_gap,0.930047349317943
theta1,smm_weighted,35.23084127318014,old_total_estate_wealth_to_annual_income_median_7684,34.662326893670496,prime30_55_childless_owner_minus_renter_mean_rooms,4.63414751468708,young_childless_renter_liquid_wealth_to_annual_gross_income_2535,1.8566047788735152
tenure_choice_kappa,target_scaled,5.071538785802558,young_childless_renter_liquid_wealth_to_annual_gross_income_2535,3.0640583415881033,prime30_55_parent_3plus_minus_1to2_mean_rooms,2.909181526931389,own_family_gap,2.3056690701095466
tenure_choice_kappa,smm_weighted,24.51434352983395,old_total_estate_wealth_to_annual_income_median_7684,18.173841571337135,old_nonhousing_ge_1x_income_share_6575,11.258683645554617,prime30_55_childless_owner_minus_renter_mean_rooms,9.571131329692484
