dropped_moment,scaling,rank_rel_1e_2,rank_rel_1e_3,condition_number,smallest_singular_value,smallest_relative_singular_value
tfr,target_scaled,8,11,6128.520024060171,0.03175914415792373,0.00016317153180116326
tfr,smm_weighted,8,12,3446.23800364154,0.15580437111917764,0.0002901714852379113
childless_rate,target_scaled,7,11,7126.963004234822,0.02730982590656634,0.00014031221986220537
childless_rate,smm_weighted,9,12,4451.939339522397,0.12063518935103403,0.00022462120971021132
own_rate,target_scaled,8,11,7185.503092016269,0.026908812769953733,0.00013916910022780294
own_rate,smm_weighted,9,12,3060.404367006216,0.1738095616339827,0.00032675420633327334
own_family_gap,target_scaled,8,11,11083.511458765814,0.01754331765717497,9.022411387585224e-05
own_family_gap,smm_weighted,9,11,5953.287359310177,0.09021378826545416,0.00016797442146583574
housing_increment_0to1,target_scaled,7,11,13639.73173378305,0.014247774098580806,7.331522492654222e-05
housing_increment_0to1,smm_weighted,8,12,7926.711825588692,0.06769567544029347,0.00012615571525785007
prime30_55_childless_renter_mean_rooms,target_scaled,8,11,6671.453241103131,0.02916213490312226,0.00014989237934532072
prime30_55_childless_renter_mean_rooms,smm_weighted,9,11,3804.8548896536226,0.14112746598551343,0.00026282211253818294
prime30_55_childless_owner_share_rooms_ge6,target_scaled,8,11,8933.546426918532,0.02174675575303963,0.00011193762837419229
prime30_55_childless_owner_share_rooms_ge6,smm_weighted,9,12,4367.397775481791,0.12296292510929523,0.00022896929737289268
young_childless_renter_liquid_wealth_to_annual_gross_income_2535,target_scaled,9,11,5622.770142468976,0.009635175632332748,0.00017784828023592245
young_childless_renter_liquid_wealth_to_annual_gross_income_2535,smm_weighted,8,11,12274.09618990792,0.04347501884398635,8.147239393660822e-05
prime30_55_childless_owner_minus_renter_mean_rooms,target_scaled,8,11,15909.986469836429,0.012230394279223844,6.285360467753315e-05
prime30_55_childless_owner_minus_renter_mean_rooms,smm_weighted,9,11,10129.96539962033,0.05301661381379039,9.871702030072875e-05
own_rate_2534,target_scaled,8,11,8880.916043048084,0.021334982737511693,0.00011260099691886995
own_rate_2534,smm_weighted,9,12,4124.98632499036,0.12894858448799001,0.00024242504610056786
prime30_55_parent_3plus_minus_1to2_mean_rooms,target_scaled,8,11,342893.7671390659,0.000567593979872644,2.916355139212648e-06
prime30_55_parent_3plus_minus_1to2_mean_rooms,smm_weighted,9,11,200138.2281565879,0.0026833619883287383,4.996546682813646e-06
old_total_estate_wealth_to_annual_income_median_7684,target_scaled,8,10,28996.6059819837,0.00671233905336855,3.448679478630445e-05
old_total_estate_wealth_to_annual_income_median_7684,smm_weighted,8,12,16705.48064634236,0.03191798513514757,5.9860594326506174e-05
old_nonhousing_ge_1x_income_share_6575,target_scaled,7,11,10099.77919397113,0.019267219924959892,9.901206559019932e-05
old_nonhousing_ge_1x_income_share_6575,smm_weighted,8,12,2294.2419688686864,0.10458180863710066,0.00043587381521623456
old_age_own_rate,target_scaled,8,11,161112.59717494532,0.0012077925828418686,6.206839300803664e-06
old_age_own_rate,smm_weighted,9,12,94174.01960563744,0.005697483443178372,1.0618639877405616e-05
aggregate_mean_occupied_rooms_18_85,target_scaled,8,11,15336.46185502867,0.012691095068417563,6.520408745202924e-05
aggregate_mean_occupied_rooms_18_85,smm_weighted,9,11,9776.750742159025,0.054856699037412346,0.00010228347089670892
