index,case_id,smoke_reuse,proposal_contract_sha256,actual_executed_contract_sha256,stationary_solves,elapsed_seconds,runtime_scope,market_residual,parameter.beta_annual,parameter.kappa_fert,parameter.kappa_fert_continuation,parameter.chi,parameter.H0,parameter.theta0,parameter.theta1,parameter.first_birth_fixed_cost,parameter.h_P,parameter.hbar_child_rooms,parameter.psi_child,parameter.payroll_tax,parameter.pension_period,parameter.housing_supply_elasticity,parameter.tenure_choice_kappa,parameter.alpha_cons,parameter.sigma,normalization.absolute_gap,normalization.completed_fertility,normalization.psi_child,normalization.stationary_solve_seconds,normalization.stationary_solves,normalization.status,normalization.target,fertility.constant_post_cell.childless_rate_40_44,fertility.constant_post_cell.exactly_one_among_mothers_40_44,fertility.constant_post_cell.period_mean_age_first_birth,fertility.constant_post_cell.period_share_first_births_age30plus,fertility.uniform_birth_time.childless_rate_40_44,fertility.uniform_birth_time.exactly_one_among_mothers_40_44,fertility.uniform_birth_time.period_mean_age_first_birth,fertility.uniform_birth_time.period_share_first_births_age30plus,housing_wealth.aggregate_mean_occupied_rooms_capped9_18_85,housing_wealth.aggregate_wealth_to_annual_gross_labor_earnings,housing_wealth.annual_bequest_flow_to_aggregate_wealth,housing_wealth.housing_increment_0to1,housing_wealth.old_total_wealth_to_annual_income_median_7684,housing_wealth.old_total_wealth_to_annual_income_p90_p50_7684,housing_wealth.own_rate_25_34,housing_wealth.own_rate_30_55,housing_wealth.prime30_55_model_dependent_3plus_minus_1to2_rooms_capped9,housing_wealth.recent_parent_minus_no_resident_child_ownership_30_55
0,joint_00_analysis_01,False,7d7a5a1fe482a2e529954b8de189e36ede89dddc52d4dfeca8f46e17b7d6fb57,7d7a5a1fe482a2e529954b8de189e36ede89dddc52d4dfeca8f46e17b7d6fb57,4,401.6572125442326,one fresh case,1.1456454943508335e-05,0.9952209126160599,1.6885748608006017,1.3790775191734086,1.0678839950121868,7.059269165112304,0.44418894112730545,0.11491494297451163,3.6781815672731324,0.9204536312929574,0.0,0.2843739083861604,0.179,2.0463613896121218,0.63,0.005,0.733,2.0,2.5015593926536184e-05,2.1000250155939266,0.2843739083861604,385.8501660628244,4,derived_intercept,2.1,0.1772239082082399,0.2027657389539809,26.61697868522268,0.2663377001655635,0.1904711539278025,0.2251295286662754,26.61697868522268,0.2663377001655635,5.760000696668615,5.943277338636173,0.01142833278049307,0.5660766364081455,5.776298800548992,3.951283078062748,0.29999740571959227,0.5643213265046371,0.2056463769587058,
2,joint_02_analysis_04,False,eae40d795003f340950f8423fbb1f58155878c9776f94b62a8876217213a3416,eae40d795003f340950f8423fbb1f58155878c9776f94b62a8876217213a3416,4,386.39377416390926,one fresh case,9.468479450294504e-06,0.9953218417836417,1.9652340584177022,1.601835044143733,1.063502586152088,7.211921453369986,0.45707026767015313,0.10497860023467566,4.33065498312363,0.8880453056754104,0.0,0.30178233591076636,0.179,2.0463613896121218,0.63,0.005,0.733,2.0,5.201018994061002e-05,2.1000520101899407,0.30178233591076636,369.7534616952762,4,derived_intercept,2.1,0.17483731736801902,0.2041370907540029,26.601144206695423,0.2656134511868829,0.1880503415241589,0.22678457035424976,26.601144206695423,0.2656134511868829,5.815640166332708,5.978348957743462,0.011548270109855294,0.5494583588185167,5.844290150843049,3.9548586342336107,0.2942297902194666,0.5588924093337515,0.19213135201644604,
3,joint_03_analysis_05,False,d24d986ae3ea7ccd4a40ac63edeee864c0a9ed87c0dc9d622357f354982a7372,d24d986ae3ea7ccd4a40ac63edeee864c0a9ed87c0dc9d622357f354982a7372,4,456.94467897340655,one fresh case,1.5061675687730561e-05,0.9953666717387103,1.781289977530831,1.4490163370915787,1.0733688437354463,6.1663037952266055,0.36628959375765024,0.10624842617833354,4.0596673321820065,1.10012478930874,0.0,0.32806249617965494,0.179,2.0463613896121218,0.63,0.005,0.733,2.0,0.00032775506124016474,2.1003277550612403,0.32806249617965494,441.3771972749382,4,derived_intercept,2.1,0.18559038080526252,0.1954812084482506,26.595899287526557,0.2646042384585819,0.19869575500769163,0.2170177018306437,26.595899287526557,0.2646042384585819,5.415551670218583,5.863790009844994,0.01077835092114174,0.6907493600549737,5.366947006622259,4.1135293725353055,0.2787170502326368,0.5462776986776369,0.20243893210362618,
4,joint_04_analysis_10,False,70766cafcd9031cc8420046f122cd635aad2c4ed67bb750245d75d12fbf07680,70766cafcd9031cc8420046f122cd635aad2c4ed67bb750245d75d12fbf07680,4,388.8078464558348,one fresh case,1.2689172275221202e-05,0.9951104769537692,1.6885748608006017,1.3790775191734044,1.0683750930645286,7.0296374886452275,0.44418894112730545,0.11486471538062105,3.6298040224557004,0.9204536312929574,0.0,0.28187928998080236,0.179,2.0463613896121218,0.63,0.005,0.733,2.0,1.2970879295970406e-05,2.100012970879296,0.28187928998080236,372.25180295854807,4,derived_intercept,2.1,0.17620526454663837,0.203794540202081,26.626457565947153,0.2669596662870088,0.18949519769243228,0.2262340887789195,26.626457565947153,0.2669596662870088,5.748091641820198,5.929930572280868,0.011431303741232772,0.5661499192544328,5.687142763138108,4.021390589245208,0.3001629838502044,0.5642874544222894,0.20609866568203472,
5,joint_05_analysis_11,False,5a7c26bd844f14177b520a679c468df1ffc39689d89c18355a670f0a1c589da6,5a7c26bd844f14177b520a679c468df1ffc39689d89c18355a670f0a1c589da6,4,520.0895336307585,one fresh case,1.937393598364117e-05,0.9949385485791873,1.3150634238661971,1.0740266518484178,1.0832267941842728,5.858531914224125,0.34593469518160364,0.12720208557780383,2.85200072177946,1.1818858574626845,0.0,0.2917200806630695,0.179,2.0463613896121218,0.63,0.005,0.733,2.0,7.045387555271176e-05,2.100070453875553,0.2917200806630695,503.9635597849265,4,derived_intercept,2.1,0.192839571752967,0.1903981304701139,26.603304448534917,0.2643637998267307,0.20584819716670616,0.2111425255077354,26.603304448534917,0.2643637998267307,5.287261756963286,5.772082166716674,0.010573685160784756,0.7281510045882573,5.160531224097292,4.184435418985949,0.2834664877965949,0.5582481145917356,0.23434187616558866,
6,joint_06_analysis_13,False,535c8f909a27cf5cfb4d17f986ca6b121058ae1de4c178ced3e947ec6686122b,535c8f909a27cf5cfb4d17f986ca6b121058ae1de4c178ced3e947ec6686122b,4,402.89698706381023,one fresh case,1.2118771274447996e-05,0.9952895455644405,1.9789616390049722,1.6024860768026412,1.063647579446983,7.20631021430662,0.4575481081401139,0.10498179808997932,4.300521327486604,0.8886744138343807,0.0,0.30097237970803165,0.179,2.0463613896121218,0.63,0.005,0.733,2.0,4.627471617535406e-05,2.1000462747161754,0.30097237970803165,386.9128153305501,4,derived_intercept,2.1,0.174063065165979,0.20505128514555374,26.62340634403822,0.2669894709174575,0.18737402907189776,0.22773713973212986,26.62340634403822,0.2669894709174575,5.813516361349638,5.975433072865464,0.0115515763552225,0.5496221308708815,5.8512312566328735,3.9516499574434993,0.2943752608948702,0.5590157761591833,0.1926619833509431,
7,joint_07_analysis_14,False,a3b143a6223f959f59d2a2404c824ecd14fac787949863c7b5093fe10baa78f7,a3b143a6223f959f59d2a2404c824ecd14fac787949863c7b5093fe10baa78f7,4,610.5018504681066,one fresh case,1.7619166826336926e-06,0.9953024765136501,1.8062622760089606,1.45019442177156,1.07366154052126,6.156712136624345,0.36705586316880773,0.10625489935033974,4.003367761260994,1.1016840399999248,0.0,0.32657039567546886,0.179,2.0463613896121218,0.63,0.005,0.733,2.0,0.0002890800721524478,2.1002890800721525,0.32657039567546886,589.6555668776855,4,derived_intercept,2.1,0.18395803401873312,0.19745057238252758,26.643340562480024,0.26753771881226196,0.1972746260886518,0.2190652233963177,26.643340562480024,0.26753771881226196,5.4116972551694635,5.858263687201816,0.010784109617996343,0.6914081642327661,5.312384418827419,4.1595955327154694,0.27890786135649037,0.5462712500865717,0.20448347574349057,
8,joint_08_analysis_19,False,5ebad0e73ffd4d5756cd99b5c45fd5dae9895f02eee795e90934c0b3ee582cc8,5ebad0e73ffd4d5756cd99b5c45fd5dae9895f02eee795e90934c0b3ee582cc8,4,468.3287714160979,one fresh case,7.004660600206679e-06,0.9951658102665542,1.6885748608006017,1.3790775191734908,1.0681308253509394,7.044266900269933,0.44418894112730545,0.11488951580826193,3.6543385828551034,0.9204536312929574,0.0,0.2833285668649932,0.179,2.0463613896121218,0.63,0.005,0.733,2.0,0.00046327550979397003,2.100463275509794,0.2833285668649932,447.3034597374499,4,derived_intercept,2.1,0.17662373853317642,0.20319376320648974,26.620591669905362,0.2665817168982394,0.1898869486637811,0.2255931432727871,26.620591669905362,0.2665817168982394,5.754009156576692,5.936558205965387,0.011430058191936095,0.566153630583516,5.795098300828609,3.9425200218823018,0.3000724141629131,0.5642891738579959,0.20584902601798216,
9,joint_09_analysis_20,False,c32731d38e7ab60833aa2afb1a6b616647109bd1dbd4885c78aa424b31c895f8,c32731d38e7ab60833aa2afb1a6b616647109bd1dbd4885c78aa424b31c895f8,4,712.0655638473108,one fresh case,4.991875215594387e-08,0.9950524502530792,1.3150634238661971,1.0740266518485524,1.0827315241504547,5.882941724123531,0.34593469518160364,0.12725701988326887,2.8906854897573093,1.1818858574626845,0.0,0.2935072825668141,0.179,2.0463613896121218,0.63,0.005,0.733,2.0,6.035869039422437e-05,2.1000603586903943,0.2935072825668141,691.2855514911935,4,derived_intercept,2.1,0.19377600937537873,0.18943112242950538,26.593520621289485,0.26372290941463716,0.2067380017736421,0.21011069446171596,26.593520621289485,0.26372290941463716,5.298436039745623,5.785396391842479,0.010566987964224063,0.7300966783012557,5.128715523940602,4.213418357973539,0.2832842725350403,0.5581664256364014,0.23206036934354213,
10,joint_10_analysis_22,False,a29789e34f989fadaf94aba6f7e3222acb6b527801507561c6f84084820c8f6f,a29789e34f989fadaf94aba6f7e3222acb6b527801507561c6f84084820c8f6f,4,469.2416810132563,one fresh case,1.0987387559032864e-05,0.995305772243352,1.9722193657107427,1.6020866402043967,1.0635746344349357,7.209160237913453,0.45730940240514395,0.10498019333868969,4.3155347281997445,0.8883568807662859,0.0,0.3013945908421112,0.179,2.0463613896121218,0.63,0.005,0.733,2.0,4.915962297014076e-05,2.1000491596229702,0.3013945908421112,448.10439478233457,4,derived_intercept,2.1,0.17445015415987317,0.20459750373258234,26.612585299624193,0.26631999580233484,0.18771347364098523,0.22726370211427568,26.612585299624193,0.26631999580233484,5.8145967360989745,5.97691301531091,0.01154990868704318,0.549528921081115,5.84770662539867,3.9532783427976015,0.29430314178619404,0.558955945209345,0.19240182308110665,
