restriction_id,label,projection,target,baseline_model,baseline_gap,smoke_model,smoke_gap,model_change,actual_weight,loss_contribution,model_observation
initial_normalization,Initial model completed fertility,uniform_birth_time,2.1,2.100032862890971,3.286289097070849e-05,2.1002765175331177,0.00027651753311763727,0.00024365464214692878,,,final.normalization.completed_fertility
cps_childlessness,"Childless women, ages 40–44",uniform_birth_time,0.19827875100684264,0.18058501851824132,-0.017693732488601316,0.2050848716165407,0.006806120609698069,0.024499853098299385,,,fertility.uniform_birth_time.moments.childless_rate_40_44
cps_exactly_one,"Exactly one child among mothers, ages 40–44",uniform_birth_time,0.21365532522014702,0.23323606686283196,0.019580741642684946,0.20266911039926036,-0.010986214820886658,-0.030566956463571604,,,fertility.uniform_birth_time.moments.exactly_one_among_mothers_40_44
nchs_mean_age,Period mean first-birth age,uniform_birth_time,25.976263860992496,26.585140795182383,0.6088769341898868,25.978700263577313,0.002436402584816477,-0.6064405316050703,,,fertility.uniform_birth_time.moments.period_mean_age_first_birth
nchs_share30,First births at age 30+,uniform_birth_time,0.2492780130410667,0.26516756649743256,0.015889553456365862,0.22735554321088985,-0.021922469830176844,-0.037812023286542706,,,fertility.uniform_birth_time.moments.period_share_first_births_age30plus
wealth_earnings,Wealth / annual gross labor earnings,uniform_birth_time,6.14586139445743,6.096876962747856,-0.04898443170957467,5.8134961187890575,-0.3323652756683728,-0.28338084395879815,,,housing_wealth.moments.aggregate_wealth_to_annual_gross_labor_earnings
bequest_wealth,Annual bequests / aggregate wealth,uniform_birth_time,0.0088,0.012368034993361301,0.0035680349933613006,0.010613347547740959,0.0018133475477409584,-0.0017546874456203423,,,housing_wealth.moments.annual_bequest_flow_to_aggregate_wealth
old_dispersion,"Old wealth/income p90 / median, ages 76–84",uniform_birth_time,3.51593508651872,3.7297557246748427,0.21382063815612273,4.079637063027093,0.5637019765083728,0.3498813383522501,,,housing_wealth.moments.old_total_wealth_to_annual_income_p90_p50_7684
mean_rooms,"Mean occupied rooms, capped at 9",uniform_birth_time,5.561097376118652,6.246382336944046,0.6852849608253937,5.60932678125749,0.04822940513883811,-0.6370555556865556,,,housing_wealth.moments.aggregate_mean_occupied_rooms_capped9_18_85
ownership_30_55,"Ownership, heads 30–55",uniform_birth_time,0.6483340343191493,0.5747683591158299,-0.07356567520331936,0.6310091074881379,-0.01732492683101139,0.05624074837230797,,,housing_wealth.moments.own_rate_30_55
first_birth_rooms,"First-birth room response, −1 to +3",uniform_birth_time,0.7202462623815278,0.43884666342482603,-0.28139959895670175,0.6915879253856847,-0.02865833699584308,0.25274126196085867,,,housing_wealth.moments.housing_increment_0to1
family_rooms,Rooms: 3+ versus 1–2 resident children (model dependent proxy),uniform_birth_time,0.3470669317962507,0.16621534127109694,-0.18085159052515376,0.17325538458416823,-0.17381154721208247,0.007040043313071287,,,housing_wealth.moments.prime30_55_model_dependent_3plus_minus_1to2_rooms_capped9
recent_parent_ownership,Recent-parent ownership gap,uniform_birth_time,0.16289550916123285,,,,,,,,housing_wealth.moments.recent_parent_minus_no_resident_child_ownership_30_55
initial_normalization,Initial model completed fertility,constant_post_cell,2.1,2.100032862890971,3.286289097070849e-05,2.1002765175331177,0.00027651753311763727,0.00024365464214692878,,,final.normalization.completed_fertility
cps_childlessness,"Childless women, ages 40–44",constant_post_cell,0.19827875100684264,0.16737272770332093,-0.030906023303521712,0.1945984262080904,-0.0036803247987522436,0.02722569850476947,,,fertility.constant_post_cell.moments.childless_rate_40_44
cps_exactly_one,"Exactly one child among mothers, ages 40–44",constant_post_cell,0.21365532522014702,0.2098417015211266,-0.003813623699020413,0.1809902257461311,-0.03266509947401591,-0.0288514757749955,,,fertility.constant_post_cell.moments.exactly_one_among_mothers_40_44
nchs_mean_age,Period mean first-birth age,constant_post_cell,25.976263860992496,26.585140795182383,0.6088769341898868,25.978700263577313,0.002436402584816477,-0.6064405316050703,,,fertility.constant_post_cell.moments.period_mean_age_first_birth
nchs_share30,First births at age 30+,constant_post_cell,0.2492780130410667,0.26516756649743256,0.015889553456365862,0.22735554321088985,-0.021922469830176844,-0.037812023286542706,,,fertility.constant_post_cell.moments.period_share_first_births_age30plus
wealth_earnings,Wealth / annual gross labor earnings,constant_post_cell,6.14586139445743,6.096876962747856,-0.04898443170957467,5.8134961187890575,-0.3323652756683728,-0.28338084395879815,,,housing_wealth.moments.aggregate_wealth_to_annual_gross_labor_earnings
bequest_wealth,Annual bequests / aggregate wealth,constant_post_cell,0.0088,0.012368034993361301,0.0035680349933613006,0.010613347547740959,0.0018133475477409584,-0.0017546874456203423,,,housing_wealth.moments.annual_bequest_flow_to_aggregate_wealth
old_dispersion,"Old wealth/income p90 / median, ages 76–84",constant_post_cell,3.51593508651872,3.7297557246748427,0.21382063815612273,4.079637063027093,0.5637019765083728,0.3498813383522501,,,housing_wealth.moments.old_total_wealth_to_annual_income_p90_p50_7684
