design,outcome,N_obs,N_ids,z1_ids,pre_obs,post_obs
same_sex,moved_for_size,11771,2027,1001,4860,6911
same_sex,moved_to_own,4269,820,402,1767,2502
same_sex,own,6529,1179,568,2629,3900
same_sex,rooms,12898,2173,1081,5269,7629
twins,moved_for_size,12335,2211,35,4852,7483
twins,moved_to_own,4112,776,8,1646,2466
twins,own,6505,1192,17,2544,3961
twins,rooms,13329,2334,38,5278,8051
