design,outcome,event_time,b,se,p,ci_low,ci_high,N_obs,N_ids,z1_ids
same_sex,moved_for_size,-4,-.012085308,.029707067,.68418616,-.070344895,.046174277,11771,2027,1001
same_sex,moved_for_size,-3,-.027291233,.031127851,.38072833,-.088337168,.033754706,11771,2027,1001
same_sex,moved_for_size,-2,0,0,,0,0,11771,2027,1001
same_sex,moved_for_size,-1,-.043515414,.029837612,.14488308,-.10203101,.015000187,11771,2027,1001
same_sex,moved_for_size,0,-.009251155,.027597426,.7374953,-.063373446,.04487114,11771,2027,1001
same_sex,moved_for_size,1,-.0089023868,.030617096,.77126062,-.06894666,.051141888,11771,2027,1001
same_sex,moved_for_size,2,-.049100012,.029003792,.090631567,-.10598038,.0077803549,11771,2027,1001
same_sex,moved_for_size,3,-.055952277,.029733397,.060006551,-.1142635,.0023589453,11771,2027,1001
same_sex,moved_for_size,4,-.029512065,.030072656,.32653299,-.088488623,.029464489,11771,2027,1001
same_sex,moved_for_size,5,.013220972,.030639898,.66615415,-.046868023,.073309965,11771,2027,1001
same_sex,moved_to_own,-4,.017334588,.028931208,.54922807,-.039453462,.074122638,4269,820,402
same_sex,moved_to_own,-3,-.013071252,.028233886,.64351368,-.06849055,.042348046,4269,820,402
same_sex,moved_to_own,-2,0,0,,0,0,4269,820,402
same_sex,moved_to_own,-1,.028812408,.023679292,.22403975,-.017666839,.075291656,4269,820,402
same_sex,moved_to_own,0,.014400669,.034846097,.67952073,-.053997505,.082798846,4269,820,402
same_sex,moved_to_own,1,.013497842,.033191688,.68436152,-.051652953,.078648634,4269,820,402
same_sex,moved_to_own,2,-.0041646496,.023138463,.8572064,-.049582325,.041253023,4269,820,402
same_sex,moved_to_own,3,.016348075,.036335502,.65288705,-.054973599,.087669745,4269,820,402
same_sex,moved_to_own,4,.033331137,.032722209,.30868942,-.030898133,.097560406,4269,820,402
same_sex,moved_to_own,5,.062760048,.041737746,.13305034,-.019165508,.1446856,4269,820,402
same_sex,own,-4,.039701413,.051249824,.43869346,-.060849708,.14025253,6529,1179,568
same_sex,own,-3,-.035407741,.046704784,.44853193,-.12704158,.056226101,6529,1179,568
same_sex,own,-2,0,0,,0,0,6529,1179,568
same_sex,own,-1,.016214877,.039744619,.68336493,-.061763268,.094193019,6529,1179,568
same_sex,own,0,-.036578242,.048750985,.45321921,-.13222669,.059070207,6529,1179,568
same_sex,own,1,.032567929,.051611464,.52814907,-.068692721,.13382858,6529,1179,568
same_sex,own,2,-.025304342,.052906204,.6325348,-.12910524,.07849656,6529,1179,568
same_sex,own,3,.046035979,.057334494,.4221732,-.066453144,.15852509,6529,1179,568
same_sex,own,4,.064492434,.054093156,.23340434,-.041637253,.17062211,6529,1179,568
same_sex,own,5,.034083914,.061602224,.58016962,-.08677841,.15494624,6529,1179,568
same_sex,rooms,-4,.047899738,.14575706,.74246913,-.23793815,.33373764,12898,2173,1081
same_sex,rooms,-3,.096025534,.12833339,.45439002,-.15564352,.34769458,12898,2173,1081
same_sex,rooms,-2,0,0,,0,0,12898,2173,1081
same_sex,rooms,-1,.046192799,.10841391,.67009312,-.16641304,.25879863,12898,2173,1081
same_sex,rooms,0,-.0037521869,.10129868,.97045588,-.20240466,.19490029,12898,2173,1081
same_sex,rooms,1,.035338264,.1193033,.76710165,-.19862229,.26929882,12898,2173,1081
same_sex,rooms,2,-.012694005,.12238033,.91739649,-.25268877,.22730076,12898,2173,1081
same_sex,rooms,3,-.13405871,.12498707,.28357843,-.37916544,.11104801,12898,2173,1081
same_sex,rooms,4,-.093398757,.12707961,.46244162,-.34260908,.15581156,12898,2173,1081
same_sex,rooms,5,-.31751657,.14484999,.028482608,-.60157561,-.033457533,12898,2173,1081
twins,moved_for_size,-4,.12354133,.095684178,.1967914,-.064098977,.31118163,12335,2211,35
