design,specification,outcome,weighting,estimand,b,se,p,ci_low,ci_high,N_obs,N_ids,z1_ids,first_stage_F
same_sex,panel_average_idfe,moved_for_size,unweighted,first_stage,.0406605620443929,.012593097,.0012629961,.015963791,.065357335,11771,2027,1001,10.425134
same_sex,panel_average_idfe,moved_for_size,unweighted,iv_2sls,.0864763287799154,.27537909,.75350094,-.45325676,.62620944,11771,2027,1001,10.425134
same_sex,panel_average_idfe,moved_for_size,unweighted,ols_fe,.0047524451534557,.01240881,.70176762,-.019582912,.029087804,11771,2027,1001,10.425134
same_sex,panel_average_idfe,moved_for_size,unweighted,reduced_form,.0035161761317318,.011211322,.75383645,-.018470746,.025503099,11771,2027,1001,10.425134
same_sex,panel_average_idfe,moved_for_size,weighted,first_stage,.038772650765177,.015634647,.013221972,.008110987,.069434315,11771,2027,1001,6.1499953
same_sex,panel_average_idfe,moved_for_size,weighted,iv_2sls,-.0480987808655172,.35493511,.89220524,-.7437588,.64756125,11771,2027,1001,6.1499953
same_sex,panel_average_idfe,moved_for_size,weighted,ols_fe,.0091156338323056,.015420515,.55449468,-.021126086,.039357353,11771,2027,1001,6.1499953
same_sex,panel_average_idfe,moved_for_size,weighted,reduced_form,-.0018649172327362,.013732219,.89198816,-.028795661,.025065826,11771,2027,1001,6.1499953
same_sex,panel_average_idfe,moved_to_own,unweighted,first_stage,.0247586838085978,.020648284,.23084855,-.015771104,.065288469,4269,820,402,1.4377626
same_sex,panel_average_idfe,moved_to_own,unweighted,iv_2sls,.0418750949666863,.35726765,.90669417,-.65835661,.7421068,4269,820,402,1.4377626
same_sex,panel_average_idfe,moved_to_own,unweighted,ols_fe,-.0017056559270287,.010837286,.87497807,-.022977782,.019566471,4269,820,402,1.4377626
same_sex,panel_average_idfe,moved_to_own,unweighted,reduced_form,.0010367722357375,.0088434024,.90670115,-.016321629,.018395174,4269,820,402,1.4377626
same_sex,panel_average_idfe,moved_to_own,weighted,first_stage,.0568721286743138,.026574029,.032638319,.0047109053,.10903335,4269,820,402,4.5801973
same_sex,panel_average_idfe,moved_to_own,weighted,iv_2sls,.1888395229205246,.29784322,.52606565,-.39492244,.77260149,4269,820,402,4.5801973
same_sex,panel_average_idfe,moved_to_own,weighted,ols_fe,-.0077613957890481,.016391419,.63598013,-.039935537,.024412744,4269,820,402,4.5801973
same_sex,panel_average_idfe,moved_to_own,weighted,reduced_form,.0107397056463347,.015875131,.49890709,-.02042103,.041900441,4269,820,402,4.5801973
same_sex,panel_average_idfe,own,unweighted,first_stage,.0268468426961354,.017793637,.13162087,-.0080639133,.061757598,6529,1179,568,2.2764442
same_sex,panel_average_idfe,own,unweighted,iv_2sls,-.3957621993969447,.96177316,.68071163,-2.280803,1.4892786,6529,1179,568,2.2764442
same_sex,panel_average_idfe,own,unweighted,ols_fe,.0330127266631862,.024700208,.1816321,-.015448584,.081474036,6529,1179,568,2.2764442
same_sex,panel_average_idfe,own,unweighted,reduced_form,-.0106249655122539,.024606476,.66596907,-.058902375,.037652444,6529,1179,568,2.2764442
same_sex,panel_average_idfe,own,weighted,first_stage,.0544218336236627,.022450533,.01549708,.010374341,.098469324,6529,1179,568,5.8761525
same_sex,panel_average_idfe,own,weighted,iv_2sls,.2102128197268514,.66139317,.75061131,-1.0860939,1.5065196,6529,1179,568,5.8761525
same_sex,panel_average_idfe,own,weighted,ols_fe,.0376894269163299,.03278558,.25055301,-.02663522,.10201407,6529,1179,568,5.8761525
same_sex,panel_average_idfe,own,weighted,reduced_form,.0114401671007066,.035866186,.7498073,-.058928568,.081808902,6529,1179,568,5.8761525
same_sex,panel_average_idfe,rooms,unweighted,first_stage,.0380999299121747,.012305736,.0019858007,.013967684,.062232178,12898,2173,1081,9.585907
same_sex,panel_average_idfe,rooms,unweighted,iv_2sls,-1.548610161405915,1.7136713,.36616519,-4.9073443,1.8101238,12898,2173,1081,9.585907
same_sex,panel_average_idfe,rooms,unweighted,ols_fe,.1223876936881308,.062972985,.052085381,-.0011059114,.2458813,12898,2173,1081,9.585907
same_sex,panel_average_idfe,rooms,unweighted,reduced_form,-.0590019386108611,.061680332,.33888763,-.17996056,.061956692,12898,2173,1081,9.585907
same_sex,panel_average_idfe,rooms,weighted,first_stage,.0388664664981758,.015103668,.010138801,.009247316,.068485618,12898,2173,1081,6.6219406
same_sex,panel_average_idfe,rooms,weighted,iv_2sls,-3.1141498618456,2.3527534,.18562952,-7.725462,1.4971622,12898,2173,1081,6.6219406
same_sex,panel_average_idfe,rooms,weighted,ols_fe,.1637481091800957,.076245971,.031853523,.014225435,.31327078,12898,2173,1081,6.6219406
same_sex,panel_average_idfe,rooms,weighted,reduced_form,-.1210360012758776,.076168075,.11219131,-.27040592,.028333914,12898,2173,1081,6.6219406
twins,panel_average_idfe,moved_for_size,unweighted,first_stage,.7180208465902624,.018006416,0,.68270957,.75333214,12335,2211,35,1590.0822
twins,panel_average_idfe,moved_for_size,unweighted,iv_2sls,.0072681004774772,.064500421,.9102819,-.11915041,.1336866,12335,2211,35,1590.0822
twins,panel_average_idfe,moved_for_size,unweighted,ols_fe,-.0048781048818078,.010614321,.64586461,-.025693191,.01593698,12335,2211,35,1590.0822
twins,panel_average_idfe,moved_for_size,unweighted,reduced_form,.0052186476579467,.046351064,.91036618,-.085677549,.096114844,12335,2211,35,1590.0822
twins,panel_average_idfe,moved_for_size,weighted,first_stage,.6909545086003405,.025712796,0,.64053077,.74137831,12335,2211,35,722.10492
twins,panel_average_idfe,moved_for_size,weighted,iv_2sls,-.0329718752354984,.10384528,.75085694,-.23650488,.17056112,12335,2211,35,722.10492
twins,panel_average_idfe,moved_for_size,weighted,ols_fe,-.0053526410274695,.012904478,.67833632,-.030658813,.01995353,12335,2211,35,722.10492
twins,panel_average_idfe,moved_for_size,weighted,reduced_form,-.0227820658509813,.072416671,.75309736,-.16479391,.11922979,12335,2211,35,722.10492
twins,panel_average_idfe,moved_to_own,unweighted,first_stage,.7338205641897934,.040148761,0,.65500736,.81263375,4112,776,8,334.06842
twins,panel_average_idfe,moved_to_own,unweighted,iv_2sls,.009528748386298,.061690874,.87724733,-.11138314,.13044064,4112,776,8,334.06842
twins,panel_average_idfe,moved_to_own,unweighted,ols_fe,-.0162025042794958,.010436871,.12096779,-.036690392,.0042853835,4112,776,8,334.06842
twins,panel_average_idfe,moved_to_own,unweighted,reduced_form,.0069923915168533,.04535941,.87752748,-.082049482,.096034266,4112,776,8,334.06842
twins,panel_average_idfe,moved_to_own,weighted,first_stage,.7244034358388787,.046478949,0,.63316387,.81564301,4112,776,8,242.91168
twins,panel_average_idfe,moved_to_own,weighted,iv_2sls,-.0215212554725864,.066724993,.74704617,-.15229985,.10925733,4112,776,8,242.91168
twins,panel_average_idfe,moved_to_own,weighted,ols_fe,-.0124256879481711,.014604315,.39513046,-.041094393,.016243016,4112,776,8,242.91168
twins,panel_average_idfe,moved_to_own,weighted,reduced_form,-.0155900714080055,.04889397,.74992263,-.11157039,.080390245,4112,776,8,242.91168
twins,panel_average_idfe,own,unweighted,first_stage,.7272855579506062,.029792788,0,.66883337,.78573775,6505,1192,17,595.91962
twins,panel_average_idfe,own,unweighted,iv_2sls,.1680495947741369,.14940922,.26069051,-.1247871,.4608863,6505,1192,17,595.91962
twins,panel_average_idfe,own,unweighted,ols_fe,.087206522382453,.021885373,.00007166891,.044268344,.1301447,6505,1192,17,595.91962
twins,panel_average_idfe,own,unweighted,reduced_form,.1222200432987272,.11150192,.27324569,-.096542031,.34098211,6505,1192,17,595.91962
twins,panel_average_idfe,own,weighted,first_stage,.692242821017253,.039307851,0,.6151225,.76936316,6505,1192,17,310.14041
twins,panel_average_idfe,own,weighted,iv_2sls,.2379536922861861,.25121269,.34352666,-.25441414,.73032153,6505,1192,17,310.14041
twins,panel_average_idfe,own,weighted,ols_fe,.110200170753053,.028299985,.00010408012,.054676794,.16572355,6505,1192,17,310.14041
twins,panel_average_idfe,own,weighted,reduced_form,.1647217352196974,.18019305,.36082813,-.18880942,.51825291,6505,1192,17,310.14041
twins,panel_average_idfe,rooms,unweighted,first_stage,.7176089879655361,.016713042,0,.68483502,.75038296,13329,2334,38,1843.5916
twins,panel_average_idfe,rooms,unweighted,iv_2sls,.6706719752970682,.30227259,.026502693,.078228563,1.2631154,13329,2334,38,1843.5916
twins,panel_average_idfe,rooms,unweighted,ols_fe,.4192703021724578,.054310903,1.7150269e-14,.31276762,.52577299,13329,2334,38,1843.5916
twins,panel_average_idfe,rooms,unweighted,reduced_form,.4812802374497859,.21702741,.026678052,.055693541,.90686691,13329,2334,38,1843.5916
twins,panel_average_idfe,rooms,weighted,first_stage,.6914691993047507,.025225792,0,.64200187,.74093652,13329,2334,38,751.37378
twins,panel_average_idfe,rooms,weighted,iv_2sls,.7063694613318153,.42392293,.095659919,-.12450419,1.5372431,13329,2334,38,751.37378
