year,first_birth_count,mean_recorded_single_age,mean_single_age_interval_midpoint_age_plus_0_5,age_plus_half_is_single_year_interval_midpoint_assumption,mean_current_cell_midpoint_mapping,single_age_bin_midpoint_effect_years,mapping_effect_beyond_single_age_interval_midpoint_years,difference_vs_recorded_single_age_total_years,first_bin_total_mapping_contribution_years_ages_below_22,under_18_birth_count,under_18_share,under_18_mapping_contribution_years,18_21_birth_count,18_21_share,18_21_mapping_contribution_years,22_41_birth_count,22_41_share,22_41_mapping_contribution_years,42_45_birth_count,42_45_share,42_45_mapping_contribution_years,over_45_birth_count,over_45_share,over_45_mapping_contribution_years,share_first_births_age_30plus_exact_age
2003,1636534,25.23296980081074,25.73296980081074,True,26.047395287846143,0.5,0.31442548703540396,0.814425487035404,0.2422598613899864,127025,0.07761830796060455,0.2507729750802611,428956,0.2621124889553165,-0.00851311369027469,1072187,0.655157179746953,0.0706068434875169,7621,0.004656792953889134,0.0030970942247457124,745,0.00045523038323676745,-0.0015383120668437074,
2004,1633723,25.21649692144874,25.71649692144874,True,26.03269464897048,0.5,0.3161977275217396,0.8161977275217396,0.24385315013622258,126675,0.07753762418720922,0.2519922287927635,427830,0.26187425897780714,-0.00813907865654092,1070365,0.6551692055507574,0.07073322711377633,8094,0.004954328242915108,0.0031663874475660807,759,0.00046458304131116474,-0.0015550371758247879,
2005,1640920,25.150531409209467,25.650531409209467,True,25.967932623162618,0.5,0.3174012139531506,0.8174012139531506,0.24088956195305072,126452,0.07706164834361212,0.25010725690466323,433085,0.26392816225044485,-0.00921769495161251,1072424,0.6535504473100456,0.07491772907880945,8149,0.004966116568754114,0.0032466543158715844,810,0.0004936255271433098,-0.0016527313945835264,
2006,1700092,25.047572131390538,25.547572131390538,True,25.861605136663194,0.5,0.31403300527265543,0.8140330052726554,0.23918734986106635,130989,0.07704818327478748,0.24869330600932185,458046,0.2694242429233242,-0.009505956148255506,1101821,0.6480949266275001,0.07342102662679431,8404,0.004943261894062204,0.0030939502097533547,832,0.0004893852803260058,-0.0016693214249581788,
