year,age_lower,age_upper,measure,model,data,gap
2007,18.0,21.0,owners,5.710714188627099,10.46629113216425,-4.75557694353715
2007,22.0,25.0,owners,16.944326131886225,20.25574817050678,-3.311422038620556
2007,26.0,29.0,owners,24.970418426466225,36.61308187873533,-11.642663452269105
2007,30.0,33.0,owners,36.114302068714714,48.495452307532844,-12.38115023881813
2007,34.0,37.0,owners,44.03530435647927,57.51545365285524,-13.48014929637597
2007,38.0,41.0,owners,51.842431578991075,62.89836465006401,-11.055933071072936
2007,42.0,45.0,owners,58.0896948152052,67.97997091670614,-9.890276101500938
2007,46.0,49.0,owners,61.99542174966643,70.73056897700354,-8.735147227337116
2007,50.0,53.0,owners,64.980529294738,72.81797803568611,-7.837448740948105
2007,54.0,57.0,owners,67.74965655444979,75.00820178430945,-7.2585452298596636
2007,58.0,61.0,owners,70.69569220706717,76.60803694465972,-5.912344737592548
2007,62.0,65.0,owners,73.48126993227145,77.80319091520508,-4.321920982933634
2007,66.0,69.0,owners,75.88372787751649,77.08768524688972,-1.203957369373228
2007,70.0,73.0,owners,77.02991207809899,78.03705782675954,-1.0071457486605482
2007,74.0,77.0,owners,79.27278639187668,77.13001111246271,2.142775279413968
2007,78.0,81.0,owners,86.36334392205627,75.64851589888347,10.7148280231728
2007,82.0,85.0,owners,92.12539426573274,72.40114088399984,19.724253381732893
2007,18.0,21.0,capped_rooms,4.435234688305836,4.121921863453531,0.3133128248523045
2007,22.0,25.0,capped_rooms,5.068843853799596,4.228183544417755,0.8406603093818408
2007,26.0,29.0,capped_rooms,5.580686504104059,4.700567107287615,0.8801193968164442
2007,30.0,33.0,capped_rooms,5.9927551396223375,5.101575237749734,0.8911799018726034
2007,34.0,37.0,capped_rooms,6.302819216001901,5.533553188646694,0.769266027355207
2007,38.0,41.0,capped_rooms,6.534531270887847,5.759479579812106,0.775051691075741
2007,42.0,45.0,capped_rooms,6.690344112801339,5.916907393222099,0.77343671957924
2007,46.0,49.0,capped_rooms,6.73597210351816,5.975931458805344,0.7600406447128156
2007,50.0,53.0,capped_rooms,6.771433412546225,5.957958874071507,0.8134745384747175
2007,54.0,57.0,capped_rooms,6.8029970037681275,5.944085433393678,0.8589115703744499
2007,58.0,61.0,capped_rooms,6.827370678634949,5.937175299342201,0.8901953792927486
2007,62.0,65.0,capped_rooms,6.8538429074402325,5.857415231368337,0.9964276760718951
2007,66.0,69.0,capped_rooms,7.04860213797887,5.682972757955425,1.365629380023445
