design,window,outcome,units,mothers,households,instrument_positive,rf_coef,rf_se,rf_ci95_lower,rf_ci95_upper,fs_coef_pp,fs_se_pp,fs_ci95_lower_pp,fs_ci95_upper_pp,first_stage_F_cluster_wald,iv_coef,iv_se,iv_ci95_lower,iv_ci95_upper,ar_grid,ar_accepted_grid_min,ar_accepted_grid_max,ar_n_accepted_runs
Twin1,pooled0_5,ROOMS_out,count,857607,855366,16496,0.32856868276,0.017150161527,0.29495498384,0.36218238168,66.21410128800001,0.23800720611,65.74761573228383,66.68058684371618,77396.4008051354,0.49622161502,0.025917607267,0.44542403821,0.54701919183,-3:3 by 0.1,0.5,0.5,1
Twin1,pooled0_5,BEDROOMS_out,count,857607,855366,16496,0.22069831905,0.0095208601618,0.20203777603,0.23935886207,66.21410128800001,0.23800720611,65.74761573228383,66.68058684371618,77396.4008051354,0.33331014808,0.014382508143,0.30512095012,0.36149934605,-3:3 by 0.1,,,0
Twin1,pooled0_5,OWNERSHP_out,pp,857607,855366,16496,3.1060182922,0.46079768255,2.2028714303,4.0091651542,66.21410128800001,0.23800720611,65.74761573228383,66.68058684371618,77396.4008051354,4.6908713278,0.6954729776399999,3.3277693394000005,6.0539733162000005,-50:50 by 2 (pp),4.0,6.0,1
Twin1,event3,ROOMS_out,count,147986,147922,2726,0.33187938097,0.041974066443,0.24961172246,0.41414703949,52.458355678000004,0.23690565577,51.99402912129441,52.9226822347056,49031.8736022474,0.63265303817,0.079888963123,0.47607354768,0.78923252865,-3:3 by 0.1,0.5,0.7,1
Twin1,event3,BEDROOMS_out,count,147986,147922,2726,0.21227324638,0.022537524742,0.16810050959,0.25644598318,52.458355678000004,0.23690565577,51.99402912129441,52.9226822347056,49031.8736022474,0.40465097245,0.042878326039,0.3206109977,0.48869094721,-3:3 by 0.1,0.4,0.4,1
Twin1,event3,OWNERSHP_out,pp,147986,147922,2726,1.6314429196,1.1393345395999999,-0.60161174427,3.8644975835,52.458355678000004,0.23690565577,51.99402912129441,52.9226822347056,49031.8736022474,3.1099772354,2.1718062507,-1.1466847973999998,7.3666392681,-50:50 by 2 (pp),0.0,6.0,1
Twin1,event5,ROOMS_out,count,142101,142039,2498,0.38183091055,0.041312690424,0.30085952522,0.46280229589,34.829009278,0.22040099661,34.39703125908028,35.26098729691972,24972.1039462935,1.0963013835,0.11872856276,0.86359767654,1.3290050904,-3:3 by 0.1,0.9,1.3,1
Twin1,event5,BEDROOMS_out,count,142101,142039,2498,0.23379675517,0.02331037609,0.18810925756,0.27948425277,34.829009278,0.22040099661,34.39703125908028,35.26098729691972,24972.1039462935,0.67127018545,0.066978252692,0.53999522243,0.80254514848,-3:3 by 0.1,0.6,0.8,1
Twin1,event5,OWNERSHP_out,pp,142101,142039,2498,5.2634577469,1.1499036964,3.0096879162,7.5172275776,34.829009278,0.22040099661,34.39703125908028,35.26098729691972,24972.1039462935,15.112280987000002,3.2996134297,8.6451575019,21.579404472,-50:50 by 2 (pp),10.0,20.0,1
SameSex2,pooled0_5,ROOMS_out,count,656985,656159,329974,-0.037626581931,0.0050923051903,-0.047607316702,-0.02764584716,3.2744555040999996,0.12244211394000001,3.0344733686937015,3.5144376395062977,715.1819557268,-1.1490943115,0.16381146226,-1.4701588778,-0.82802974526,-3:3 by 0.1,-1.4,-0.9,1
SameSex2,pooled0_5,BEDROOMS_out,count,656986,656160,329974,-0.03412497088,0.0027824015488,-0.039578377707,-0.028671564054,3.2745238604999996,0.12244203008000001,3.0345418894562823,3.5145058315437168,715.2127955465,-1.0421353556,0.096382849291,-1.2310422689,-0.85322844227,-3:3 by 0.1,-1.2,-0.9,1
