first_child_year,never_treated,K,observations,weight_sum
1982,0,-4,30,77
1982,0,-3,30,77
1982,0,-2,30,77
1982,0,-1,30,77
1982,0,0,30,77
1982,0,1,30,77
1982,0,2,30,77
1982,0,3,30,77
1982,0,4,30,77
1982,0,5,30,77
1982,0,6,30,77
1982,0,7,30,77
1982,0,8,30,77
1982,0,9,30,77
1982,0,10,30,77
1982,0,11,30,77
1982,0,12,30,77
1982,0,13,30,77
1982,0,14,30,77
1982,0,15,30,77
1982,0,16,30,77
1986,0,-8,30,73
1986,0,-7,30,73.29999999999998
1986,0,-6,30,73.60000000000001
1986,0,-5,30,73.90000000000002
1986,0,-4,30,74.20000000000002
1986,0,-3,30,74.49999999999996
1986,0,-1,30,75.09999999999997
1986,0,0,30,75.39999999999996
1986,0,1,30,75.70000000000006
1986,0,2,30,76
1986,0,3,30,76.3
1986,0,4,30,76.60000000000001
1986,0,5,30,76.89999999999999
1986,0,6,30,77.2
1986,0,7,30,77.50000000000001
1986,0,8,30,77.79999999999994
1986,0,9,30,78.10000000000004
1986,0,10,30,78.40000000000003
1986,0,11,30,78.69999999999997
1986,0,12,30,79.00000000000004
1990,0,-12,30,75
1990,0,-11,30,75.60000000000001
1990,0,-10,30,76.20000000000002
1990,0,-9,30,76.80000000000003
1990,0,-8,30,77.39999999999996
1990,0,-7,30,77.99999999999999
1990,0,-6,30,78.60000000000001
1990,0,-5,30,79.2
1990,0,-4,30,79.79999999999994
1990,0,-3,30,80.40000000000003
1990,0,-2,30,81.00000000000004
1990,0,-1,30,81.59999999999998
1990,0,0,30,82.19999999999999
1990,0,1,30,82.80000000000001
1990,0,2,30,83.40000000000002
1990,0,3,30,83.99999999999996
1990,0,4,30,84.59999999999997
1990,0,5,30,85.20000000000006
1990,0,6,30,85.8
1990,0,7,30,86.39999999999998
1990,0,8,30,87.00000000000003
,1,,630,1637.999999999998
