liquid_wealth,valid,first_birth_low,first_birth_middle,first_birth_high,housing_no_birth,housing_birth,ownership_no_birth,ownership_birth,slice_mass
-12.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-10.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-9.9,0,0.0,0.0,0.0,8.954064584288183e-05,0.0,0.0,0.0,0.0
-9.2,0,0.0,0.0,0.0,0.0001235221775197295,2.30011139229686,0.0,0.0,0.0
-8.5,0,0.0,0.0,0.0,0.00019537940890864542,2.3001461160154433,0.0,0.0,0.0
-7.800000000000001,0,0.0,0.0,0.0,0.0002765855839305904,2.3001996425225837,0.0,0.0,0.0
-7.1000000000000005,0,0.0,0.0,2.498465540584267e-06,0.0010299071526138136,2.3003240610227156,0.0,0.0,0.0
-6.4,0,0.0,0.0,0.11778940885878374,1.3607203958243221,2.3004576124076084,0.0,0.0,0.0
-5.7,0,0.0,0.002302245598749361,0.246180969741587,2.458329766799314,3.504261867856723,0.0,0.0,0.0
-5.0,0,9.001160809957597e-06,0.06228775085280181,0.3200501343963774,2.8926888698463302,4.476183239411165,0.0,0.0,0.0
-4.8604651162790695,0,9.324649376802401e-05,0.08098320256626662,0.33130685589463515,2.942348206951966,4.628248206951966,0.0,0.0,0.0
-4.72093023255814,0,0.000517928494338677,0.09929352769425014,0.34139303515299513,2.987507125602235,4.679670662757489,0.0,0.0,0.0
-4.5813953488372094,0,0.0015002689677898109,0.11808696950391877,0.350865291647727,3.071814614642069,4.833795249179419,0.0,0.0,0.0
-4.441860465116279,0,0.003617029508374261,0.13719055225177548,0.3597302004635325,3.148690108154126,5.01614912198977,0.0,0.0,0.0
-4.3023255813953485,0,0.007096630722891675,0.15508572994626915,0.36800919811386945,3.2298309160009975,5.05374002890426,0.0,0.0,0.0
-4.162790697674419,0,0.012264894719606921,0.17225549594841752,0.3756878620237496,3.303757351992446,5.13534610575718,0.0,0.0,0.0
-4.023255813953488,0,0.01947037796928143,0.18884199365292925,0.3827316112540997,3.380124990378254,5.268826436639568,0.0,0.0,0.0
-3.883720930232558,0,0.027708134267656313,0.2049434374668909,0.3891421038115242,3.4469709332650083,5.374841870435118,0.0,0.0,0.0
-3.744186046511628,0,0.03755748460162482,0.2205899735436596,0.3949773682869163,3.473347901385257,5.479231850856552,0.0,0.0,0.0
-3.604651162790698,0,0.04889810993328401,0.2353611413819072,0.40068692119205956,3.5223641019005076,5.5056088189768015,0.0,0.0,0.0
-3.4651162790697674,0,0.061682727072299375,0.24921085236218116,0.40668598447051485,3.5939570118991377,5.590580740272941,0.0,0.0,0.0
