moment,model,source
Initial model completed fertility,2.1000002770239106,exact_stationary_key
"Childless women, ages 40–44",0.22258686028686106,approximate_stationary_analogue
"Exactly one child among mothers, ages 40–44",nan,unavailable_in_extract_moments
Period mean first-birth age,27.6375244156269,approximate_stationary_analogue
First births at age 30+,0.32163956876828764,approximate_stationary_analogue
Wealth / annual gross labor earnings,4.401970254288088,exact_stationary_key
Annual bequests / aggregate wealth,0.009036212792479015,exact_stationary_key
"Old wealth/income p90 / median, ages 76–84",4.435636995674812,exact_stationary_key
"Mean occupied rooms, capped at 9",5.250522668109751,approximate_stationary_analogue
"Ownership, heads 30–55",0.4259689811331718,exact_stationary_key
"First-birth room response, −1 to +3",0.9664936823580531,approximate_stationary_analogue
Rooms: 3+ versus 1–2 resident children (model dependent proxy),0.5774532414459079,approximate_stationary_analogue
Recent-parent ownership gap,0.2679479516464151,exact_stationary_key
