family,contrast,kind,base_arm,comparison_arm,birth_flow_base,birth_flow_comparison,birth_flow_difference,birth_flow_pct_change,first_birth_flow_base,first_birth_flow_comparison,first_birth_flow_difference,first_birth_flow_pct_change,cumulative_explicit_births_per_initial_household_base,cumulative_explicit_births_per_initial_household_comparison,cumulative_explicit_births_per_initial_household_difference,cumulative_explicit_births_per_initial_household_pct_change,ownership_base,ownership_comparison,ownership_difference,ownership_pp_change,mean_rooms_base,mean_rooms_comparison,mean_rooms_difference,first_birth_mean_age_base,first_birth_mean_age_comparison,first_birth_mean_age_difference
original,baseline_vs_mortgageonly,mortgage_only,arm_03_phi0.8_lambda0_cap6,arm_39_phi1_lambda0_cap6,0.1155903878306699,0.11638809385408035,0.0007977060234104494,0.6901144968723738,0.050649833856012405,0.05117978923918354,0.0005299553831711323,1.0463121847106072,1.8724107636556737,1.876793056486325,0.004382292830651391,0.2340454838069439,0.5664112010865031,0.6726613960122206,0.10625019492571752,10.625019492571752,6.639867627691228,6.757174840224956,0.11730721253372867,24.095245727448187,24.025385248516265,-0.06986047893192193
original,baseline_vs_creditmoderate,credit_moderate,arm_03_phi0.8_lambda0_cap6,arm_06_phi0.8_lambda0.25_cap6,0.1155903878306699,0.11931246988867547,0.003722082058005574,3.2200619167902733,0.050649833856012405,0.05368310322896619,0.003033269372953784,5.988705474487399,1.8724107636556737,1.893143408061079,0.02073264440540523,1.1072700930711887,0.5664112010865031,0.5739385042728746,0.0075273031863715145,0.7527303186371515,6.639867627691228,6.718247677045896,0.07838004935466802,24.095245727448187,23.783548498036062,-0.3116972294121254
original,baseline_vs_credit1,credit_1,arm_03_phi0.8_lambda0_cap6,arm_09_phi0.8_lambda1_cap6,0.1155903878306699,0.12356015727032592,0.007969769439656021,6.894837528645592,0.050649833856012405,0.05738721939812541,0.006737385542113006,13.301890705636033,1.8724107636556737,1.9270870111829963,0.054676247527322586,2.9200989755353346,0.5664112010865031,0.5788802868019461,0.012469085715443029,1.246908571544303,6.639867627691228,6.775106881874383,0.13523925418315574,24.095245727448187,23.365203533557874,-0.7300421938903128
original,baseline_vs_credit5,credit_5,arm_03_phi0.8_lambda0_cap6,arm_12_phi0.8_lambda5_cap6,0.1155903878306699,0.12377387987346156,0.00818349204279166,7.0797340474190396,0.050649833856012405,0.05758031473240796,0.006930480876395556,13.683126574704186,1.8724107636556737,1.9289838301368873,0.05657306648121363,3.021402545815377,0.5664112010865031,0.5791362968754746,0.012725095788971519,1.2725095788971519,6.639867627691228,6.777146211046253,0.13727858335502496,24.095245727448187,23.32571517816152,-0.7695305492866673
original,baseline_vs_rentalonly,rental_only,arm_03_phi0.8_lambda0_cap6,arm_05_phi0.8_lambda0_cap10,0.1155903878306699,0.1169571578145934,0.001366769983923502,1.1824252946756264,0.050649833856012405,0.051618977888043205,0.0009691440320307998,1.9134199626120951,1.8724107636556737,1.883434886344046,0.011024122688372273,0.5887662527024107,0.5664112010865031,0.5092924013090087,-0.057118799777494456,-5.711879977749446,6.639867627691228,6.875668673792612,0.23580104610138442,24.095245727448187,23.99790311889151,-0.09734260855667642
original,baseline_vs_combined,combined,arm_03_phi0.8_lambda0_cap6,arm_50_phi1_lambda5_cap10,0.1155903878306699,0.1254430913622921,0.009852703531622195,8.523808697705526,0.050649833856012405,0.058769494399764505,0.0081196605437521,16.030971724082477,1.8724107636556737,1.9404910050210398,0.06808024136536606,3.635967207988422,0.5664112010865031,0.5729993680216408,0.00658816693513764,0.658816693513764,6.639867627691228,7.093028210126063,0.45316058243483504,24.095245727448187,23.209831072276263,-0.8854146551719246
original,mortgage_increment_cap6,mortgage_increment,arm_03_phi0.8_lambda0_cap6,arm_39_phi1_lambda0_cap6,0.1155903878306699,0.11638809385408035,0.0007977060234104494,0.6901144968723738,0.050649833856012405,0.05117978923918354,0.0005299553831711323,1.0463121847106072,1.8724107636556737,1.876793056486325,0.004382292830651391,0.2340454838069439,0.5664112010865031,0.6726613960122206,0.10625019492571752,10.625019492571752,6.639867627691228,6.757174840224956,0.11730721253372867,24.095245727448187,24.025385248516265,-0.06986047893192193
original,mortgage_increment_cap8,mortgage_increment,arm_03_phi0.8_lambda0_cap6,arm_40_phi1_lambda0_cap8,0.1155903878306699,0.11698657815556611,0.0013961903248962126,1.2078775329844138,0.050649833856012405,0.05161512841612814,0.000965294560115737,1.9058197956974166,1.8724107636556737,1.881565126231141,0.009154362575467312,0.48890781623123214,0.5664112010865031,0.6112985087446393,0.0448873076581362,4.48873076581362,6.639867627691228,6.848946226232303,0.20907859854107524,24.095245727448187,23.981962971846375,-0.11328275560181211
original,mortgage_increment_cap10,mortgage_increment,arm_03_phi0.8_lambda0_cap6,arm_41_phi1_lambda0_cap10,0.1155903878306699,0.11708339039530219,0.0014930025646322925,1.2916321094271321,0.050649833856012405,0.05167995373525741,0.0010301198792450061,2.033807025257839,1.8724107636556737,1.8822410548303297,0.009830291174655947,0.5250071920898103,0.5664112010865031,0.5818440466146977,0.015432845528194572,1.5432845528194572,6.639867627691228,6.912109485880218,0.27224185818899027,24.095245727448187,23.975838417728287,-0.11940730971990021
original,credit_dose_025_cap6,credit_dose,arm_03_phi0.8_lambda0_cap6,arm_06_phi0.8_lambda0.25_cap6,0.1155903878306699,0.11931246988867547,0.003722082058005574,3.2200619167902733,0.050649833856012405,0.05368310322896619,0.003033269372953784,5.988705474487399,1.8724107636556737,1.893143408061079,0.02073264440540523,1.1072700930711887,0.5664112010865031,0.5739385042728746,0.0075273031863715145,0.7527303186371515,6.639867627691228,6.718247677045896,0.07838004935466802,24.095245727448187,23.783548498036062,-0.3116972294121254
original,credit_dose_1_cap6,credit_dose,arm_03_phi0.8_lambda0_cap6,arm_09_phi0.8_lambda1_cap6,0.1155903878306699,0.12356015727032592,0.007969769439656021,6.894837528645592,0.050649833856012405,0.05738721939812541,0.006737385542113006,13.301890705636033,1.8724107636556737,1.9270870111829963,0.054676247527322586,2.9200989755353346,0.5664112010865031,0.5788802868019461,0.012469085715443029,1.246908571544303,6.639867627691228,6.775106881874383,0.13523925418315574,24.095245727448187,23.365203533557874,-0.7300421938903128
