age,tenure,income_index,parity,dependent_children,wealth,mass,consumption,saving,excess_expenditure,resources
50.0,0,0,2,2,-0.39534883720930214,3.5127260982714703e-12,0.04,-0.15734842491247833,0.03660456922482083,-0.03030038318995104
50.0,0,0,3,2,-0.39534883720930214,2.401084066765684e-12,0.04,-0.15734842491247833,0.03660456922482083,-0.03030038318995104
46.0,0,0,2,2,-0.5348837209302326,1.0861153225251393e-11,0.04,-0.32093023255813957,0.027409258631714145,-0.18133742877134668
46.0,0,0,3,2,-0.5348837209302326,6.853814564309739e-12,0.04,-0.32093023255813957,0.027409258631714145,-0.18133742877134668
50.0,0,0,1,1,-0.39534883720930214,2.934974923503846e-10,0.04,-0.15813953488372087,0.01642401457421258,-0.03030038318995104
50.0,0,0,2,1,-0.39534883720930214,2.928397163723209e-10,0.04,-0.15813953488372087,0.01642401457421258,-0.03030038318995104
50.0,0,0,3,1,-0.39534883720930214,9.279826358651084e-11,0.04,-0.15813953488372087,0.01642401457421258,-0.03030038318995104
46.0,0,0,1,1,-0.5348837209302326,7.624390180767238e-10,0.04,-0.32093023255813957,0.007808587590026672,-0.18133742877134668
46.0,0,0,2,1,-0.5348837209302326,7.382265400684424e-10,0.04,-0.32093023255813957,0.007808587590026672,-0.18133742877134668
46.0,0,0,3,1,-0.5348837209302326,2.0993542855717206e-10,0.04,-0.32093023255813957,0.007808587590026672,-0.18133742877134668
54.0,0,0,2,2,-0.25581395348837255,1.0570287923486243e-12,0.04,-0.051162790697674515,0.003728484693109796,0.1207366623914436
