arm,age_index,age_years,surviving_mass,explicit_birth_flow,exact_first_birth_flow,childless_share,mean_rooms,ownership
cap10s02_phi1,0,18.0,1.000000000000001,0.268759378118547,0.2687593781185469,0.7312406218814526,4.7661981373433555,0.21206278156356628
cap10s02_phi1,1,22.0,0.9999999999999877,0.29828612533110715,0.21140977072185185,0.5198308511596077,5.401769039423723,0.36772947554504215
cap10s02_phi1,2,26.0,0.9999999999999897,0.31481191470967707,0.15261148179360395,0.3672193693660043,5.961861962776009,0.4999358160910696
cap10s02_phi1,3,30.0,0.99999999999999,0.3085182283407331,0.09271912030213214,0.27450024906387394,6.356392307591495,0.6233515785159794
cap10s02_phi1,4,34.0,0.99999999999999,0.28592943885505817,0.05003825409735668,0.22446199496651834,6.642004092724898,0.6990348053217765
cap10s02_phi1,5,38.0,0.9999999999999831,0.24039424068831985,0.02705906603286168,0.1974029289336571,6.840511027401779,0.7565395103811234
cap10s02_phi1,6,42.0,0.9999999999999912,0.16009373353175932,0.017524870385957347,0.1798780585476979,6.968405155250602,0.8000739438647918
cap10s02_phi1,7,46.0,0.9999999999999881,0.0,0.0,0.17987805854769728,7.009484206447765,0.8280259136757018
cap10s02_phi1,8,50.0,0.9999999999999851,0.0,0.0,0.17987805854769814,7.052639595489568,0.8506050020751001
cap10s02_phi1,9,54.0,0.9999999999999841,0.0,0.0,0.17987805854769795,7.102932183298137,0.8748569265605254
cap10s02_phi1,10,58.0,0.9999999999999872,0.0,0.0,0.1798780585476954,7.158941845918551,0.9046751516473616
cap10s02_phi1,11,62.0,0.9999999999999872,0.0,0.0,0.17987805854769465,7.21373931887868,0.9314725484543724
cap10s02_phi1,12,66.0,0.9999999999999919,0.0,0.0,0.1798780585476925,7.399166272825801,0.918366732119244
cap10s02_phi1,13,70.0,0.9391263063710049,0.0,0.0,0.1798780585476917,7.43327840876069,0.9567536346334327
cap10s02_phi1,14,74.0,0.8625852907341165,0.0,0.0,0.17987805854769226,7.443569740885824,0.9782019001014394
cap10s02_phi1,15,78.0,0.7633467444960306,0.0,0.0,0.179878058547695,7.446737383260923,0.9892867474980015
cap10s02_phi1,16,82.0,0.6336135272169227,0.0,0.0,0.17987805854769942,7.441039236260708,0.9959553505994274
