moment,model,source
Initial model completed fertility,2.1000000005379174,exact_stationary_key
"Childless women, ages 40–44",0.20147559948491883,approximate_stationary_analogue
"Exactly one child among mothers, ages 40–44",nan,unavailable_in_extract_moments
Period mean first-birth age,26.12690061785999,approximate_stationary_analogue
First births at age 30+,0.2342832381216601,approximate_stationary_analogue
Wealth / annual gross labor earnings,5.138604239525826,exact_stationary_key
Annual bequests / aggregate wealth,0.008133774672516076,exact_stationary_key
"Old wealth/income p90 / median, ages 76–84",4.319649992728545,exact_stationary_key
"Mean occupied rooms, capped at 9",5.749681693353703,approximate_stationary_analogue
"Ownership, heads 30–55",0.4553807751638576,exact_stationary_key
"First-birth room response, −1 to +3",1.1186934988646184,approximate_stationary_analogue
Rooms: 3+ versus 1–2 resident children (model dependent proxy),0.23923103791767542,approximate_stationary_analogue
Recent-parent ownership gap,0.4648338035167379,exact_stationary_key
