outer_scale,dissimilarity,joint_births_per_100_households,sequential_births_per_100_households,difference_births_per_100_households,joint_ownership_percent,difference_ownership_pp,joint_rooms,difference_rooms,joint_fixed_price_market_gap_percent
0.005,0.05,2.961056801097225e-15,2.961056801097225e-15,0.0,63.12253525158778,0.0,6.302892649529282,0.0,-0.22909449914858396
0.005,0.5,2.9610568159948796e-15,2.9610568159861075e-15,8.772379785090533e-27,63.12253525158778,0.0,6.302892649529282,0.0,-0.22909449914858396
0.005,1.0,9.957689117870362e-13,9.957689117870368e-13,-4.733165431326071e-28,63.122535251587784,0.0,6.302892649529281,0.0,-0.22909449914859642
0.05,0.05,1.1763816275373131e-23,1.0359395560340114e-23,1.4044207150330174e-24,49.1624316188749,0.0,5.874011847716403,0.0,-7.018013227123078
0.05,0.5,0.0015321622724398165,0.0015306805239361399,1.481748503676637e-06,49.16246197763144,-3.0743782519770946e-07,5.874013146444229,-1.0078334611307582e-08,-7.017992669062136
0.05,1.0,0.03834248394875511,0.03834248394875511,0.0,49.16320677478067,0.0,5.874050629317132,0.0,-7.017399338288747
0.5,0.05,0.001507050861227333,0.0015038396220151162,3.2112392122166856e-06,42.79157634185525,-4.757033655877763e-09,5.6582955533929375,3.962504102617004e-09,-10.432669197433425
0.5,0.5,1.0632431666378162,1.0631692860463242,7.388059149182613e-05,42.792115406224774,5.347298687174984e-06,5.659724379800836,2.3187788373846274e-06,-10.41005175613364
0.5,1.0,2.3583719979955196,2.3583719979955196,0.0,42.78975352694781,0.0,5.662314388114162,0.0,-10.36905352103049
2.5,0.05,0.3918246984321804,0.39171836217845657,0.00010633625372380093,42.29268700699046,-1.5547058085374488e-08,5.637089716591012,1.400887851055188e-06,-10.768344522601687
2.5,0.5,5.934513021005876,5.934470434283834,4.258672204188185e-05,42.29000205971315,1.0069689804215187e-06,5.649269101620567,9.768953815658676e-06,-10.575552365030516
2.5,1.0,9.784675839273065,9.784675839273065,0.0,42.28687190440554,0.0,5.6611514039784145,0.0,-10.387462843028914
0.5,1e-06,0.0,0.0,0.0,42.79157298432319,0.0,5.658295312955623,0.0,-10.43267300340791
