parameter,value,lower_bound,upper_bound,transform,is_free_parameter,status,near_bound
beta_annual,0.9950761018738447,0.94,0.9995,discount,True,estimated_free_transition_parameter,False
tenure_choice_kappa,1.981087730070134,0.005,10.0,log,True,estimated_free_transition_parameter,False
joint_nest_lambda,0.7960975263751461,0.02,1.0,log,True,estimated_free_transition_parameter,False
chi,1.0383815861947248,0.1,5.0,log,True,estimated_free_transition_parameter,False
H0,14.454299725858498,0.2,80.0,log,True,estimated_free_transition_parameter,False
theta0,0.5233007937475963,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
theta1,0.10635689183849888,0.02,16.0,log,True,estimated_free_transition_parameter,True
hbar_child_rooms,0.2811923475728702,0.1,1.8,log,True,estimated_free_transition_parameter,False
first_birth_fixed_cost,4.544052672413152,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
hbar_first_child_jump,0.36279846063500554,0.0,2.0,softzero,True,estimated_free_transition_parameter,False
psi_child_change_2023,-0.3305479138993825,-1.5,0.2,asinh,True,estimated_free_transition_parameter,False
psi_child_2007,0.28322778366234286,nan,nan,derived,False,externally_normalized_to_old_completed_fertility,False
psi_child_2023,-0.047320130237039626,nan,nan,derived,False,derived_from_old_intercept_and_transition_coordinate,False
housing_supply_elasticity,0.63,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
